name,ts_code,tier,industry,market,list_date,is_current9,include,exclude_reason
日海智能,002313.SZ,A,通信设备,主板,20091203,True,1,
千方科技,002373.SZ,A,软件服务,主板,20100318,False,0,软件系统集成-模式不同
高新兴,300098.SZ,A,软件服务,创业板,20100728,True,1,
万集科技,300552.SZ,A,IT设备,创业板,20161021,False,1,
移为通信,300590.SZ,A,通信设备,创业板,20170111,True,1,
广和通,300638.SZ,A,通信设备,创业板,20170413,True,1,
金溢科技,002869.SZ,A,通信设备,主板,20170515,False,1,
美格智能,002881.SZ,A,元器件,主板,20170622,True,1,
移远通信,603236.SH,A,通信设备,主板,20190716,True,1,
锐明技术,002970.SZ,A,IT设备,主板,20191217,True,1,
有方科技,688159.SH,A,通信设备,科创板,20200123,True,1,
映翰通,688080.SH,A,通信设备,科创板,20200212,False,1,
三旺通信,688618.SH,A,通信设备,科创板,20201230,False,1,
利尔达,920249.BJ,A,元器件,北交所,20230217,False,1,
博实结,301608.SZ,A,通信设备,创业板,20240801,True,1,
北斗星通,002151.SZ,B,通信设备,主板,20070813,False,0,GNSS定位-异层含芯片
合众思壮,002383.SZ,B,通信设备,主板,20100402,False,0,GNSS定位-异层
振芯科技,300101.SZ,B,通信设备,创业板,20100806,False,0,北斗IC设计-偏上游军工
东软载波,300183.SZ,B,通信设备,创业板,20110222,False,0,载波芯片为主-偏上游
宜通世纪,300310.SZ,B,通信设备,创业板,20120425,False,0,网络运维服务-模式不同
华测导航,300627.SZ,B,通信设备,创业板,20170321,False,0,GNSS定位-异层
力合微,688589.SH,B,半导体,科创板,20200722,False,0,载波通信芯片-上游半导体
乐鑫科技,688018.SH,C,半导体,科创板,20190722,False,0,上游半导体设计
恒玄科技,688608.SH,C,半导体,科创板,20201216,False,0,上游半导体设计
炬芯科技,688049.SH,C,半导体,科创板,20211129,False,0,上游半导体设计
创耀科技,688259.SH,C,半导体,科创板,20220112,False,0,上游半导体设计
翱捷科技,688220.SH,C,半导体,科创板,20220114,False,0,上游半导体设计
中科蓝讯,688332.SH,C,半导体,科创板,20220715,False,0,上游半导体设计
泰凌微,688591.SH,C,半导体,科创板,20230825,False,0,上游半导体设计
