scope,label,n,mean,std,p01,p05,p50,p95,p99
all_events,relative_mv_return_p0_p5,6149,0.007520991871682154,0.11406969763742177,-0.3060067410872224,-0.1188406539462223,-0.0021785608783282,0.15788044234232093,0.6241188235435982
all_events,relative_mv_return_p0_p20,6149,0.006191105178871747,0.16105802801641203,-0.3037988514353443,-0.1965977734241705,-0.0104403155875648,0.251345329012008,0.7620024575289162
all_events,relative_mv_return_p0_p60,6149,0.011882667305422012,0.22615796548125025,-0.4639007309562131,-0.3102702135230112,-0.0166366741582726,0.41025099449030705,0.7424922630639137
all_events,abnormal_mv_impact_yi_p0_p20,6275,-0.9787843839760851,15.78774106296,-51.898575113610754,-24.795400336197616,-0.6724496000000001,20.2866417752092,63.14439995541001
default_training_candidate,relative_mv_return_p0_p5,5982,0.005470275981960307,0.10813044371638666,-0.3060067410872224,-0.11870837310562082,-0.0023932835230356,0.15036589174108547,0.4085992312729809
default_training_candidate,relative_mv_return_p0_p20,5982,0.0035589052129425896,0.1520506311031958,-0.30329457659910625,-0.19569655010036252,-0.0107826416379951,0.2461977183248094,0.5931583677826082
default_training_candidate,relative_mv_return_p0_p60,5982,0.009381624370414161,0.22086758431906547,-0.4639007309562131,-0.3102702135230112,-0.0177741690892608,0.40364153504789646,0.6659416371788859
default_training_candidate,abnormal_mv_impact_yi_p0_p20,5982,-1.03058642066546,15.527051267099946,-50.03619510246877,-24.811201482174006,-0.7520101651033502,20.016123328969034,63.14439995541001
clean_p20,relative_mv_return_p0_p5,55,-0.016752352991457484,0.06310457754907153,-0.19742367995909701,-0.0974361243392796,-0.0212586542681457,0.0780283572871541,0.11001983961112607
clean_p20,relative_mv_return_p0_p20,55,-0.023675748385937806,0.10766993102264752,-0.24534044063262786,-0.19049989239536388,-0.0160203028823667,0.1318681675772579,0.2638717140943335
clean_p20,relative_mv_return_p0_p60,55,-0.03398413083779137,0.23086761116774296,-0.4915710237428044,-0.29647176531257574,-0.0374422349236764,0.2695303188651342,0.7346830256181626
clean_p20,abnormal_mv_impact_yi_p0_p20,57,-2.578213556556047,11.108970036933307,-42.63521412759842,-20.760543030984177,-0.5677381944,6.804516370499824,18.699254867114362
subject_company,relative_mv_return_p0_p5,753,0.008751518045593957,0.08619481381880303,-0.1757266029797348,-0.1117089828843708,-0.0006024611532168,0.12816693107253838,0.2799664415917232
subject_company,relative_mv_return_p0_p20,753,-0.003191873136394455,0.1254885476236679,-0.2027009516975819,-0.1692335696447926,-0.0142306565670679,0.2513494569608673,0.3703934894483434
subject_company,relative_mv_return_p0_p60,753,0.002840897181147572,0.1788447905964426,-0.39241403289069066,-0.2264345482176903,-0.0206003183635233,0.32981841821878,0.4492296662691348
subject_company,abnormal_mv_impact_yi_p0_p20,753,-0.9973245564073003,7.475762904388326,-22.062528282984,-10.924577836152617,-1.085319584375599,11.87409866909382,21.05755726608412
