review_rank,keep_code,noise_code,category_code,confidence_code,note_code,company,symbol,event_date,primary_category,title,evidence_to_check,review_reason,suggested_action,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,overlap_event_count_p0_p20,split,default_model_scope,analysis_group_id
1,,,,,,移为通信,300590,2017-01-11,其他,关于“N移为”盘中临时停牌的公告,关于“N移为”盘中临时停牌的公告 || 关于“N移为”盘中临时停牌的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.9403478826302528,43.53129479999998,4,train,audit_or_aux,300590|2017-01-11|其他
2,,,,,,移为通信,300590,2017-01-13,其他,股票交易异常波动公告(2017/1/13),股票交易异常波动公告(2017/1/13) || 股票交易异常波动公告(2017/1/13),top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.6116221734226096,24.128436800000003,5,train,audit_or_aux,300590|2017-01-13|其他
3,,,,,,移为通信,300590,2021-06-28,其他,关于召开公司2021年第三次临时股东大会的通知,关于召开公司2021年第三次临时股东大会的通知 || 关于召开公司2021年第三次临时股东大会的通知 || 独立董事关于第三届董事会第七次会议相关事项的独立意见 || 第三届监事会第六次会议决议公告 || 第三届董事会第七次会议决议公告,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.4499163539912483,22.08414333494673,15,train,audit_or_aux,300590|2021-06-28|其他
4,,,,,,移为通信,300590,2020-11-04,其他,国信证券股份有限公司关于公司2020年度持续督导培训工作报告,国信证券股份有限公司关于公司2020年度持续督导培训工作报告 || 国信证券股份有限公司关于公司2020年度持续督导培训工作报告,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.4210235997676131,21.61988623250229,7,train,audit_or_aux,300590|2020-11-04|其他
5,,,,,,移为通信,300590,2020-11-02,其他,2020年第二次临时股东大会的法律意见书,2020年第二次临时股东大会的法律意见书 || 2020年第二次临时股东大会的法律意见书 || 第三届董事会第一次会议决议公告 || 独立董事关于第三届董事会第一次会议相关事项的独立意见 || 2020年第二次临时股东大会决议公告 || 第三届监事会第一次会议决议公告 || 关于公司董事会、监事会完成换届选举及聘任公司高级管理人员和证券事务代表的公告,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.4330484034059093,21.05755726608412,8,train,audit_or_aux,300590|2020-11-02|其他
6,,,,,,移为通信,300590,2020-10-29,其他,第二届董事会第三十次会议决议公告,第二届董事会第三十次会议决议公告 || 第二届董事会第三十次会议决议公告 || 第二届监事会第二十九次会议决议公告,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.317142965752612,18.274004886222,12,train,audit_or_aux,300590|2020-10-29|其他
7,,,,,,移为通信,300590,2021-07-13,其他,2021年第三次临时股东大会的法律意见书,2021年第三次临时股东大会的法律意见书 || 2021年第三次临时股东大会的法律意见书 || 2021年第三次临时股东大会决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2823471887358805,16.577240510215283,16,train,audit_or_aux,300590|2021-07-13|其他
8,,,,,,移为通信,300590,2021-07-16,其他,第三届监事会第七次会议决议公告,第三届监事会第七次会议决议公告 || 第三届监事会第七次会议决议公告 || 独立董事关于第三届董事会第八次会议相关事项的独立意见 || 第三届董事会第八次会议决议公告,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2929002231847734,15.89669607257234,14,train,audit_or_aux,300590|2021-07-16|其他
9,,,,,,移为通信,300590,2017-01-17,其他,股票交易异常波动公告(2017/1/17),股票交易异常波动公告(2017/1/17) || 股票交易异常波动公告(2017/1/17),category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.28176366668717,16.489709599999998,4,train,audit_or_aux,300590|2017-01-17|其他
10,,,,,,移为通信,300590,2017-06-15,其他,关于公司完成工商变更登记的公告,关于公司完成工商变更登记的公告 || 关于公司完成工商变更登记的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2746725357321163,-14.74308613333333,48,train,audit_or_aux,300590|2017-06-15|其他
