review_rank,analysis_group_id,company,symbol,event_date,title,primary_category,manual_review_status,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_confidence,manual_note_label,manual_reviewer,manual_review_date,keep_code,noise_code,category_code,confidence_code,note_code,review_reason,suggested_action
1,300590|2017-01-11|其他,移为通信,300590,2017-01-11,关于“N移为”盘中临时停牌的公告,其他,noise,0,1,交易机制/IPO,很确定,极端标签但事件本身可信,user_numeric_review,2026-06-14,0,1,8,1,1,top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
2,300590|2017-01-13|其他,移为通信,300590,2017-01-13,股票交易异常波动公告(2017/1/13),其他,noise,0,1,交易机制/IPO,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,8,1,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
3,300590|2021-06-28|其他,移为通信,300590,2021-06-28,关于召开公司2021年第三次临时股东大会的通知,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类
4,300590|2020-11-04|其他,移为通信,300590,2020-11-04,国信证券股份有限公司关于公司2020年度持续督导培训工作报告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类
5,300590|2020-11-02|其他,移为通信,300590,2020-11-02,2020年第二次临时股东大会的法律意见书,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类
6,300590|2020-10-29|其他,移为通信,300590,2020-10-29,第二届董事会第三十次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类
7,300590|2021-07-13|其他,移为通信,300590,2021-07-13,2021年第三次临时股东大会的法律意见书,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
8,300590|2021-07-16|其他,移为通信,300590,2021-07-16,第三届监事会第七次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类
9,300590|2017-01-17|其他,移为通信,300590,2017-01-17,股票交易异常波动公告(2017/1/17),其他,noise,0,1,交易机制/IPO,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,8,1,0,category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
10,300590|2017-06-15|其他,移为通信,300590,2017-06-15,关于公司完成工商变更登记的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
