review_rank,review_reason,suggested_action,analysis_group_id,company,symbol,event_date,split,default_model_scope,primary_category,capital_action_subtype,source_type,source_types,title,group_titles_sample,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,actual_mv_return_p0_p20,peer_avg_mv_return_p0_p20,overlap_event_count_p0_p20,is_overlap_clean_p0_p20,source_count,group_event_count,group_source_count,has_main_label,is_default_training_candidate,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_notes
1,top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,300590|2017-01-11|其他,移为通信,300590,2017-01-11,train,audit_or_aux,其他,,announcement,announcement,关于“N移为”盘中临时停牌的公告,关于“N移为”盘中临时停牌的公告,0.9403478826302528,43.53129479999998,0.7959034381858083,-0.1444444444444445,4,False,1,1,1,1,0,,,,
2,top_positive_label|extreme_relative_label|large_mv_impact|category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,300590|2017-01-13|其他,移为通信,300590,2017-01-13,train,audit_or_aux,其他,,announcement,announcement,股票交易异常波动公告(2017/1/13),股票交易异常波动公告(2017/1/13),0.6116221734226096,24.128436800000003,0.5091997339835956,-0.102422439439014,5,False,1,1,1,1,0,,,,
3,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2021-06-28|其他,移为通信,300590,2021-06-28,train,audit_or_aux,其他,,announcement,announcement,关于召开公司2021年第三次临时股东大会的通知,关于召开公司2021年第三次临时股东大会的通知 || 独立董事关于第三届董事会第七次会议相关事项的独立意见 || 第三届监事会第六次会议决议公告 || 第三届董事会第七次会议决议公告,0.4499163539912483,22.08414333494673,0.4479166666666667,-0.0019996873245816,15,False,1,4,1,1,1,,,,
4,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2020-11-04|其他,移为通信,300590,2020-11-04,train,audit_or_aux,其他,,announcement,announcement,国信证券股份有限公司关于公司2020年度持续督导培训工作报告,国信证券股份有限公司关于公司2020年度持续督导培训工作报告,0.4210235997676131,21.61988623250229,0.4478813559322032,0.0268577561645901,7,False,1,1,1,1,1,,,,
5,top_positive_label|extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2020-11-02|其他,移为通信,300590,2020-11-02,train,audit_or_aux,其他,,announcement,announcement,2020年第二次临时股东大会的法律意见书,2020年第二次临时股东大会的法律意见书 || 第三届董事会第一次会议决议公告 || 独立董事关于第三届董事会第一次会议相关事项的独立意见 || 2020年第二次临时股东大会决议公告 || 第三届监事会第一次会议决议公告 || 关于公司董事会、监事会完成换届选举及聘任公司高级管理人员和证券事务代表的公告,0.4330484034059093,21.05755726608412,0.4855769230769229,0.0525285196710136,8,False,1,6,1,1,1,,,,
6,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2020-10-29|其他,移为通信,300590,2020-10-29,train,audit_or_aux,其他,,announcement,announcement,第二届董事会第三十次会议决议公告,第二届董事会第三十次会议决议公告 || 第二届监事会第二十九次会议决议公告,0.317142965752612,18.274004886222,0.3463081861958268,0.0291652204432148,12,False,1,2,1,1,1,,,,
7,category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2021-07-13|其他,移为通信,300590,2021-07-13,train,audit_or_aux,其他,,announcement,announcement,2021年第三次临时股东大会的法律意见书,2021年第三次临时股东大会的法律意见书 || 2021年第三次临时股东大会决议公告,0.2823471887358805,16.577240510215283,0.3255860332223836,0.0432388444865031,16,False,1,2,1,1,1,,,,
8,extreme_relative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2021-07-16|其他,移为通信,300590,2021-07-16,train,audit_or_aux,其他,,announcement,announcement,第三届监事会第七次会议决议公告,第三届监事会第七次会议决议公告 || 独立董事关于第三届董事会第八次会议相关事项的独立意见 || 第三届董事会第八次会议决议公告,0.2929002231847734,15.89669607257234,0.3262702206279937,0.0333699974432203,14,False,1,3,1,1,1,,,,
9,category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,300590|2017-01-17|其他,移为通信,300590,2017-01-17,train,audit_or_aux,其他,,announcement,announcement,股票交易异常波动公告(2017/1/17),股票交易异常波动公告(2017/1/17),0.28176366668717,16.489709599999998,0.2693294246976914,-0.0124342419894787,4,False,1,1,1,1,0,,,,
10,category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2017-06-15|其他,移为通信,300590,2017-06-15,train,audit_or_aux,其他,,announcement,announcement,关于公司完成工商变更登记的公告,关于公司完成工商变更登记的公告,0.2746725357321163,-14.74308613333333,0.2707606420097697,-0.0039118937223466,48,False,1,1,1,1,1,,,,
