dataset,company,ts_code,symbol,rows,first_date,last_date,expected_start_date,expected_end_date,date_parse_rate,source_known_limit,completeness_level,coverage_status,limitation,recommendation,source_path
eastmoney_ir,移为通信,300590.SZ,300590,56,2025-07-16,2026-05-15,2017-01-11,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,移远通信,603236.SH,603236,355,2025-07-31,2026-05-20,2019-07-16,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,高新兴,300098.SZ,300098,2,2025-09-19,2026-05-07,2010-07-28,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,广和通,300638.SZ,300638,116,2025-08-26,2026-04-10,2017-04-13,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,日海智能,002313.SZ,002313,1,2026-04-29,2026-04-29,2009-12-03,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,锐明技术,002970.SZ,002970,189,2025-10-23,2026-04-28,2019-12-17,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,有方科技,688159.SH,688159,4,2025-07-14,2025-07-14,2020-01-23,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,美格智能,002881.SZ,002881,10,2026-05-14,2026-06-12,2017-06-22,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
eastmoney_ir,博实结,301608.SZ,301608,137,2025-06-18,2026-06-12,2024-08-01,2026-06-13,1.0,东方财富机构调研/业绩说明会当前采集更偏近期，不代表上市以来全量管理层沟通。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/eastmoney_ir/all_companies_ir.csv
irm_questions,移为通信,300590.SZ,300590,11,2026-03-24,2026-06-04,2017-01-11,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,移远通信,603236.SH,603236,0,,,2019-07-16,2026-06-13,0.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,缺失,该公司在当前汇总表无记录，不能判断该类信息是否完整,补采交易所/数据源对应公司数据,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,高新兴,300098.SZ,300098,52,2026-03-16,2026-06-12,2010-07-28,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,广和通,300638.SZ,300638,32,2026-04-03,2026-06-11,2017-04-13,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,日海智能,002313.SZ,002313,11,2026-03-25,2026-06-01,2009-12-03,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,锐明技术,002970.SZ,002970,18,2026-03-31,2026-06-12,2019-12-17,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,有方科技,688159.SH,688159,0,,,2020-01-23,2026-06-13,0.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,缺失,该公司在当前汇总表无记录，不能判断该类信息是否完整,补采交易所/数据源对应公司数据,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,美格智能,002881.SZ,002881,13,2026-03-23,2026-06-09,2017-06-22,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
irm_questions,博实结,301608.SZ,301608,39,2026-03-17,2026-06-12,2024-08-01,2026-06-13,1.0,互动易样本不含已失败的沪市/科创板 e 互动来源，且当前采集更偏近期。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/cninfo_irm_questions/all_companies.csv
research_report,移为通信,300590.SZ,300590,71,2017-03-07,2024-10-30,2017-01-11,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
