signal_id,source_dataset,source_type,company,ts_code,symbol,event_date,occurred_date,disclosed_date,date_basis,management_signal_group,management_signal_topics,primary_category,title,summary,rating,institution,institution_count,receptionist,receive_way,source_url,local_pdf_path,evidence_count,analysis_group_id,car_status,aligned_trade_date,pre_total_mv_yi,event_turnover_rate,event_volume_ratio,actual_mv_return_p0_p5,actual_mv_return_p0_p20,actual_mv_return_p0_p60,actual_mv_change_yi_p0_p20,peer_avg_mv_return_p0_p20,peer_rank_by_mv_return_p0_p20,peer_rank_total_p0_p20,car_p0_p20,abnormal_mv_impact_yi_p0_p20,group_event_count,group_source_count,group_evidence_count,group_titles_sample,market_response_status,actual_mv_change_yi_p0_p5,end_trade_date_p0_p5,end_trade_date_p0_p20,actual_mv_change_yi_p0_p60,end_trade_date_p0_p60,peer_avg_mv_return_p0_p5,peer_count_p0_p5,peer_rank_by_mv_return_p0_p5,peer_rank_total_p0_p5,peer_count_p0_p20,peer_avg_mv_return_p0_p60,peer_count_p0_p60,peer_rank_by_mv_return_p0_p60,peer_rank_total_p0_p60,market_response_label,is_subject_company,car_is_auxiliary
institution_survey:537da0a824abb699,eastmoney_ir,institution_survey,博实结,301608.SZ,301608,2026-06-12,2026-06-12,2026-06-12,disclosed_date,投关沟通,机构调研|互动问答,管理层/投关信号,博实结 路演活动 2026年6月12日,参加申万宏源策略会的投资者 广东省深圳市东海朗廷酒店,,,1,"副总经理、董事会秘书 向碧琼,证券事务代表 王占超",路演活动,,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
irm_qa:1fa31535096e81b9,cninfo_irm_questions,irm_qa,博实结,301608.SZ,301608,2026-06-12,,2026-06-12,disclosed_date,互动问答,业绩说明|互动问答|资本动作|券商关注,管理层/投关信号,尊敬的董秘您好！公司从去年一季度开始到今年一季度业绩可圈可点，但股价却不见起色，持有一年却还亏损。公司是否有稳定股价的方法如：增持股票。放弃减持。,"尊敬的投资者，您好！2025年度，公司实现营业收入17.12亿元，较上年同期增加22.10%，实现归属于上市公司股东的净利润2.35亿元，较上年同期增加33.65%。2026年第一季度，公司实现营业收入4.18亿元，较上年同期增加20.33%，实现归属于上市公司股东的净利润0.55亿元，较上年同期增加36.72%，实现归属于上市公司股东的扣除非经常性损益的净利润0.51亿元，较上年同期增加51.61%。公司高度重视投资者回报，2024、2025年度累计实施4次现金分红，其中2024年度分红合计 8,606.40 万元，2025年度分红合计8,500.06 万元；2025年度同步推出资本公积金每 10 股转增 4.9 股方案，持续回馈股东。感谢您的关注！",,,,博实结,公众号,,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
irm_qa:94127c128ea11f48,cninfo_irm_questions,irm_qa,博实结,301608.SZ,301608,2026-06-12,,2026-06-12,disclosed_date,互动问答,互动问答|产品技术|客户订单,管理层/投关信号,据有关权威媒体报道，目前我国有过亿骑行爱好者，目前在骑行领域，公司有没有哪些产品，目前销售量是不是在上升。,尊敬的投资者，您好！在智慧出行领域，公司为青桔（滴滴出行旗下）、哈啰出行、美团单车、九号公司等客户提供智能轮毂锁、电单中控产品、电助力自行车组件等智能化组件产品。2025年度，公司智慧出行组件产品实现收入4.01亿元，相比2024年同期增长15.21%。感谢您的关注！,,,,博实结,APP,,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
irm_qa:db30caf440b87371,cninfo_irm_questions,irm_qa,博实结,301608.SZ,301608,2026-06-12,,2026-06-12,disclosed_date,互动问答,互动问答|战略表达|产品技术,管理层/投关信号,董秘您好！公司深耕两辆车智能化多年，又有海外的销售渠道，当前油价高企电动化加速。两辆电动车出口暴增！建议公司介入两辆车的出口业务，打造自己的品牌，期待电动两辆车的保时捷的到来。,,,,,,公众号,,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
irm_qa:a88264f0923ef596,cninfo_irm_questions,irm_qa,博实结,301608.SZ,301608,2026-06-12,,2026-06-12,disclosed_date,互动问答,待归类,管理层/投关信号,请问，截至2026年六月 10日公司的股东总数是多少？谢谢,,,,,,网站,,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
news:3c2b75436562be4e,eastmoney_stock_news,news,博实结,301608.SZ,301608,2026-06-12,,2026-06-12,disclosed_date,投关沟通,机构调研,301608,182家公司获机构调研（附名单）,-9.71 通信 301258 富士莱 1 11 24.63 -2.96 医药生物 301389 隆扬电子 1 11 93.30 13.68 电子 300731 科创新源 1 11 56.74 -8.04 基础化工 301215 中汽股份 2 11 5.03 -10.18 汽车 301608,,证券时报网,,,,http://finance.eastmoney.com/a/202606123769188188.html,,,,,2026-06-12,64.4412186,2.251,0.71,0.005967078189300423,0.005967078189300423,0.005967078189300423,0.38452578999999676,-0.002906522441010237,4.0,9.0,,,,,,,ok,0.38452578999999676,2026-06-12,2026-06-12,0.38452578999999676,2026-06-12,-0.002906522441010237,8.0,4.0,9.0,8.0,-0.002906522441010237,8.0,4.0,9.0,接近竞品均值,0,0
news:7b3bfed5ebd12248,eastmoney_stock_news,news,广和通,300638.SZ,300638,2026-06-12,,2026-06-12,disclosed_date,资本配置/利益绑定,资本动作,300638,广和通：控股股东张天瑜解除72万股质押,6月12日，广和通（300638/00638）发布公告，控股股东张天瑜将其持有的72万股股份于2026年6月11日提前购回解除质押，占其所持股份的0.26%及公司总股本的0.08%。,,财中社,,,,http://finance.eastmoney.com/a/202606123769908062.html,,,,,2026-06-12,174.45757374,2.4519,0.88,0.014948453564341158,0.014948453564341158,0.014948453564341158,2.607870940000005,-0.004029194362890329,2.0,9.0,,,,,,,ok,2.607870940000005,2026-06-12,2026-06-12,2.607870940000005,2026-06-12,-0.004029194362890329,8.0,2.0,9.0,8.0,-0.004029194362890329,8.0,2.0,9.0,接近竞品均值,0,0
institution_survey:3f130f76eccc8770,eastmoney_ir,institution_survey,美格智能,002881.SZ,002881,2026-06-12,2026-06-11,2026-06-12,disclosed_date,投关沟通,机构调研|产品技术,管理层/投关信号,美格智能 特定对象调研 2026年6月11日,粒子跃动 公司全资子公司众格智能会议室(上海市闵行区),,,6,"董事长 王平,副董事长 杜国彬,证券部 皮佳颖",特定对象调研,,,,,,2026-06-12,123.91457991,6.1944,0.86,-0.016329514989032345,-0.016329514989032345,-0.016329514989032345,-2.0234649899999844,-0.00011944829371864085,8.0,9.0,,,,,,,ok,-2.0234649899999844,2026-06-12,2026-06-12,-2.0234649899999844,2026-06-12,-0.00011944829371864085,8.0,8.0,9.0,8.0,-0.00011944829371864085,8.0,8.0,9.0,接近竞品均值,0,0
institution_survey:87b4f79141d98edf,eastmoney_ir,institution_survey,美格智能,002881.SZ,002881,2026-06-12,2026-06-11,2026-06-12,disclosed_date,投关沟通,机构调研|产品技术,管理层/投关信号,美格智能 特定对象调研 2026年6月11日,弘晖资管 公司全资子公司众格智能会议室(上海市闵行区),,,5,"董事长 王平,副董事长 杜国彬,证券部 皮佳颖",特定对象调研,,,,,,2026-06-12,123.91457991,6.1944,0.86,-0.016329514989032345,-0.016329514989032345,-0.016329514989032345,-2.0234649899999844,-0.00011944829371864085,8.0,9.0,,,,,,,ok,-2.0234649899999844,2026-06-12,2026-06-12,-2.0234649899999844,2026-06-12,-0.00011944829371864085,8.0,8.0,9.0,8.0,-0.00011944829371864085,8.0,8.0,9.0,接近竞品均值,0,0
institution_survey:829421a2e29cdfb5,eastmoney_ir,institution_survey,美格智能,002881.SZ,002881,2026-06-12,2026-06-11,2026-06-12,disclosed_date,投关沟通,机构调研|产品技术,管理层/投关信号,美格智能 特定对象调研 2026年6月11日,华安证券 公司全资子公司众格智能会议室(上海市闵行区),,,7,"董事长 王平,副董事长 杜国彬,证券部 皮佳颖",特定对象调研,,,,,,2026-06-12,123.91457991,6.1944,0.86,-0.016329514989032345,-0.016329514989032345,-0.016329514989032345,-2.0234649899999844,-0.00011944829371864085,8.0,9.0,,,,,,,ok,-2.0234649899999844,2026-06-12,2026-06-12,-2.0234649899999844,2026-06-12,-0.00011944829371864085,8.0,8.0,9.0,8.0,-0.00011944829371864085,8.0,8.0,9.0,接近竞品均值,0,0
institution_survey:f02330e9625b5995,eastmoney_ir,institution_survey,美格智能,002881.SZ,002881,2026-06-12,2026-06-11,2026-06-12,disclosed_date,投关沟通,机构调研|产品技术,管理层/投关信号,美格智能 特定对象调研 2026年6月11日,刘一 公司全资子公司众格智能会议室(上海市闵行区),,,9,"董事长 王平,副董事长 杜国彬,证券部 皮佳颖",特定对象调研,,,,,,2026-06-12,123.91457991,6.1944,0.86,-0.016329514989032345,-0.016329514989032345,-0.016329514989032345,-2.0234649899999844,-0.00011944829371864085,8.0,9.0,,,,,,,ok,-2.0234649899999844,2026-06-12,2026-06-12,-2.0234649899999844,2026-06-12,-0.00011944829371864085,8.0,8.0,9.0,8.0,-0.00011944829371864085,8.0,8.0,9.0,接近竞品均值,0,0
institution_survey:4204be1164bf1aaa,eastmoney_ir,institution_survey,美格智能,002881.SZ,002881,2026-06-12,2026-06-11,2026-06-12,disclosed_date,投关沟通,机构调研|产品技术,管理层/投关信号,美格智能 特定对象调研 2026年6月11日,中金财富 公司全资子公司众格智能会议室(上海市闵行区),,,8,"董事长 王平,副董事长 杜国彬,证券部 皮佳颖",特定对象调研,,,,,,2026-06-12,123.91457991,6.1944,0.86,-0.016329514989032345,-0.016329514989032345,-0.016329514989032345,-2.0234649899999844,-0.00011944829371864085,8.0,9.0,,,,,,,ok,-2.0234649899999844,2026-06-12,2026-06-12,-2.0234649899999844,2026-06-12,-0.00011944829371864085,8.0,8.0,9.0,8.0,-0.00011944829371864085,8.0,8.0,9.0,接近竞品均值,0,0
