table,column,dtype,source,business_meaning,leakage_risk
event_master,analysis_group_id,string,event_analysis_groups_scored,事件组唯一键,none
event_master,event_id,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,company,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,ts_code,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,symbol,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,event_date,date,event_analysis_groups_scored,事件发生或披露日期,none
event_master,aligned_trade_date,date,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,pre_trade_date,date,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,source_type,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,source_types,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,primary_category,category,event_analysis_groups_scored,事件主分类,low
event_master,category_tags,string,event_analysis_groups_scored / event_overlap_diagnostics,事件类型哑变量,none
event_master,title,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,summary,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,group_titles_sample,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,source_url,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,pdf_url,float,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,local_pdf_path,float,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,has_pdf,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,source_count,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,group_event_count,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,group_source_count,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,group_evidence_count,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,car_status,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,target_or_post_event
event_master,is_subject_company,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,is_peer_event,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,is_pre_listing,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,is_ipo_listing_related,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,is_market_trading_related,integer,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,capital_action_subtype,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,capital_action_subtype_hits,string,event_analysis_groups_scored / event_overlap_diagnostics,由上游 SSOT 派生的建模或审计字段,none
event_master,overlap_event_count_p0_p5,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,overlap_event_count_p0_p20,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,overlap_event_count_p0_p60,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,overlap_category_count_p0_p20,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,overlap_categories_p0_p20,string,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,is_overlap_clean_p0_p5,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,is_overlap_clean_p0_p20,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
event_master,is_overlap_clean_p0_p60,integer,event_analysis_groups_scored / event_overlap_diagnostics,事件窗口污染诊断字段，不进入默认特征,none
label_master,analysis_group_id,string,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,event_date,date,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,car_status,string,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,actual_mv_return_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,peer_avg_mv_return_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,relative_mv_return_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,car_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,abnormal_mv_impact_yi_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,actual_mv_change_yi_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,window_coverage_p0_p5,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,end_trade_date_p0_p5,date,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,actual_mv_return_p0_p20,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,peer_avg_mv_return_p0_p20,float,event_analysis_groups_scored,由上游 SSOT 派生的建模或审计字段,target
label_master,relative_mv_return_p0_p20,float,event_analysis_groups_scored,主标签：事件后 20 个交易日公司市值收益率减同行平均市值收益率,target
