analysis_group_id,event_date,split,split_reason,has_main_label,is_default_training_candidate,is_clean_p0_p20,default_model_scope
300590|2017-01-11|其他,2017-01-11,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300638|2017-04-13|其他,2017-04-13,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002970|2019-12-17|风险事件,2019-12-17,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002970|2019-12-17|其他,2019-12-17,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002881|2017-06-22|风险事件,2017-06-22,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002881|2017-06-22|其他,2017-06-22,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
603236|2019-07-16|其他,2019-07-16,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002970|2019-12-20|管理层/投关信号,2019-12-20,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2017-04-18|政策/行业,2017-04-18,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2017-04-18|其他,2017-04-18,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300590|2017-01-13|其他,2017-01-13,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-05-28|资本动作,2015-05-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-13|资本动作,2015-06-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2017-04-20|其他,2017-04-20,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-05-28|其他,2015-05-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-01|其他,2015-04-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-02-28|业绩信号,2015-02-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-09|其他,2015-06-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-27|业绩信号,2015-04-27,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-02|业绩信号,2015-04-02,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002970|2019-12-23|其他,2019-12-23,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-05-09|资本动作,2015-05-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-17|资本动作,2015-04-17,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-09|风险事件,2015-06-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-13|其他,2015-03-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-01|业绩信号,2015-04-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-09|资本动作,2015-06-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-18|风险事件,2015-03-18,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-04|风险事件,2015-06-04,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-25|客户/订单,2015-04-25,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-13|风险事件,2015-03-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-28|风险事件,2015-05-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-13|产品/技术创新,2015-03-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-10|资本动作,2015-04-10,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-24|资本动作,2015-04-24,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-04|业绩信号,2015-04-04,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-27|资本动作,2015-04-27,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-03-06|资本动作,2015-03-06,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-13|资本动作,2015-03-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-08|资本动作,2015-05-08,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-28|产品/技术创新,2015-05-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-20|资本动作,2015-03-20,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-01|资本动作,2015-04-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-29|资本动作,2015-04-29,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-27|资本动作,2015-05-27,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-03|资本动作,2015-06-03,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-01|资本动作,2015-05-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-28|政策/行业,2015-05-28,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-01|管理层/投关信号,2015-04-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-22|资本动作,2015-05-22,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-02-27|资本动作,2015-02-27,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-27|资本动作,2015-03-27,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-04-03|资本动作,2015-04-03,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-15|资本动作,2015-05-15,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-25|其他,2015-04-25,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-02-13|其他,2015-02-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-09|其他,2015-05-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-31|其他,2015-03-31,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-18|其他,2015-04-18,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-04-22|其他,2015-04-22,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-26|其他,2015-03-26,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-29|其他,2015-05-29,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-03-18|其他,2015-03-18,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-05-01|其他,2015-05-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2017-04-24|其他,2017-04-24,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
688159|2020-02-04|其他,2020-02-04,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
603236|2019-07-19|产品/技术创新,2019-07-19,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002881|2017-06-28|其他,2017-06-28,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
603236|2019-07-19|其他,2019-07-19,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002881|2020-01-22|其他,2020-01-22,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-16|其他,2015-06-16,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002881|2017-06-29|其他,2017-06-29,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2020-01-23|风险事件,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-12|资本动作,2015-06-12,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002881|2017-06-30|其他,2017-06-30,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-06-12|其他,2015-06-12,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2015-06-11|客户/订单,2015-06-11,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-07-03|其他,2015-07-03,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2015-06-16|产品/技术创新,2015-06-16,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-11|其他,2015-06-11,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2015-06-16|其他,2015-06-16,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2017-01-17|其他,2017-01-17,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002970|2019-12-25|其他,2019-12-25,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
002970|2020-01-23|其他,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2020-01-23|客户/订单,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2020-01-23|管理层/投关信号,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-07-05|其他,2016-07-05,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2021-07-16|资本动作,2021-07-16,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-07-05|其他,2016-07-05,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-07-02|产品/技术创新,2016-07-02,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2020-01-23|资本动作,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2024-07-27|其他,2024-07-27,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300098|2016-07-06|其他,2016-07-06,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002881|2025-01-23|业绩信号,2025-01-23,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300098|2016-07-01|管理层/投关信号,2016-07-01,excluded_unlabeled,主标签 relative_mv_return_p0_p20 缺失，保留审计但不进入默认建模,0,0,0,audit_or_aux
300590|2021-07-16|其他,2021-07-16,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2020-01-23|其他,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2024-07-26|管理层/投关信号,2024-07-26,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
002313|2022-04-30|其他,2022-04-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
688159|2023-05-13|其他,2023-05-13,valid,事件日在 2023 年,1,1,0,audit_or_aux
300098|2020-01-23|业绩信号,2020-01-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002881|2021-10-09|业绩信号,2021-10-09,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-06-24|风险事件,2016-06-24,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-06-20|产品/技术创新,2016-06-20,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300638|2024-07-26|资本动作,2024-07-26,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
603236|2021-01-30|业绩信号,2021-01-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2022-04-30|业绩信号,2022-04-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-27|资本动作,2016-12-27,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-17|其他,2015-06-17,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-07-04|其他,2016-07-04,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2024-07-26|其他,2024-07-26,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300638|2019-02-23|业绩信号,2019-02-23,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-06-20|其他,2016-06-20,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2016-06-25|其他,2016-06-25,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
603236|2019-07-23|产品/技术创新,2019-07-23,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300098|2017-01-14|业绩信号,2017-01-14,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-30|其他,2016-12-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2022-04-30|风险事件,2022-04-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002881|2019-08-01|资本动作,2019-08-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2017-06-21|政策/行业,2017-06-21,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300638|2025-01-21|资本动作,2025-01-21,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
603236|2019-07-23|其他,2019-07-23,train,事件日不晚于 2022-12-31,1,0,0,audit_or_aux
300590|2024-04-10|资本动作,2024-04-10,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300098|2024-06-04|资本动作,2024-06-04,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
002313|2022-04-30|资本动作,2022-04-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2019-07-15|业绩信号,2019-07-15,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2019-07-13|业绩信号,2019-07-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-27|其他,2016-12-27,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2022-05-05|风险事件,2022-05-05,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2022-04-30|政策/行业,2022-04-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-21|风险事件,2017-01-21,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-21|资本动作,2017-01-21,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-07-01|其他,2015-07-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2015-06-17|资本动作,2015-06-17,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002881|2025-02-05|其他,2025-02-05,test,事件日不早于 2024-01-01,1,0,0,audit_or_aux
300098|2016-12-24|客户/订单,2016-12-24,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-07|风险事件,2017-01-07,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-12|客户/订单,2017-01-12,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-01|客户/订单,2016-12-01,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-22|资本动作,2016-12-22,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-03|客户/订单,2016-12-03,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-13|资本动作,2016-12-13,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-30|风险事件,2016-12-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-11-19|资本动作,2016-11-19,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
002313|2015-07-03|其他,2015-07-03,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2024-04-10|管理层/投关信号,2024-04-10,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
603236|2023-04-26|产品/技术创新,2023-04-26,valid,事件日在 2023 年,1,1,0,audit_or_aux
300098|2016-11-25|其他,2016-11-25,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-30|资本动作,2016-12-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2026-04-23|其他,2026-04-23,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300098|2015-06-30|其他,2015-06-30,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300590|2024-04-08|风险事件,2024-04-08,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
300590|2026-04-23|业绩信号,2026-04-23,test,事件日不早于 2024-01-01,1,1,0,audit_or_aux
688159|2023-05-16|其他,2023-05-16,valid,事件日在 2023 年,1,1,0,audit_or_aux
300098|2017-04-14|资本动作,2017-04-14,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-04-14|产品/技术创新,2017-04-14,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-14|风险事件,2017-01-14,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-08|资本动作,2016-12-08,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-06|资本动作,2017-01-06,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-15|资本动作,2016-12-15,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-07|资本动作,2017-01-07,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2016-12-24|资本动作,2016-12-24,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
300098|2017-01-12|资本动作,2017-01-12,train,事件日不晚于 2022-12-31,1,1,0,audit_or_aux
