company,capital_action_subtype,event_groups,ok_event_groups,clean_p0_p5_event_groups,median_car_p0_p5,median_actual_mv_return_p0_p5
广和通,债务融资,1,1,0,0.0033197142857142,-0.1050788090909433
移远通信,其他资本动作,7,7,2,-0.0231534999999999,0.0177904188277284
高新兴,其他资本动作,15,15,0,-0.00150825,-0.0062597808936517
日海智能,其他资本动作,7,7,0,-0.00063875,-0.0339399901623217
广和通,其他资本动作,6,6,0,-0.00032108571428569963,-0.0187566058614736
移为通信,其他资本动作,4,4,0,-0.0129261428571428,0.0063192323297535016
有方科技,其他资本动作,3,3,0,0.0010172857142857,0.0228028500424362
美格智能,其他资本动作,3,3,0,0.0409441428571428,0.065997888067049
锐明技术,其他资本动作,3,3,0,-0.005927875,-0.0488638649116179
博实结,其他资本动作,1,1,0,-0.02644625,-0.0713800701051577
日海智能,分红/权益分派,30,30,4,0.0,-0.0290721286100702
移为通信,分红/权益分派,27,27,3,-0.0157034285714285,-1.197211996206704e-09
美格智能,分红/权益分派,20,20,3,0.0037461428571428502,0.0303850990037445
移远通信,分红/权益分派,16,16,3,0.0129295625,0.03290544673048655
高新兴,分红/权益分派,26,26,2,0.0091215,-0.02544851795455045
广和通,分红/权益分派,23,23,2,0.0006145714285714,0.0138590202744051
锐明技术,分红/权益分派,13,13,2,0.0119925714285714,0.0313228923692101
博实结,分红/权益分派,9,9,2,0.0015692499999999,0.0327339787920701
有方科技,分红/权益分派,10,10,0,-0.0009768125000000497,-0.02040861701800055
美格智能,复合资本动作,20,20,6,0.004633321428571449,-0.0003865354447294498
广和通,复合资本动作,61,61,5,-0.0010117142857142,-0.0001764602171882
移远通信,复合资本动作,12,12,3,-0.0318716428571428,-0.01362581527238385
移为通信,复合资本动作,22,22,1,0.0187900714285714,0.009681356773812249
锐明技术,复合资本动作,12,12,1,-0.007192928571428551,0.01307691380250045
高新兴,复合资本动作,54,54,0,0.0,0.0056341279350589
日海智能,复合资本动作,7,7,0,0.0049,-0.0427710843373494
有方科技,复合资本动作,4,4,0,0.02640157142857145,-0.01694849577860915
博实结,复合资本动作,1,1,0,0.00887375,0.0059670781893004
移远通信,定增/再融资,13,13,3,0.0027642499999999,0.0138787436084732
日海智能,定增/再融资,18,18,2,-0.0035543571428570996,0.03944531543268475
美格智能,定增/再融资,9,9,2,-0.009147875,-0.0278272484416741
有方科技,定增/再融资,4,4,1,-0.07087742857142856,-0.0446717997132057
高新兴,定增/再融资,21,21,0,-0.0020481249999999,-0.0071428571064241
广和通,定增/再融资,14,14,0,0.035359625,0.012662267203983401
移为通信,定增/再融资,9,9,0,-0.0239611428571428,0.035548686244204
锐明技术,定增/再融资,1,1,0,-0.022824375,-0.0420869410084023
日海智能,并购重组/资产交易,32,32,9,0.01229999999999995,0.00815474847732905
锐明技术,并购重组/资产交易,3,3,2,0.0721235,0.0739715189730312
广和通,并购重组/资产交易,19,19,1,-0.0189164285714285,-0.0003635041697676
高新兴,并购重组/资产交易,51,51,0,0.0235175714285714,0.0294751976789848
移为通信,并购重组/资产交易,17,17,0,0.1512666666666667,0.1642036124794745
美格智能,并购重组/资产交易,3,3,0,-0.0332353999999999,-0.0160586248863107
有方科技,并购重组/资产交易,1,1,0,-0.2063749999999999,-0.1735383576497263
移远通信,并购重组/资产交易,1,1,0,-0.0738657142857142,-0.0408242950209331
移为通信,股东增减持/限售流通,68,68,15,-0.005304214285714251,0.0176111474237312
移远通信,股东增减持/限售流通,55,55,10,0.0159181428571428,0.0256720546420725
高新兴,股东增减持/限售流通,98,98,8,-0.00210762499999995,0.01022839597385365
锐明技术,股东增减持/限售流通,33,33,8,-0.0304438571428571,-0.0247128437173684
广和通,股东增减持/限售流通,66,66,7,-0.00810412499999995,-0.00287283415908595
美格智能,股东增减持/限售流通,13,13,4,-0.0125727142857142,0.0169369368707061
日海智能,股东增减持/限售流通,29,29,3,-0.0236425,-0.0066045066045066
有方科技,股东增减持/限售流通,8,8,1,0.03168928571428565,0.0221644811708122
博实结,股东增减持/限售流通,3,3,1,0.017031125,0.0368903709879115
美格智能,股份回购,31,31,10,0.0080554285714285,0.0024445280381488
高新兴,股份回购,18,18,6,-0.02694799999999995,-0.00761070337712595
锐明技术,股份回购,10,10,3,0.029449999999999952,0.0696063894375894
移远通信,股份回购,8,8,2,0.0018279999999999998,0.02320990909256985
广和通,股份回购,6,6,2,-0.0153952619047619,0.04612979332325945
移为通信,股份回购,6,6,1,0.0010207142857142993,0.0
高新兴,股权激励/员工持股,98,98,10,-0.012859312500000001,-0.006681978258374001
锐明技术,股权激励/员工持股,63,63,8,-0.000246875,0.0065300607971177
广和通,股权激励/员工持股,73,73,7,0.0018974285714285,0.0092451097667376
移为通信,股权激励/员工持股,39,39,7,-0.0072719999999999,-0.0008992806966913
日海智能,股权激励/员工持股,30,30,4,-0.02233749999999995,-0.0029239135952097003
美格智能,股权激励/员工持股,34,34,3,-0.00816457142857135,-0.00577349080131745
有方科技,股权激励/员工持股,15,15,0,0.0098997142857142,0.0448846926875174
移远通信,股权激励/员工持股,8,8,0,0.03422421428571425,0.009708289817431751
美格智能,股权质押/解押,59,59,15,-0.0029526249999999,0.0030110404691556
广和通,股权质押/解押,54,54,12,0.01307374107142855,0.01551235939381565
高新兴,股权质押/解押,44,44,4,-0.0086951666666666,-0.01023063277234375
日海智能,股权质押/解押,20,20,4,0.01247764285714285,0.023212600146005048
移为通信,股权质押/解押,2,2,0,-0.02782500000000005,-0.0568168667630143
有方科技,股权质押/解押,1,1,0,0.0831351428571428,-0.0152308422479137
