analysis_group_id,company,ts_code,symbol,event_date,aligned_trade_date,primary_category,capital_action_subtype,capital_action_subtype_hits,source_type,title,group_titles_sample,car_status,is_ipo_listing_related,is_market_trading_related,car_m1_p1,car_p0_p5,car_p0_p20,actual_mv_return_p0_p5,actual_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p5,abnormal_mv_impact_yi_p0_p20,overlap_event_count_m1_p1,overlap_category_count_m1_p1,overlap_categories_m1_p1,overlap_titles_sample_m1_p1,overlap_event_count_p0_p5,overlap_category_count_p0_p5,overlap_categories_p0_p5,overlap_titles_sample_p0_p5,overlap_event_count_m1_p5,overlap_category_count_m1_p5,overlap_categories_m1_p5,overlap_titles_sample_m1_p5,overlap_event_count_p0_p20,overlap_category_count_p0_p20,overlap_categories_p0_p20,overlap_titles_sample_p0_p20,overlap_event_count_p0_p60,overlap_category_count_p0_p60,overlap_categories_p0_p60,overlap_titles_sample_p0_p60
300098|2015-05-28|资本动作,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,资本动作,复合资本动作,股权激励/员工持股|并购重组/资产交易|定增/再融资,announcement,易方达资产高新兴1号资产管理计划资产管理合同,易方达资产高新兴1号资产管理计划资产管理合同 || 第二期员工持股计划(草案)摘要(非公开发行方式认购) || 第二期员工持股计划(草案)(非公开发行方式认购) || 易方达资产高新兴2号资产管理计划资产管理合同 || 拟发行股份收购股权涉及杭州创联电子技术有限公司股东全部权益资产评估报告书 || 广东广信君达律师事务所关于公司实施高新兴科技集团股份有限公司—第二期员工持股计划的法律意见书,ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6) || 重大资产重组停牌期间进展公告(2015-3-13),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6) || 重大资产重组停牌期间进展公告(2015-3-13),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6) || 重大资产重组停牌期间进展公告(2015-3-13),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6) || 重大资产重组停牌期间进展公告(2015-3-13),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6) || 重大资产重组停牌期间进展公告(2015-3-13)
300098|2015-06-13|资本动作,高新兴,300098.SZ,300098,2015-06-13,2015-06-15,资本动作,股权激励/员工持股,股权激励/员工持股,announcement,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,ok,False,False,0.354,0.3367999999999999,1.0096999999999998,0.1157051281832937,0.0673076923076922,30.850310080512,92.48681142604798,3,2,其他|资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告 || 关于公司股票交易异常波动公告(2015-6-12) || 关于公司股票交易异常波动公告(2015-6-16),6,3,其他|客户/订单|资本动作,关于公司股票交易异常波动公告(2015-6-16) || 分红管理制度(2015年6月) || 股东大会议事规则(2015年6月),8,3,其他|客户/订单|资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告 || 关于公司股票交易异常波动公告(2015-6-12) || 关于公司股票交易异常波动公告(2015-6-16),20,3,其他|客户/订单|资本动作,关于公司股票交易异常波动公告(2015-6-16) || 分红管理制度(2015年6月) || 股东大会议事规则(2015年6月),38,4,业绩信号|其他|客户/订单|资本动作,关于公司股票交易异常波动公告(2015-6-16) || 分红管理制度(2015年6月) || 股东大会议事规则(2015年6月)
300098|2015-05-09|资本动作,高新兴,300098.SZ,300098,2015-05-09,2015-06-09,资本动作,股权激励/员工持股,股权激励/员工持股,announcement,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书 || 关于股权激励计划第二个解锁期股票解锁的公告 || 独立董事关于公司股权激励计划第二个解锁期条件成就可解锁的独立意见,ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-04-17|资本动作,高新兴,300098.SZ,300098,2015-04-17,2015-06-09,资本动作,复合资本动作,并购重组/资产交易|股权质押/解押,announcement,关于控股股东进行质押式回购交易及股权解押的公告,关于控股股东进行质押式回购交易及股权解押的公告 || 重大资产重组停牌期间进展公告(2015-4-17),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-06-09|资本动作,高新兴,300098.SZ,300098,2015-06-09,2015-06-09,资本动作,复合资本动作,并购重组/资产交易|定增/再融资,announcement,发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(草案)(修订稿),发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(草案)(修订稿) || 关于重大资产重组事项股票复牌的提示性公告 || 发行股份及支付现金购买资产并募集配套资金暨关联交易报告书摘要(修订稿),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-04-10|资本动作,高新兴,300098.SZ,300098,2015-04-10,2015-06-09,资本动作,并购重组/资产交易,并购重组/资产交易,announcement,重大资产重组停牌期间进展公告(2015-4-10),重大资产重组停牌期间进展公告(2015-4-10),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-04-24|资本动作,高新兴,300098.SZ,300098,2015-04-24,2015-06-09,资本动作,并购重组/资产交易,并购重组/资产交易,announcement,重大资产重组停牌期间进展公告(2015-4-24),重大资产重组停牌期间进展公告(2015-4-24),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-04-27|资本动作,高新兴,300098.SZ,300098,2015-04-27,2015-06-09,资本动作,并购重组/资产交易,并购重组/资产交易,announcement,关于重大资产重组延期复牌公告,关于重大资产重组延期复牌公告,ok,False,True,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
300098|2015-03-06|资本动作,高新兴,300098.SZ,300098,2015-03-06,2015-06-09,资本动作,并购重组/资产交易,并购重组/资产交易,announcement,重大资产重组停牌期间进展公告(2015-3-6),重大资产重组停牌期间进展公告(2015-3-6),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-13),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-13),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-13),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-13),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-13)
300098|2015-03-13|资本动作,高新兴,300098.SZ,300098,2015-03-13,2015-06-09,资本动作,并购重组/资产交易,并购重组/资产交易,announcement,重大资产重组停牌期间进展公告(2015-3-13),重大资产重组停牌期间进展公告(2015-3-13),ok,False,False,0.1832,0.5157,1.0077,0.768667642752562,0.1745827232158139,32.31474353181,63.14439995541001,49,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),55,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),72,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6),92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,易方达资产高新兴1号资产管理计划资产管理合同 || 关于重大资产重组延期复牌公告 || 重大资产重组停牌期间进展公告(2015-3-6)
