capital_action_subtype,event_groups,ok_event_groups,clean_p0_p5_event_groups,company_count,ok_company_count,clean_p0_p5_company_count,yiwei_event_groups,median_car_p0_p5,median_car_p0_p20,median_actual_mv_return_p0_p5,median_actual_mv_return_p0_p20,median_abnormal_mv_impact_yi_p0_p5,median_abnormal_mv_impact_yi_p0_p20,model_readiness,readiness_reason
股东增减持/限售流通,373,373,57,9,9,9,68,-0.0048264285714285,-0.0261284285714285,0.0072815534159205,0.0055944056516288,-0.3357209465380398,-1.9450658140932884,可做描述+谨慎估计,"总样本373，CAR成功373，[0,+5]无同公司重叠57，干净样本覆盖9家公司。"
股权激励/员工持股,360,360,39,8,8,6,39,-0.0044778571428571,4.587499999999904e-05,-0.0009281741846278,-0.006333354616110801,-0.34599755271140287,0.00444841851233115,可做描述+谨慎估计,"总样本360，CAR成功360，[0,+5]无同公司重叠39，干净样本覆盖6家公司。"
股权质押/解押,180,180,35,6,6,4,2,0.00041994285714279996,0.0022857142857142503,0.0094375396745848,-0.0146486680019396,0.02484019184706265,0.17180803092570157,可做描述+谨慎估计,"总样本180，CAR成功180，[0,+5]无同公司重叠35，干净样本覆盖4家公司。"
股份回购,79,79,24,6,6,6,6,0.0022547142857142,-0.0130268571428571,0.018181818181818,0.0356655304029414,0.0955054582930288,-0.7426071407922286,可做描述+谨慎估计,"总样本79，CAR成功79，[0,+5]无同公司重叠24，干净样本覆盖6家公司。"
分红/权益分派,174,174,21,9,9,8,27,6.521428571427611e-05,-0.00788228571428565,0.0045391982783172,0.00712837309394405,0.0025915245942853002,-0.5509046473595919,可做描述+谨慎估计,"总样本174，CAR成功174，[0,+5]无同公司重叠21，干净样本覆盖8家公司。"
复合资本动作,193,193,16,9,9,5,22,0.0,-0.0055038571428571,0.0013227513052782,0.0034032898490345,0.0,-0.2349177479999995,仅描述或合并到其他类,"总样本193，CAR成功193，[0,+5]无同公司重叠16，干净样本覆盖5家公司。"
并购重组/资产交易,127,127,12,8,8,3,17,0.0301,-0.0316392499999999,0.0413962855224883,-0.0024227740763175,1.345169,-1.3435927596000008,仅描述或合并到其他类,"总样本127，CAR成功127，[0,+5]无同公司重叠12，干净样本覆盖3家公司。"
定增/再融资,89,89,8,8,8,4,9,-0.0021092499999999,-0.02599525,0.0122448978997455,0.0122448978997455,-0.2103484435241561,-1.9027980843066008,仅描述或合并到其他类,"总样本89，CAR成功89，[0,+5]无同公司重叠8，干净样本覆盖4家公司。"
其他资本动作,49,49,2,9,9,1,4,-0.00150825,-0.0088304999999999,-0.0253514056224899,-0.0059055117827043,-0.1032657599999999,-0.9208491025937148,仅描述或合并到其他类,"总样本49，CAR成功49，[0,+5]无同公司重叠2，干净样本覆盖1家公司。"
债务融资,1,1,0,1,1,0,0,0.0033197142857142,0.0637465714285714,-0.1050788090909433,-0.1179217746880059,0.4354885215329146,8.362436569822972,仅描述或合并到其他类,"总样本1，CAR成功1，[0,+5]无同公司重叠0，干净样本覆盖0家公司。"
