ts_code,firm,trade_date,rel,val_pct,log_mv,mom20,mom60,vol20,turn20,rev_cagr2,rev_cagr3,subtype,D,f_roe,f_roa,f_gross_margin,f_net_margin,f_op_margin,f_rd_intensity,f_ocf_to_rev,f_ocf_to_assets,f_fcf_to_rev,f_cash_to_assets,f_debt_to_assets,f_current_ratio,f_equity_mult,f_asset_turn,f_bps,f_rev_yoy,f_ni_yoy,f_rev_cagr2,f_rev_cagr3,f_rev_growth
300098.SZ,高新兴,20100728,-0.13273994949198809,,12.530609654121097,,,,,,,control,0,,,,,,,,,,,,,,,,,,,,
002313.SZ,日海智能,20100730,0.10428856957866339,0.3394937725994375,12.828797361793573,0.08942139099941548,-0.06566416040100254,0.019565027154010033,2.724625,,,业绩预告,1,4.477127323560779,3.1721325892354586,,11.455357185853885,13.02967149473547,,-4.418840785875306,-1.223632631973059,-8.986505383212206,46.8212644373895,29.148037123219986,3.182447121907425,1.4113935018838062,0.2769125866413573,,,,,,
002313.SZ,日海智能,20100812,0.05907544722609692,0.3603856970670952,12.864887147009613,0.1232199941877361,0.0856741573033708,0.021762836794870385,4.3306249999999995,,,control,0,4.477127323560779,3.1721325892354586,,11.455357185853885,13.02967149473547,,-4.418840785875306,-1.223632631973059,-8.986505383212206,46.8212644373895,29.148037123219986,3.182447121907425,1.4113935018838062,0.2769125866413573,,,,,,
300098.SZ,高新兴,20100813,-0.08791146366462732,0.3805104408352668,12.478600470210278,,,,,,,control,0,,,,,,,,,,,,,,,,,,,,
002313.SZ,日海智能,20100830,0.09745216257419231,0.35717155484130175,12.908674984860875,0.04828660436137078,0.11980033277870206,0.022360692224661718,4.512495,,,control,0,4.477127323560779,3.1721325892354586,,11.455357185853885,13.02967149473547,,-4.418840785875306,-1.223632631973059,-8.986505383212206,46.8212644373895,29.148037123219986,3.182447121907425,1.4113935018838062,0.2769125866413573,,,,,,
300098.SZ,高新兴,20100831,-0.07853018422662839,0.36473317865429233,12.447120552975127,-0.026171159382360587,,0.017047652887534095,8.894985,,,control,0,,,,,,,,,,,,,,,,,,,,
002313.SZ,日海智能,20100915,0.011831462487267075,0.38650060265166736,12.971773018771827,0.0659231722428748,0.12916776056707802,0.027558881267786096,4.44045,,,control,0,4.477127323560779,3.1721325892354586,,11.455357185853885,13.02967149473547,,-4.418840785875306,-1.223632631973059,-8.986505383212206,46.8212644373895,29.148037123219986,3.182447121907425,1.4113935018838062,0.2769125866413573,,,,,,
300098.SZ,高新兴,20100916,-0.03038709064756495,0.29930394431554525,12.370052008076264,-0.11598665640236072,,0.0161793232765415,5.089600000000001,,,control,0,,,,,,,,,,,,,,,,,,,,
300098.SZ,高新兴,20101014,-0.13976722460101199,0.2923433874709977,12.375840736252508,-0.0667923511984918,,0.015399361750429798,3.481015,,,control,0,,,,,,,,,,,,,,,,,,,,
002313.SZ,日海智能,20101026,0.27790607849312154,0.3812776215347529,12.984250075274694,-0.007520510483135845,0.19413216342199058,0.023145853113897184,3.4396100000000005,,,业绩预告,1,7.975861738572092,5.40498872988602,,11.99033935838807,13.44959344785502,,-1.6487048801653648,-0.7432009244982593,-6.015632111043699,42.7133888952691,32.23316919165066,2.87998538230118,1.475648171932504,0.4507786283884332,,,,,,
