维度,结论,n,观测%,SE%,MDE@80%%,功效@2%,功效@3%,功效@5%,判定
描述·剔同行,业绩快报,73,1.98,1.82,5.09,0.2,0.38,0.79,"⚠️欠功效(80%只够检5.1%);+2.0%→**inconclusive,非真 null**"
描述·剔同行,业绩预告,253,0.17,1.11,3.12,0.43,0.77,0.99,"⚠️欠功效(80%只够检3.1%);+0.2%→**inconclusive,非真 null**"
描述·剔同行,分红/权益分派,207,-0.53,0.96,2.68,0.55,0.88,1.0,功效充足(能检出≥2.7%);观测-0.5%→**可信 null/小效应**
描述·剔同行,定增/再融资,89,1.98,1.51,4.22,0.26,0.51,0.91,"⚠️欠功效(80%只够检4.2%);+2.0%→**inconclusive,非真 null**"
描述·剔同行,股东增减持/限售流通,370,-1.93,0.61,1.72,0.9,1.0,1.0,功效充足且观测显著
描述·剔同行,股份回购(首发),131,0.03,1.06,2.98,0.47,0.8,1.0,功效充足(能检出≥3.0%);观测+0.0%→**可信 null/小效应**
描述·剔同行,股权激励/员工持股,360,0.82,0.74,2.07,0.77,0.98,1.0,功效充足(能检出≥2.1%);观测+0.8%→**可信 null/小效应**
描述·因子CAR,业绩快报,69,1.35,1.79,5.02,0.2,0.39,0.8,"⚠️欠功效(80%只够检5.0%);+1.4%→**inconclusive,非真 null**"
描述·因子CAR,业绩预告,245,-0.8,1.03,2.88,0.5,0.83,1.0,功效充足(能检出≥2.9%);观测-0.8%→**可信 null/小效应**
描述·因子CAR,分红/权益分派,199,-1.88,1.0,2.81,0.51,0.85,1.0,功效充足(能检出≥2.8%);观测-1.9%→**可信 null/小效应**
描述·因子CAR,定增/再融资,87,-1.36,1.36,3.81,0.31,0.6,0.96,"⚠️欠功效(80%只够检3.8%);-1.4%→**inconclusive,非真 null**"
描述·因子CAR,股东增减持/限售流通,364,-1.88,0.52,1.46,0.97,1.0,1.0,功效充足且观测显著
描述·因子CAR,股份回购(首发),131,0.48,1.08,3.03,0.46,0.79,1.0,"⚠️欠功效(80%只够检3.0%);+0.5%→**inconclusive,非真 null**"
描述·因子CAR,股权激励/员工持股,360,-0.23,0.66,1.86,0.85,0.99,1.0,功效充足(能检出≥1.9%);观测-0.2%→**可信 null/小效应**
因果·DML(解析CI),定增/再融资,89,0.38,1.46,4.08,0.28,0.54,0.93,"⚠️欠功效(80%只够检4.1%);+0.4%→**inconclusive,非真 null**"
因果·DML(解析CI),股东增减持/限售流通,370,0.2,1.05,2.93,0.48,0.82,1.0,功效充足(能检出≥2.9%);观测+0.2%→**可信 null/小效应**
因果·DML(解析CI),股份回购(首发),131,-0.52,1.33,3.73,0.32,0.62,0.96,"⚠️欠功效(80%只够检3.7%);-0.5%→**inconclusive,非真 null**"
因果·定增(聚类自助SE),定增/再融资,150,-0.0,2.64,7.41,0.11,0.2,0.47,"⚠️欠功效(80%只够检7.4%);-0.0%→**inconclusive,非真 null**"
