结论,口径,winsor,样本,n,效应%,p
定增/再融资,rel_h5,无winsor,all,95,-0.6166009003126239,0.5429517225732066
定增/再融资,rel_h5,无winsor,剔极端反应,94,-0.9863459385657806,0.30173553856196933
定增/再融资,rel_h5,无winsor,剔2025-26,77,-0.8407233714123971,0.49312435533289894
定增/再融资,rel_h5,1/99,all,95,-0.7227105217729836,0.46086211365440816
定增/再融资,rel_h5,1/99,剔极端反应,94,-1.0158759388643204,0.28366417756279505
定增/再融资,rel_h5,1/99,剔2025-26,77,-0.9465691115262134,0.42687614480604263
定增/再融资,rel_h5,5/95,all,95,-0.45698176637341437,0.5208852945569757
定增/再融资,rel_h5,5/95,剔极端反应,94,-0.668635117327663,0.3487794218970723
定增/再融资,rel_h5,5/95,剔2025-26,77,-1.3333716956397583,0.22793904794011666
定增/再融资,rel_h20,无winsor,all,95,1.034130666258329,0.5012986376105744
定增/再融资,rel_h20,无winsor,剔极端反应,90,-1.1303941126115762,0.37138001581096086
定增/再融资,rel_h20,无winsor,剔2025-26,77,1.4348887381164326,0.4446455206937472
定增/再融资,rel_h20,1/99,all,95,0.9553289942959233,0.5228403506341501
定增/再融资,rel_h20,1/99,剔极端反应,90,-1.1021488433990903,0.3802954436504344
定增/再融资,rel_h20,1/99,剔2025-26,77,1.3562830360483789,0.45941652108943337
定增/再融资,rel_h20,5/95,all,95,0.2866442739500617,0.8297183435056084
定增/再融资,rel_h20,5/95,剔极端反应,90,-1.3211339863161629,0.2767810170789232
定增/再融资,rel_h20,5/95,剔2025-26,77,0.9204085802530522,0.5908039348689257
定增/再融资,rel_h60,无winsor,all,95,2.326375339465085,0.2977636691204958
定增/再融资,rel_h60,无winsor,剔极端反应,80,-0.4019108175250846,0.798479993788596
定增/再融资,rel_h60,无winsor,剔2025-26,77,3.1074227878604526,0.2576694176933786
定增/再融资,rel_h60,1/99,all,95,2.4769359126451644,0.25604576593928574
定增/再融资,rel_h60,1/99,剔极端反应,80,-0.3770187230378963,0.8098754808567588
定增/再融资,rel_h60,1/99,剔2025-26,77,3.2576089357411075,0.2258711682087092
定增/再融资,rel_h60,5/95,all,95,2.4091686223111504,0.23339665414569424
定增/再融资,rel_h60,5/95,剔极端反应,80,-0.5285980004845205,0.7296854250471883
定增/再融资,rel_h60,5/95,剔2025-26,77,3.145356642961023,0.2108021839089464
定增/再融资,car_factor,无winsor,all,93,-2.0840048219115372,0.12613200763229007
定增/再融资,car_factor,无winsor,剔极端反应,90,-1.8108423719365083,0.14330263609558766
定增/再融资,car_factor,无winsor,剔2025-26,77,-1.9132028953827083,0.23403633001318536
定增/再融资,car_factor,1/99,all,93,-2.1420103158182817,0.10991435617944055
定增/再融资,car_factor,1/99,剔极端反应,90,-1.8578743563676077,0.12720587082333115
定增/再融资,car_factor,1/99,剔2025-26,77,-1.9710773774455081,0.2134549636209194
定增/再融资,car_factor,5/95,all,93,-2.2680643853466393,0.05849420073125566
定增/再融资,car_factor,5/95,剔极端反应,90,-2.1349647201284334,0.06638510403011633
定增/再融资,car_factor,5/95,剔2025-26,77,-2.058383592738041,0.1466513600699713
股东增减持/限售流通,rel_h5,无winsor,all,396,-0.37093074801682147,0.3266395508077575
股东增减持/限售流通,rel_h5,无winsor,剔极端反应,393,-0.6370712964504429,0.06773368277199392
股东增减持/限售流通,rel_h5,无winsor,剔2025-26,360,-0.17413713274106946,0.6636732585114118
股东增减持/限售流通,rel_h5,1/99,all,396,-0.48282184596785693,0.16794217649993334
股东增减持/限售流通,rel_h5,1/99,剔极端反应,393,-0.6522535267915073,0.05487159503887453
股东增减持/限售流通,rel_h5,1/99,剔2025-26,360,-0.26421825285695066,0.4772998585603902
股东增减持/限售流通,rel_h5,5/95,all,396,-0.4838403614977674,0.1198647222087956
股东增减持/限售流通,rel_h5,5/95,剔极端反应,393,-0.6098833535064576,0.04700074896775841
股东增减持/限售流通,rel_h5,5/95,剔2025-26,360,-0.24784756548038925,0.45174741091014364
股东增减持/限售流通,rel_h20,无winsor,all,396,-1.855580374832821,0.0017728279647886316
股东增减持/限售流通,rel_h20,无winsor,剔极端反应,388,-2.082765734587494,8.11502647598405e-05
股东增减持/限售流通,rel_h20,无winsor,剔2025-26,360,-1.4660315497849319,0.019360973554486665
股东增减持/限售流通,rel_h20,1/99,all,396,-1.8487693760592345,0.0009725115314003805
股东增减持/限售流通,rel_h20,1/99,剔极端反应,388,-2.0878269391057582,6.976143467138493e-05
股东增减持/限售流通,rel_h20,1/99,剔2025-26,360,-1.4663591003162322,0.012948108861464658
股东增减持/限售流通,rel_h20,5/95,all,396,-1.91410782774647,0.00011764095707351933
股东增减持/限售流通,rel_h20,5/95,剔极端反应,388,-2.0562241996810786,1.725402306240975e-05
股东增减持/限售流通,rel_h20,5/95,剔2025-26,360,-1.5444101439732985,0.002872444141979889
股东增减持/限售流通,rel_h60,无winsor,all,396,-1.8652479200495404,0.07636035271319934
股东增减持/限售流通,rel_h60,无winsor,剔极端反应,347,-2.245029065776364,0.0012194733812309615
股东增减持/限售流通,rel_h60,无winsor,剔2025-26,360,-1.4099234665186369,0.21507932885845055
股东增减持/限售流通,rel_h60,1/99,all,396,-1.9081417306524993,0.06123445168517874
股东增减持/限售流通,rel_h60,1/99,剔极端反应,347,-2.2497535371358515,0.001111288163571479
股东增减持/限售流通,rel_h60,1/99,剔2025-26,360,-1.460623995048263,0.18647603096081317
股东增减持/限售流通,rel_h60,5/95,all,396,-2.0797443400426823,0.011513749326818146
股东增减持/限售流通,rel_h60,5/95,剔极端反应,347,-2.2494141663747675,0.0007396472817493882
股东增减持/限售流通,rel_h60,5/95,剔2025-26,360,-1.6977609785231926,0.055825200937485706
股东增减持/限售流通,car_factor,无winsor,all,390,-1.7779768954163555,0.0005149235680446024
股东增减持/限售流通,car_factor,无winsor,剔极端反应,386,-1.476411663770996,0.0027549762474236386
股东增减持/限售流通,car_factor,无winsor,剔2025-26,355,-1.2706369486438462,0.017104036722441804
股东增减持/限售流通,car_factor,1/99,all,390,-1.759428279639733,0.00046951361543598187
股东增减持/限售流通,car_factor,1/99,剔极端反应,386,-1.4931103544732447,0.002269857661095819
股东增减持/限售流通,car_factor,1/99,剔2025-26,355,-1.2635452058532286,0.0160397464610114
股东增减持/限售流通,car_factor,5/95,all,390,-1.7206960525286954,0.00017709104932085265
股东增减持/限售流通,car_factor,5/95,剔极端反应,386,-1.538619428048174,0.0006975374110324701
股东增减持/限售流通,car_factor,5/95,剔2025-26,355,-1.2155501699716968,0.01013982173387949
股份回购(首发),rel_h5,无winsor,all,203,0.8783251571853044,0.14796415133179164
股份回购(首发),rel_h5,无winsor,剔极端反应,200,0.398414108266627,0.4667349903189893
股份回购(首发),rel_h5,无winsor,剔2025-26,170,0.2585524366012239,0.6533192761059659
股份回购(首发),rel_h5,1/99,all,203,0.9767403116090789,0.09787452723176589
股份回购(首发),rel_h5,1/99,剔极端反应,200,0.5008161205655542,0.34411901579697796
股份回购(首发),rel_h5,1/99,剔2025-26,170,0.3466400458038907,0.5322161864874693
股份回购(首发),rel_h5,5/95,all,203,0.7781557351321028,0.1357148678217493
股份回购(首发),rel_h5,5/95,剔极端反应,200,0.41295946858696364,0.3979344024823245
股份回购(首发),rel_h5,5/95,剔2025-26,170,0.18901264968526718,0.7033512147977043
股份回购(首发),rel_h20,无winsor,all,203,0.5348335738262585,0.5567894207225144
股份回购(首发),rel_h20,无winsor,剔极端反应,196,0.05194868094171556,0.9457546600453938
股份回购(首发),rel_h20,无winsor,剔2025-26,170,0.14900151825675717,0.8775239139536054
股份回购(首发),rel_h20,1/99,all,203,0.731892582327418,0.39966254170417165
股份回购(首发),rel_h20,1/99,剔极端反应,196,0.06506964854627707,0.9313898855901978
股份回购(首发),rel_h20,1/99,剔2025-26,170,0.24056401655222598,0.7919949788517946
股份回购(首发),rel_h20,5/95,all,203,0.5207037754812233,0.49936363335934625
股份回购(首发),rel_h20,5/95,剔极端反应,196,0.06759722424162506,0.925230545621134
股份回购(首发),rel_h20,5/95,剔2025-26,170,0.3126712144401671,0.7075128212261985
股份回购(首发),rel_h60,无winsor,all,203,2.6430921481619536,0.11458537419056153
股份回购(首发),rel_h60,无winsor,剔极端反应,168,-1.6807619838210102,0.13489887738285697
股份回购(首发),rel_h60,无winsor,剔2025-26,170,2.202376809390518,0.2510304613430874
股份回购(首发),rel_h60,1/99,all,203,2.6443527535977633,0.10896690399815541
股份回购(首发),rel_h60,1/99,剔极端反应,168,-1.658152263038397,0.13902112542823564
股份回购(首发),rel_h60,1/99,剔2025-26,170,2.1817918939419343,0.24866388741559978
股份回购(首发),rel_h60,5/95,all,203,1.9015114086595606,0.1807466209498568
股份回购(首发),rel_h60,5/95,剔极端反应,168,-1.718987938153568,0.115958525021658
股份回购(首发),rel_h60,5/95,剔2025-26,170,1.2616838153971939,0.43880175285435347
