feature,non_null,missing_rate,source_group,leakage_risk
bal_current_ratio,6185,0.033291653641763,financial,low
bal_liability_to_assets,6185,0.033291653641763,financial,low
bal_total_assets,6185,0.033291653641763,financial,low
bal_total_cur_assets,6185,0.033291653641763,financial,low
bal_total_cur_liab,6185,0.033291653641763,financial,low
bal_total_hldr_eqy_inc_min_int,6185,0.033291653641763,financial,low
bal_total_liab,6185,0.033291653641763,financial,low
cf_c_cash_equ_end_period,6185,0.033291653641763,financial,low
cf_n_cashflow_act,6185,0.033291653641763,financial,low
cf_operating_cash_to_assets,6185,0.033291653641763,financial,low
fin_bps,5916,0.0753360425132854,financial,low
fin_days_since_report,5916,0.0753360425132854,financial,low
fin_grossprofit_margin,5916,0.0753360425132854,financial,low
fin_netprofit_margin,5916,0.0753360425132854,financial,low
fin_ocfps,5916,0.0753360425132854,financial,low
fin_rd_exp,3979,0.378086902156924,financial,low
fin_roa,5916,0.0753360425132854,financial,low
fin_roe,5916,0.0753360425132854,financial,low
inc_n_income_attr_p,6185,0.033291653641763,financial,low
inc_net_margin_calc,6185,0.033291653641763,financial,low
inc_total_revenue,6185,0.033291653641763,financial,low
mgmt_institution_count_sum_m180,6398,0.0,management_rolling,low
mgmt_institution_count_sum_m30,6398,0.0,management_rolling,low
mgmt_institution_count_sum_m90,6398,0.0,management_rolling,low
mgmt_ir_qa_count_m180,6398,0.0,management_rolling,low
mgmt_ir_qa_count_m30,6398,0.0,management_rolling,low
mgmt_ir_qa_count_m90,6398,0.0,management_rolling,low
mgmt_signal_count_m180,6398,0.0,management_rolling,low
mgmt_signal_count_m30,6398,0.0,management_rolling,low
mgmt_signal_count_m90,6398,0.0,management_rolling,low
mgmt_survey_count_m180,6398,0.0,management_rolling,low
mgmt_survey_count_m30,6398,0.0,management_rolling,low
mgmt_survey_count_m90,6398,0.0,management_rolling,low
circ_mv_pre,6267,0.0204751484839012,other,low
total_mv_pre,6267,0.0204751484839012,other,low
volume_ratio_pre,6249,0.0232885276648952,other,low
amount_avg_m20_m1,6242,0.0243826195686151,trading_valuation_peer,low
amount_avg_m5_m1,6265,0.0207877461706783,trading_valuation_peer,low
amount_avg_m60_m1,6192,0.0321975617380431,trading_valuation_peer,low
log_total_mv_pre,6267,0.0204751484839012,trading_valuation_peer,low
mkt_ret_m20_m1,6244,0.024070021881838,trading_valuation_peer,low
mkt_ret_m5_m1,6245,0.0239137230384495,trading_valuation_peer,low
mkt_ret_m60_m1,6244,0.024070021881838,trading_valuation_peer,low
pb_pre,6267,0.0204751484839012,trading_valuation_peer,low
pe_pre,5155,0.1942794623319787,trading_valuation_peer,low
peer_avg_log_total_mv_pre,6145,0.0395436073773054,trading_valuation_peer,low
peer_avg_pb_pre,6145,0.0395436073773054,trading_valuation_peer,low
peer_avg_pe_pre,4871,0.2386683338543294,trading_valuation_peer,low
peer_avg_ps_pre,6145,0.0395436073773054,trading_valuation_peer,low
peer_avg_ret_m20_m1,6117,0.043919974992185,trading_valuation_peer,low
peer_avg_ret_m5_m1,6141,0.0401688027508596,trading_valuation_peer,low
peer_avg_ret_m60_m1,6073,0.0507971241012816,trading_valuation_peer,low
peer_avg_turnover_avg_m20_m1,6117,0.043919974992185,trading_valuation_peer,low
peer_avg_turnover_avg_m5_m1,6141,0.0401688027508596,trading_valuation_peer,low
peer_avg_turnover_avg_m60_m1,6073,0.0507971241012816,trading_valuation_peer,low
ps_pre,6267,0.0204751484839012,trading_valuation_peer,low
rel_to_peer_log_total_mv_pre,6145,0.0395436073773054,trading_valuation_peer,low
rel_to_peer_pb_pre,6145,0.0395436073773054,trading_valuation_peer,low
rel_to_peer_pe_pre,4871,0.2386683338543294,trading_valuation_peer,low
rel_to_peer_ps_pre,6145,0.0395436073773054,trading_valuation_peer,low
rel_to_peer_ret_m20_m1,6117,0.043919974992185,trading_valuation_peer,low
rel_to_peer_ret_m5_m1,6141,0.0401688027508596,trading_valuation_peer,low
rel_to_peer_ret_m60_m1,6073,0.0507971241012816,trading_valuation_peer,low
rel_to_peer_turnover_avg_m20_m1,6117,0.043919974992185,trading_valuation_peer,low
rel_to_peer_turnover_avg_m5_m1,6141,0.0401688027508596,trading_valuation_peer,low
rel_to_peer_turnover_avg_m60_m1,6073,0.0507971241012816,trading_valuation_peer,low
ret_m20_m1,6242,0.0243826195686151,trading_valuation_peer,low
ret_m5_m1,6265,0.0207877461706783,trading_valuation_peer,low
ret_m60_m1,6192,0.0321975617380431,trading_valuation_peer,low
turnover_avg_m20_m1,6242,0.0243826195686151,trading_valuation_peer,low
turnover_avg_m5_m1,6265,0.0207877461706783,trading_valuation_peer,low
turnover_avg_m60_m1,6192,0.0321975617380431,trading_valuation_peer,low
volatility_m20_m1,6242,0.0243826195686151,trading_valuation_peer,low
volatility_m5_m1,6265,0.0207877461706783,trading_valuation_peer,low
volatility_m60_m1,6192,0.0321975617380431,trading_valuation_peer,low
evt_is_contract_order,6398,0.0,event_intensity,low
evt_is_earnings_report,6398,0.0,event_intensity,low
evt_is_forecast,6398,0.0,event_intensity,low
evt_is_impairment,6398,0.0,event_intensity,low
evt_is_inquiry,6398,0.0,event_intensity,low
evt_is_ir_activity,6398,0.0,event_intensity,low
evt_is_litigation_penalty,6398,0.0,event_intensity,low
evt_is_pledge,6398,0.0,event_intensity,low
evt_is_product_launch,6398,0.0,event_intensity,low
evt_is_repurchase,6398,0.0,event_intensity,low
evt_is_restructuring,6398,0.0,event_intensity,low
evt_is_subsidy,6398,0.0,event_intensity,low
evt_money_count,6398,0.0,event_intensity,low
evt_money_max_to_mv,217,0.9660831509846827,event_intensity,low
evt_money_max_yi,217,0.9660831509846827,event_intensity,low
evt_money_sum_yi,217,0.9660831509846827,event_intensity,low
evt_negative_word_count,6398,0.0,event_intensity,low
evt_percent_count,6398,0.0,event_intensity,low
evt_percent_max_abs,280,0.9562363238512035,event_intensity,low
evt_percent_mean,280,0.9562363238512035,event_intensity,low
evt_positive_word_count,6398,0.0,event_intensity,low
evt_profit_direction,6398,0.0,event_intensity,low
evt_profit_high_yi,164,0.9743669896842764,event_intensity,low
evt_profit_low_yi,164,0.9743669896842764,event_intensity,low
evt_profit_mid_to_mv,164,0.9743669896842764,event_intensity,low
evt_profit_mid_yi,164,0.9743669896842764,event_intensity,low
