feature,non_null,missing_rate,source_group,leakage_risk
evt_is_contract_order,6398,0.0,event_intensity,low
evt_is_earnings_report,6398,0.0,event_intensity,low
evt_is_forecast,6398,0.0,event_intensity,low
evt_is_impairment,6398,0.0,event_intensity,low
evt_is_inquiry,6398,0.0,event_intensity,low
evt_is_ir_activity,6398,0.0,event_intensity,low
evt_is_litigation_penalty,6398,0.0,event_intensity,low
evt_is_pledge,6398,0.0,event_intensity,low
evt_is_product_launch,6398,0.0,event_intensity,low
evt_is_repurchase,6398,0.0,event_intensity,low
evt_is_restructuring,6398,0.0,event_intensity,low
evt_is_subsidy,6398,0.0,event_intensity,low
evt_money_count,6398,0.0,event_intensity,low
evt_money_max_to_mv,217,0.9660831509846827,event_intensity,low
evt_money_max_yi,217,0.9660831509846827,event_intensity,low
evt_money_sum_yi,217,0.9660831509846827,event_intensity,low
evt_negative_word_count,6398,0.0,event_intensity,low
evt_percent_count,6398,0.0,event_intensity,low
evt_percent_max_abs,280,0.9562363238512035,event_intensity,low
evt_percent_mean,280,0.9562363238512035,event_intensity,low
evt_positive_word_count,6398,0.0,event_intensity,low
evt_profit_direction,6398,0.0,event_intensity,low
evt_profit_high_yi,164,0.9743669896842764,event_intensity,low
evt_profit_low_yi,164,0.9743669896842764,event_intensity,low
evt_profit_mid_to_mv,164,0.9743669896842764,event_intensity,low
evt_profit_mid_yi,164,0.9743669896842764,event_intensity,low
