base_feature,representation,column,missing_rate,ic_train,ic_test,n_train,n_test,sign_stable_nontrivial
fin_rd_exp,yoy,fin_rd_exp__yoy,0.443,0.0492,0.2419,2398,516,True
mgmt_institution_count_sum_m90,selfz,mgmt_institution_count_sum_m90__selfz,0.6865,0.1224,0.2415,963,838,True
mgmt_institution_count_sum_m180,selfz,mgmt_institution_count_sum_m180__selfz,0.6865,0.102,0.1871,963,838,True
pe_pre,yoy,pe_pre__yoy,0.3057,-0.0458,-0.1857,2928,1044,True
pe_pre,selfz,pe_pre__selfz,0.1987,-0.0255,-0.1727,3444,1189,True
mgmt_institution_count_sum_m90,raw,mgmt_institution_count_sum_m90,0.0,0.1286,0.1692,3905,1620,True
volatility_m20_m1,raw,volatility_m20_m1,0.0244,-0.0097,-0.161,3872,1620,True
volatility_m60_m1,raw,volatility_m60_m1,0.0322,-0.0222,-0.1504,3835,1613,True
amount_avg_m5_m1,selfz,amount_avg_m5_m1__selfz,0.0252,-0.048,-0.1489,3874,1617,True
volatility_m20_m1,selfz,volatility_m20_m1__selfz,0.0288,-0.0359,-0.1469,3851,1617,True
mgmt_institution_count_sum_m90,yoy,mgmt_institution_count_sum_m90__yoy,0.0505,0.1042,0.1421,3697,1620,True
pe_pre,xsrank,pe_pre__xsrank,0.1943,-0.0466,-0.1369,3465,1192,True
turnover_avg_m60_m1,raw,turnover_avg_m60_m1,0.0322,-0.0433,-0.1361,3835,1613,True
turnover_avg_m5_m1,raw,turnover_avg_m5_m1,0.0208,-0.0714,-0.1334,3895,1620,True
rel_to_peer_turnover_avg_m5_m1,xsrank,rel_to_peer_turnover_avg_m5_m1__xsrank,0.0406,-0.1069,-0.1334,3888,1620,True
mgmt_institution_count_sum_m90,xsdemed,mgmt_institution_count_sum_m90__xsdemed,0.0,0.1286,0.1327,3905,1620,True
mgmt_signal_count_m90,raw,mgmt_signal_count_m90,0.0,0.0385,0.1298,3905,1620,True
turnover_avg_m20_m1,raw,turnover_avg_m20_m1,0.0244,-0.0625,-0.1294,3872,1620,True
rel_to_peer_ps_pre,selfz,rel_to_peer_ps_pre__selfz,0.0438,-0.0208,-0.1285,3871,1617,True
amount_avg_m20_m1,selfz,amount_avg_m20_m1__selfz,0.0288,-0.0342,-0.1282,3851,1617,True
amount_avg_m5_m1,raw,amount_avg_m5_m1,0.0208,-0.099,-0.1278,3895,1620,True
turnover_avg_m60_m1,selfz,turnover_avg_m60_m1__selfz,0.0374,-0.0861,-0.1267,3808,1610,True
amount_avg_m60_m1,selfz,amount_avg_m60_m1__selfz,0.0374,-0.0337,-0.1265,3808,1610,True
rel_to_peer_ret_m60_m1,xsrank,rel_to_peer_ret_m60_m1__xsrank,0.0508,-0.0904,-0.1262,3830,1613,True
rel_to_peer_turnover_avg_m5_m1,raw,rel_to_peer_turnover_avg_m5_m1,0.0402,-0.0815,-0.1243,3891,1620,True
rel_to_peer_ret_m60_m1,xsdemed,rel_to_peer_ret_m60_m1__xsdemed,0.0508,-0.0937,-0.1235,3830,1613,True
mgmt_institution_count_sum_m90,xsrank,mgmt_institution_count_sum_m90__xsrank,0.0,0.1351,0.1225,3905,1620,True
turnover_avg_m5_m1,selfz,turnover_avg_m5_m1__selfz,0.0252,-0.0911,-0.1225,3874,1617,True
mgmt_signal_count_m90,xsrank,mgmt_signal_count_m90__xsrank,0.0,0.0072,0.12,3905,1620,True
rel_to_peer_ret_m20_m1,yoy,rel_to_peer_ret_m20_m1__yoy,0.1114,-0.0375,-0.1185,3490,1568,True
rel_to_peer_turnover_avg_m20_m1,xsrank,rel_to_peer_turnover_avg_m20_m1__xsrank,0.0444,-0.1117,-0.1179,3864,1620,True
rel_to_peer_pe_pre,xsrank,rel_to_peer_pe_pre__xsrank,0.2387,-0.0406,-0.1173,3292,1192,True
mgmt_signal_count_m90,xsdemed,mgmt_signal_count_m90__xsdemed,0.0,0.0093,0.1172,3905,1620,True
fin_days_since_report,raw,fin_days_since_report,0.0753,0.032,0.117,3595,1605,True
mgmt_institution_count_sum_m180,yoy,mgmt_institution_count_sum_m180__yoy,0.0505,0.0613,0.1166,3697,1620,True
amount_avg_m20_m1,raw,amount_avg_m20_m1,0.0244,-0.0809,-0.1159,3872,1620,True
rel_to_peer_turnover_avg_m5_m1,selfz,rel_to_peer_turnover_avg_m5_m1__selfz,0.0444,-0.1059,-0.1158,3867,1617,True
rel_to_peer_ret_m60_m1,raw,rel_to_peer_ret_m60_m1,0.0508,-0.0206,-0.1157,3830,1613,True
rel_to_peer_turnover_avg_m5_m1,xsdemed,rel_to_peer_turnover_avg_m5_m1__xsdemed,0.0406,-0.1002,-0.1144,3888,1620,True
volatility_m20_m1,xsrank,volatility_m20_m1__xsrank,0.0244,-0.0681,-0.1111,3872,1620,True
peer_avg_log_total_mv_pre,xsdemed,peer_avg_log_total_mv_pre__xsdemed,0.0395,0.0873,0.11,3895,1620,True
