company,primary_category,event_count,avg_actual_mv_return_p0_p20,median_actual_mv_change_yi_p0_p20,avg_car_p0_p20,median_impact_yi_p0_p20,abs_impact_yi_p0_p20
博实结,管理层/投关信号,71,0.03343603448391157,0.3114650000000023,-0.0022208397887323933,-1.443574900721249,410.30021067361326
博实结,其他,36,0.019188084014664465,3.3015289999999977,-0.014562277777777778,-0.9364222722910007,226.63304803558466
博实结,资本动作,14,0.040647186503734035,2.6572858950000025,0.001990205357142858,1.3543836832075,107.44261673048062
博实结,业绩信号,7,0.03810191672179047,4.930046000000008,-0.00420357142857143,-1.2962694311325007,32.889257740771555
博实结,产品/技术创新,4,-0.13369179802233663,-9.798777890000004,-0.04976521874999998,-4.017664660543173,17.58647147437809
博实结,政策/行业,5,0.05096174867971,4.930046000000008,-0.04281065,-1.8530991786367492,17.30947044235475
广和通,其他,326,0.019517645160340096,0.708,0.0036565453695588702,-0.33729779999999976,3917.294012289718
广和通,资本动作,321,0.02920134878960564,2.1095228099999948,0.01510503839934728,1.1980260932129585,3884.3718705663146
广和通,产品/技术创新,114,0.003154859915207258,-0.8384572500000009,0.009609600783208022,-0.24841323000000015,1427.9753969517521
广和通,政策/行业,76,0.010916866394428338,-0.9382657150000101,0.005630148934837094,-0.34233048,1040.8899130727302
广和通,管理层/投关信号,63,0.011845714040510961,1.5287519300000276,-0.01580045651927437,-3.253908557509293,705.0683249129836
广和通,业绩信号,59,0.02207172073540707,0.992,0.00536071430589185,0.9349312000000009,643.5417852311756
广和通,风险事件,31,0.041063754053396614,5.430817709999997,0.026328889976958522,4.033342812359778,341.5531487834146
广和通,客户/订单,6,-0.021752901873700603,-4.847694944999995,-0.005194124999999984,-2.2943190303677774,115.526103798333
日海智能,其他,392,-0.00036145410455544225,-0.3931199999999997,-0.02012917166545189,-0.3241380355200003,2031.085185006132
日海智能,资本动作,171,-0.0027492854555423818,0.0312,-0.037051653320802,-0.21468451680000017,971.03403248025
日海智能,管理层/投关信号,97,0.0028386025544036844,0.2808,-0.03512827464408443,-1.2941978399999998,632.3593808847293
日海智能,业绩信号,121,0.003840280327873106,-0.9048,-0.01980572988980716,0.0,588.4119627886257
日海智能,风险事件,108,0.005971875576818257,0.13103999999999943,-0.004330848732363309,-0.5374178269199998,486.2381833561943
日海智能,客户/订单,21,0.025229596752766228,2.5896,-0.05360409172335601,-1.4772742400000032,158.5994428559543
日海智能,产品/技术创新,13,-0.044035408933826445,-1.010879999999999,-0.06444402564102564,-0.8886543119999994,92.45165773
日海智能,政策/行业,22,-0.02384770251622912,-0.9172800000000018,-0.006296290584415582,0.09836111999999979,88.60530784548571
有方科技,其他,181,0.02649092527294266,-0.2487496299999999,0.008642575440673508,-0.23316852123419998,580.90100399212
有方科技,管理层/投关信号,64,-0.009128168863086403,-1.256009079999999,-0.01720570498511905,-0.9193543785610754,219.04698945694273
有方科技,资本动作,46,0.032545337119206035,-0.41714169999999867,0.023955625258799174,-0.4308361290208055,175.83949445706992
有方科技,业绩信号,45,0.0238267065023223,-0.6417564700000017,0.0010695455026455028,-0.7374186397068114,148.7695984437532
有方科技,风险事件,20,0.03567981819242036,0.22571726000000197,0.01923388392857144,0.49927639088879394,93.71142220486217
有方科技,政策/行业,24,0.08799189592316763,1.306432800000001,0.036145446180555554,0.24790245730245875,55.29971614300167
有方科技,客户/订单,9,-0.06130889163709119,-2.704638159999999,-0.051789140211640224,-2.23876506211512,27.459430362439
有方科技,产品/技术创新,4,0.03653543007552032,1.7556623299999976,-0.010103144345238107,-0.19157088799383235,12.210628777583443
移为通信,其他,190,0.023266482157683833,0.12926762500000188,-0.008644821309523805,-0.6164722156013058,1051.7819951737242
移为通信,资本动作,193,0.0037948922232432006,-1.253876760000002,-0.028472491333580062,-2.0498933223215987,1017.5449247325109
移为通信,产品/技术创新,163,0.023961977963687247,0.48446999999999535,-0.002159085173824134,-0.426414113035555,908.0992945255414
移为通信,业绩信号,65,0.029548566122973113,1.195689850000001,-0.03179072820512821,-0.8477436928800005,334.46121376481796
移为通信,管理层/投关信号,55,0.022897256170830473,1.195689850000001,-0.02071644854978355,-0.729070800000001,228.4643240396978
移为通信,风险事件,26,-0.029302270578867702,-4.96,-0.05643869940476188,-6.777951007893142,201.1374205148988
移为通信,政策/行业,36,0.02570498711178346,-1.729234455000001,-0.022094222123015872,-0.632696967275771,197.44593013934104
移为通信,客户/订单,8,-0.015218577576759623,-2.702637904999996,-0.017975869047619046,-3.2537655129612277,38.9420470706782
移远通信,其他,133,0.028514356568066633,4.0666080000000076,0.005871312361260292,0.6147273961820885,2706.284064810807
移远通信,资本动作,119,0.033881381756421414,4.248535199999996,-0.009276428111244501,-3.5111436806574003,2273.2070776782857
移远通信,产品/技术创新,62,0.021691093392292336,4.307010569999996,-0.007974607930107533,-0.08140918380561613,1397.4743242734435
移远通信,政策/行业,61,0.012339705838825902,0.07849729999999981,-0.00032017964480874256,-3.1465748668357807,1136.184341983976
移远通信,业绩信号,45,0.011703315169828308,0.24567669999999925,-0.04056705108465609,-9.024762018417599,943.3368631101299
移远通信,管理层/投关信号,53,0.03301987457965437,1.6981583899999968,-0.00854378077268644,-1.535686129588669,740.168500224367
移远通信,风险事件,18,0.00508601478668279,-0.10492680499999546,-0.010323600859788364,-4.825683181255913,345.51139766847683
移远通信,客户/订单,1,0.26847034339066256,27.304130299999983,0.1915218571428571,19.478269654228157,19.478269654228157
美格智能,资本动作,191,0.036330710491380154,-0.35756074999999254,0.011486825143355769,0.22571889358732183,1290.1325703158718
美格智能,其他,184,0.025355992935839563,-0.41921310000000234,-0.004347299430641821,-0.6102576859567499,1169.0865591373372
美格智能,产品/技术创新,59,0.03013261233646847,-0.19171655999999493,0.014576621872477807,-0.5464037193122967,439.83319037387054
美格智能,业绩信号,45,0.08419703885584828,2.2046489100000124,0.057461185000000005,1.0920531154904003,415.7213852375257
美格智能,政策/行业,47,0.04917619184488829,-2.40857696,0.0440018586372847,0.8921184090291004,401.2711582476313
美格智能,管理层/投关信号,35,0.03890806166722363,-1.151489439999999,0.031569979591836744,-1.0902044678250002,296.3785404619342
美格智能,风险事件,12,0.04478549573319097,-0.1678561499999981,0.01475315972222222,0.6776121563157675,58.004511680570616
美格智能,客户/订单,3,-0.02271390558779259,-7.954951989999995,-0.08382251785714284,-5.35746472135457,18.79410335248497
锐明技术,其他,110,-0.006417381379286455,-1.1302346699999994,-0.02178821645021645,-0.7828589094925708,896.6564411773448
锐明技术,资本动作,137,0.009920491681521319,-0.13838399999999673,-0.0016220647810218968,-0.2666280721371418,739.0164970534167
锐明技术,管理层/投关信号,92,0.045677414857671905,0.7520976000000082,0.01070107019927536,0.08262078443770783,638.9120470413229
锐明技术,产品/技术创新,57,2.1477511276369936e-05,-1.332069199999998,-0.007497301691729323,0.08945849537622878,406.2574590481195
锐明技术,业绩信号,37,0.019801542347504374,0.6410710599999991,-0.010174658462033465,-1.4099208834681898,281.79928479674
锐明技术,政策/行业,29,0.05376631035240985,2.4603,0.019923539614121515,0.1368871324892102,215.19767569555026
锐明技术,风险事件,12,0.03154614337714667,0.48043915999999737,0.001826242063492068,-1.4196586102369517,59.32016434096931
锐明技术,客户/订单,3,-0.12008864808403934,-14.082097999999998,-0.09695252976190476,-9.8363785923,30.35079002888947
高新兴,资本动作,421,0.005749806349253875,-0.5213346799999942,0.021806634192964594,-1.3435927596000008,6081.271797832718
高新兴,其他,492,0.016050585118550453,0.02667600000000093,0.01022487324090205,-0.5707355661449995,5871.94672661262
高新兴,业绩信号,133,0.03564678779114161,0.8648940000000003,0.024832011457214465,-0.9166749290135684,1356.2550741207888
高新兴,风险事件,66,0.05714273965861555,4.287558820000005,0.05736314590548341,0.8589794356520434,964.494980672954
高新兴,客户/订单,62,-0.011581213152490165,-0.6235864550000012,0.011598350192012285,-0.6083249327999999,878.4496382768332
高新兴,管理层/投关信号,81,0.027378465436506908,1.1026079999999987,-0.002632726293356851,-1.795693413190093,769.4744783129975
高新兴,产品/技术创新,59,-0.00491366395682977,-1.0492559999999997,-0.01864531577885392,-2.069310672,721.7194902959931
高新兴,政策/行业,37,-0.04157173226861641,-4.518233920000005,-0.030590966602316604,-3.383088901419391,412.63096278781967
