event_id,company,ts_code,symbol,event_date,source_type,title,summary,source_url,raw_category,primary_category,category_tags,keyword_score,source_weight,signal_strength,strength_reason,is_subject_company,is_peer_event,pdf_url,local_pdf_path,has_pdf,rating,institution,institution_count,receptionist,event_dt,list_date,list_dt,is_pre_listing,is_ipo_listing_related,is_market_trading_related,keyword_score_num,source_weight_num,signal_strength_num,has_pdf_num,title_key,source_count,source_types,evidence_count,car_status,aligned_trade_date,pre_trade_date,pre_total_mv_wanyuan,pre_total_mv_yi,event_turnover_rate,event_volume_ratio,event_close,event_ret,event_abret_peer,car_m1_p1,ret_m1_p1,peer_ret_m1_p1,window_days_m1_p1,window_coverage_m1_p1,end_trade_date_m1_p1,end_total_mv_yi_m1_p1,actual_mv_change_yi_m1_p1,actual_mv_return_m1_p1,abnormal_mv_impact_yi_m1_p1,peer_avg_mv_return_m1_p1,peer_rank_by_mv_return_m1_p1,peer_rank_total_m1_p1,peer_percentile_by_mv_return_m1_p1,car_p0_p5,ret_p0_p5,peer_ret_p0_p5,window_days_p0_p5,window_coverage_p0_p5,end_trade_date_p0_p5,end_total_mv_yi_p0_p5,actual_mv_change_yi_p0_p5,actual_mv_return_p0_p5,abnormal_mv_impact_yi_p0_p5,peer_avg_mv_return_p0_p5,peer_rank_by_mv_return_p0_p5,peer_rank_total_p0_p5,peer_percentile_by_mv_return_p0_p5,car_p0_p20,ret_p0_p20,peer_ret_p0_p20,window_days_p0_p20,window_coverage_p0_p20,end_trade_date_p0_p20,end_total_mv_yi_p0_p20,actual_mv_change_yi_p0_p20,actual_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,peer_avg_mv_return_p0_p20,peer_rank_by_mv_return_p0_p20,peer_rank_total_p0_p20,peer_percentile_by_mv_return_p0_p20,car_p0_p60,ret_p0_p60,peer_ret_p0_p60,window_days_p0_p60,window_coverage_p0_p60,end_trade_date_p0_p60,end_total_mv_yi_p0_p60,actual_mv_change_yi_p0_p60,actual_mv_return_p0_p60,abnormal_mv_impact_yi_p0_p60,peer_avg_mv_return_p0_p60,peer_rank_by_mv_return_p0_p60,peer_rank_total_p0_p60,peer_percentile_by_mv_return_p0_p60,multi_source_bonus,volume_spike_score,abs_car_score,event_priority_score,objective_change_score,analysis_group_id,group_event_count,group_source_types,group_source_count,group_evidence_count,group_titles_sample
1567cf35450e9e83,美格智能,002881.SZ,002881,2017-06-22,announcement,关于召开2016年度股东大会的提示性公告,,https://data.eastmoney.com/notices/detail/002881/AN201706210661230116.html,召开股东大会提示性公告,其他,,0,4,1,,0,1,,,0,,,,,2017-06-22,20170622,2017-06-22,False,False,False,0,4,1,0,关于召开2016年度股东大会的提示性公告,1,announcement,1,ok,2017-06-22,2017-06-22,137604.3,13.76043,0.0495,0.0,12.9,0.4397,0.4578,0.5449333333333333,0.5397,-0.005233333333333335,2.0,0.6666666666666666,2017-06-23,15.136473,1.3760430000000021,0.10000000000000009,7.498516987999999,-0.005445479344850401,1.0,4.0,1.0,0.9215999999999999,0.9399999999999998,0.0184,6.0,1.0,2017-06-29,22.166026000000002,8.405596000000003,0.6108527131782948,12.681612287999997,0.018045694460788853,1.0,4.0,1.0,1.2579333333333333,1.1911,-0.06683333333333334,21.0,1.0,2017-07-20,27.360854999999997,13.600425,0.9883720930232558,17.309703577999997,0.00666727443457001,1.0,4.0,1.0,1.2530666666666668,1.4179000000000002,0.16483333333333336,61.0,1.0,2017-09-14,32.939696000000005,19.179266000000002,1.3937984496124036,17.242736152,0.02563010518985361,1.0,4.0,1.0,0,0.0,121.12299999999999,129.92299999999997,89.86997994186046,002881|2017-06-22|其他,1,announcement,1,1,关于召开2016年度股东大会的提示性公告
7f45b78462711a06,锐明技术,002970.SZ,002970,2019-12-20,announcement,调研活动信息20191220,,https://data.eastmoney.com/notices/detail/002970/AN201912201372285013.html,调研活动,管理层/投关信号,管理层/投关信号,1,4,1,,0,1,,,0,,,,,2019-12-20,20191217,2019-12-17,False,False,False,1,4,1,0,调研活动信息20191220,1,announcement,1,ok,2019-12-20,2019-12-19,572054.4,57.20544,0.6213,0.0,72.83,0.099985,0.12536583333333334,0.3568671666666667,0.29996100000000003,-0.056906166666666674,3.0,1.0,2019-12-23,69.21504,12.0096,0.20993807581936252,20.41474329072,-0.05335380288146091,1.0,7.0,1.0,0.6394756666666667,0.5998589999999999,-0.03961666666666667,6.0,1.0,2019-12-27,101.32992,44.12447999999999,0.7713336354025071,36.58148688096,-0.03995121591484561,1.0,7.0,1.0,0.7745709999999999,0.847731,0.07316,21.0,1.0,2020-01-20,127.54368000000001,70.33824,1.2295725721190154,44.309674866239995,0.07569523943078138,1.0,7.0,1.0,0.17682009523809528,0.5397109999999999,0.36289090476190483,61.0,1.0,2020-03-24,88.344,31.13856,0.5443286512611387,10.115071348937146,0.04231472357818683,1.0,7.0,1.0,0,0.0,79.88743166666666,89.68743166666665,137.53492576952124,002970|2019-12-20|管理层/投关信号,1,announcement,1,1,调研活动信息20191220
531ef293a547acea,广和通,300638.SZ,300638,2017-04-18,announcement,关于签署募集资金三方监管协议的公告,,https://data.eastmoney.com/notices/detail/300638/AN201704170510342307.html,签订协议,政策/行业,政策/行业,1,4,1,,0,1,,,0,,,,,2017-04-18,20170413,2017-04-13,False,False,False,1,4,1,0,关于签署募集资金三方监管协议的公告,1,announcement,1,ok,2017-04-18,2017-04-17,145760.0,14.576,0.0205,0.0,20.04,0.0999,0.10163333333333334,0.31266666666666665,0.2999,-0.012766666666666667,3.0,1.0,2017-04-19,17.632,3.056,0.2096597145993413,4.557429333333332,-0.001990350266830291,1.0,4.0,1.0,0.6377,0.5994,-0.0383,6.0,1.0,2017-04-25,25.808,11.232,0.7705817782656421,9.2951152,-0.03816885986091959,1.0,4.0,1.0,0.8268666666666666,0.8281000000000001,0.0012333333333333252,21.0,1.0,2017-05-17,31.576,17.0,1.1663007683863884,12.052408533333333,0.009332650799292944,1.0,4.0,1.0,0.31816666666666665,0.682,0.3638333333333333,61.0,1.0,2017-07-14,26.84,12.264,0.8413830954994512,4.637597333333333,0.01997410431165958,1.0,4.0,1.0,0,0.0,77.57,87.36999999999999,105.80406147091108,300638|2017-04-18|政策/行业,1,announcement,1,1,关于签署募集资金三方监管协议的公告
e619a882edbcc8a1,高新兴,300098.SZ,300098,2015-05-28,announcement,易方达资产高新兴1号资产管理计划资产管理合同,,https://data.eastmoney.com/notices/detail/300098/AN201505270009756477.html,股权激励其他事项公告,资本动作,资本动作|客户/订单,2,4,1,,0,1,,,0,,,,,2015-05-28,20100728,2010-07-28,False,False,False,2,4,1,0,易方达资产高新兴1号资产管理计划资产管理合同,1,announcement,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,81.2435,23.446460717265115,300098|2015-05-28|资本动作,14,announcement,1,14,易方达资产高新兴1号资产管理计划资产管理合同 || 第二期员工持股计划(草案)摘要(非公开发行方式认购) || 第二期员工持股计划(草案)(非公开发行方式认购) || 易方达资产高新兴2号资产管理计划资产管理合同 || 拟发行股份收购股权涉及杭州创联电子技术有限公司股东全部权益资产评估报告书 || 广东广信君达律师事务所关于公司实施高新兴科技集团股份有限公司—第二期员工持股计划的法律意见书
d5742501a9f481a0,高新兴,300098.SZ,300098,2015-06-13,announcement,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,,https://data.eastmoney.com/notices/detail/300098/AN201506120009915025.html,其他,资本动作,资本动作,1,4,1,,0,1,,,0,,,,,2015-06-13,20100728,2010-07-28,False,False,False,1,4,1,0,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,1,announcement,1,ok,2015-06-15,2015-06-12,915983.0784,91.59830784,0.0623,0.09,34.32,0.1,0.1027,0.354,0.3,-0.054,3.0,1.0,2015-06-16,110.8280808,19.229772959999995,0.20993589743589736,32.42580097536,-0.08424908424908428,1.0,2.0,1.0,0.33679999999999993,0.13310000000000002,-0.2037,6.0,1.0,2015-06-23,102.19670178999999,10.598393949999998,0.1157051281832937,30.850310080511996,-0.19347319347319347,1.0,2.0,1.0,1.0096999999999998,0.14320000000000005,-0.8664999999999999,21.0,1.0,2015-07-24,97.76357856,6.165270719999994,0.06730769230769229,92.48681142604798,-0.5034965034965035,1.0,2.0,1.0,0.8823,-0.05639999999999991,-0.9218999999999999,61.0,1.0,2015-09-29,72.22174272000001,-19.376565119999995,-0.21153846153846145,80.817187007232,-0.6197136197136197,1.0,2.0,1.0,0,0.09,70.40249999999999,80.29249999999999,12.55725074461538,300098|2015-06-13|资本动作,1,announcement,1,1,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告
82edd8402df198ed,高新兴,300098.SZ,300098,2015-05-28,announcement,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,,https://data.eastmoney.com/notices/detail/300098/AN201505270009756465.html,其他,其他,,0,4,1,,0,1,,,0,,,,,2015-05-28,20100728,2010-07-28,False,False,False,0,4,1,0,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,1,announcement,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,79.84349999999999,23.446460717265115,300098|2015-05-28|其他,21,announcement,1,21,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明 || 西藏山南硅谷天堂昌吉投资管理有限公司及其一致行动人简式权益变动报告书 || 简式权益变动报告书(二) || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易相关事项事前认可意见 || 独立董事对相关事项发表的独立意见(2015/5/28) || 关于提供信息真实、准确、完整的承诺(三)
a4befd6d88b14a40,高新兴,300098.SZ,300098,2015-04-01,announcement,募集资金存放与使用情况的鉴证报告,,https://data.eastmoney.com/notices/detail/300098/AN201503310009026383.html,保荐/核查意见,其他,,0,4,1,,0,1,,,0,,,,,2015-04-01,20100728,2010-07-28,False,False,False,0,4,1,0,募集资金存放与使用情况的鉴证报告,1,announcement,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,79.44349999999999,23.446460717265115,300098|2015-04-01|其他,16,announcement,1,16,募集资金存放与使用情况的鉴证报告 || 监事会2014年度工作报告 || 恒泰长财证券有限责任公司关于公司完成募集资金投资项目建设并将结余募集资金用于永久补充公司流动资金相关事宜之专项意见 || 控股股东及其他关联方资金占用情况专项审核报告 || 恒泰长财证券有限责任公司关于公司2014年度募集资金存放与使用情况的专项核查报告 || 关于召开2014年度股东大会通知的公告
91e43c50b80841ce,高新兴,300098.SZ,300098,2015-02-28,express,业绩快报 营收=737332000.0 净利润=132958100.0,,,express,业绩信号,业绩信号,2,5,1,,0,1,,,0,,,,,2015-02-28,20100728,2010-07-28,False,False,False,2,5,1,0,业绩快报营收=737332000.0净利润=132958100.0,1,express,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,79.0435,24.446460717265115,300098|2015-02-28|业绩信号,2,announcement|express,1,2,业绩快报 营收=737332000.0 净利润=132958100.0 || 2014年度业绩快报
cd82f87f1c36cbc8,高新兴,300098.SZ,300098,2015-06-09,announcement,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,,https://data.eastmoney.com/notices/detail/300098/AN201506080009867500.html,专项说明/独立意见,其他,,0,4,1,,0,1,,,0,,,,,2015-06-09,20100728,2010-07-28,False,False,False,0,4,1,0,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,1,announcement,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,78.7435,23.446460717265115,300098|2015-06-09|其他,9,announcement,1,9,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见 || 广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之独立财务顾问报告(修订稿) || 广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易的补充法律意见书之一 || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易事项之独立意见 || 关于召开2015年第二次临时股东大会通知的公告 || 第三届监事会第十六次会议决议的公告
8b5ebba3757f95cd,高新兴,300098.SZ,300098,2015-04-27,forecast,略增 预计净利润3800-4300万,,,forecast,业绩信号,业绩信号,1,5,1,,0,1,,,0,,,,,2015-04-27,20100728,2010-07-28,False,False,False,1,5,1,0,略增预计净利润3800-4300万,1,forecast,1,ok,2015-06-09,2015-02-12,626619.033,62.661903300000006,0.0281,0.01,23.44,0.1,0.07020000000000001,0.1832,0.2365,0.0533,3.0,1.0,2015-06-10,75.6860377,13.024134399999992,0.20784773066412732,11.47966068456,0.03841630733045864,1.0,2.0,1.0,0.5157,0.5999,0.08419999999999998,6.0,1.0,2015-06-16,110.8280808,48.16617749999999,0.768667642752562,32.31474353181,0.07800862406899256,1.0,2.0,1.0,1.0077,0.24519999999999995,-0.7625,21.0,1.0,2015-07-20,73.60158902,10.939685719999996,0.17458272321581392,63.14439995541001,-0.6009408075264602,1.0,2.0,1.0,1.1136,0.339,-0.7532000000000001,61.0,1.0,2015-09-23,72.54468547,9.882782169999997,0.15771595897247503,69.78029551488001,-0.4198353586828695,1.0,2.0,1.0,0,0.01,65.6335,78.64349999999999,24.446460717265115,300098|2015-04-27|业绩信号,3,announcement|forecast,1,3,略增 预计净利润3800-4300万 || 2015年第一季度报告披露提示性公告 || 2015年第一季度报告全文
