事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2021-01-06,移远通信,资本动作,:关于非公开发行股票申请获得中国证监会发行审核委员会审核通过的公告,1,205.1068656,276.957408,71.85054240000001,0.3503078367943233,-0.1476833246157778,1.0,8.0,0.0529601428571428,0.4689147142857143,96.1776272808624,30.96819357142857
2015-06-13,高新兴,资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,1,91.59830784,97.76357856,6.165270719999994,0.0673076923076922,-0.5034965034965035,1.0,2.0,0.354,1.0096999999999998,92.48681142604798,80.29249999999999
2021-01-07,移远通信,其他,:关于为全资子公司提供担保的公告,1,208.2103296,271.9918656,63.78153599999999,0.3063322368421051,-0.1412142139920414,1.0,8.0,0.0319072857142857,0.4269808571428572,88.90182499860482,26.31089
2015-06-17,高新兴,其他,股东大会议事规则(2015年6月),10,110.8280808,84.84586848000001,-25.98221231999999,-0.2344370860927151,-0.4963636363636363,1.0,2.0,0.1705999999999999,0.7895999999999999,87.50985259967999,54.09299999999999
2015-06-17,高新兴,资本动作,分红管理制度(2015年6月),1,110.8280808,84.84586848000001,-25.98221231999999,-0.2344370860927151,-0.4963636363636363,1.0,2.0,0.1705999999999999,0.7895999999999999,87.50985259967999,50.69299999999999
2015-06-12,高新兴,资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告,1,83.26051315000001,97.96908758,14.708574430000002,0.1766572637319856,-0.5350034317089911,1.0,2.0,0.1724,1.0488,87.32362619172,66.96199999999999
2015-06-19,高新兴,客户/订单,关于收到中标通知的公告,1,111.26845728,82.05681744,-29.211639839999997,-0.262532981530343,-0.465149359886202,1.0,2.0,0.0006999999999999,0.7567999999999999,84.20796846950398,35.175999999999995
2015-06-19,高新兴,资本动作,关于控股股东进行质押式回购交易的公告,1,111.26845728,82.05681744,-29.211639839999997,-0.262532981530343,-0.465149359886202,1.0,2.0,0.0006999999999999,0.7567999999999999,84.20796846950398,35.175999999999995
2021-01-04,移远通信,资本动作,:关于《关于请做好移远通信非公开发行股票发审委会议准备工作的函》的回复的公告,2,200.0557104,251.5090032,51.45329280000001,0.2571948218679791,-0.1360823497604343,1.0,8.0,-0.011285,0.3801957142857143,76.060323712464,25.18232857142857
2015-06-11,高新兴,其他,关于公司第三届董事第二十一次会议决议公告的更正公告,1,75.6860377,89.07348268999999,13.38744499,0.1768813033001461,-0.5349188372970932,1.0,2.0,0.1610999999999999,0.9972,75.47411679444,63.768
2015-06-11,高新兴,客户/订单,关于湛江市社会治安视频监控系统建设二期项目预中标的提示性公告,1,75.6860377,89.07348268999999,13.38744499,0.1768813033001461,-0.5349188372970932,1.0,2.0,0.1610999999999999,0.9972,75.47411679444,65.76799999999999
2021-06-21,广和通,其他,2021年第二次临时股东大会决议公告,4,174.59909364,234.53486206,59.93576842,0.3432765151895893,-0.0248341213488254,1.0,8.0,0.0654305714285714,0.4028531428571429,70.33779361288259,30.943674285714287
2021-06-22,广和通,其他,第三届董事会第一次会议决议公告,4,178.56725486000002,247.59672607,69.02947120999998,0.3865740740883336,-0.0142944778760629,1.0,8.0,0.0346245714285714,0.3884001428571429,69.35554729723185,27.03534071428571
2020-07-10,广和通,资本动作,关于控股股东、实际控制人办理股份质押式回购交易的公告,1,156.19114222,195.99983421,39.80869199000001,0.254871636279657,-0.1776711546919816,1.0,8.0,0.0530338571428571,0.4307694285714286,67.28236908202813,31.10331571428572
2021-01-20,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司2020年度持续督导现场检查报告,1,220.45296,264.00847200000004,43.555512000000014,0.1975728155339806,-0.100954432444197,1.0,8.0,-0.0020988571428571,0.2987249999999999,65.85481047599998,26.499119285714283
2021-06-16,广和通,其他,关于选举产生第三届监事会职工代表监事的公告,1,170.58959741,241.43780918,70.84821177,0.4153137872746211,-0.0571559493728833,1.0,8.0,-0.0196081428571428,0.3826520000000001,65.27645062813134,23.56499428571429
2015-05-01,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-5-1),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-02-28,高新兴,业绩信号,业绩快报 营收=737332000.0 净利润=132958100.0,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.0435
2015-04-27,高新兴,业绩信号,略增 预计净利润3800-4300万,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.64349999999999
2015-04-29,高新兴,资本动作,2014年年度权益分派实施公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-06-04,高新兴,风险事件,关于对高新兴科技集团股份有限公司的重组问询函,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-03-20,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-3-20),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-03-13,高新兴,产品/技术创新,广东广信君达律师事务所关于公司、重庆泰克数字技术有限公司和胡永忠以资抵债的法律意见书,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-04-01,高新兴,业绩信号,2014年年度报告摘要,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.64349999999999
2015-05-09,高新兴,资本动作,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,77.64349999999999
2015-04-25,高新兴,客户/订单,关于高州市教育局2014年教育创强信息化装备采购项目预中标的提示性公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-06-09,高新兴,风险事件,发行股份及支付现金购买资产并募集配套资金暨关联交易问询函的回复,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,77.0435
2015-05-28,高新兴,资本动作,易方达资产高新兴1号资产管理计划资产管理合同,14,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,81.2435
2015-04-02,高新兴,业绩信号,略增 预计净利润2000-2500万,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.0435
2015-03-18,高新兴,风险事件,公司拟编制2014年12月31日合并报表进行减值测试涉及合并讯美电子科技有限公司2014年12月31日会计报表所记载的软件著作权、商誉对应的资产组资产评估报告书,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-03-13,高新兴,风险事件,关于受让讯美电子科技有限公司部分股权作为重庆泰克数字技术有限公司、胡永忠支付公司利润承诺补偿款及减值测试补偿款暨关联交易的公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-05-28,高新兴,风险事件,关于重大资产重组事项的一般风险提示公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-04-24,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-4-24),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-03-18,高新兴,其他,讯美电子科技有限公司审计报告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,74.44349999999999
2015-05-09,高新兴,其他,第三届董事会第十九次会议决议的公告,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.0435
2015-02-27,高新兴,资本动作,关于筹划重大资产重组的停牌公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-05-29,高新兴,其他,关于取消召开2015年第二次临时股东大会通知的公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,74.44349999999999
2015-03-26,高新兴,其他,关于召开2015年第一次临时股东大会的提示性公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,74.44349999999999
2015-04-01,高新兴,其他,募集资金存放与使用情况的鉴证报告,16,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.44349999999999
2015-03-31,高新兴,其他,2015年第一次临时股东大会决议公告,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.0435
2015-05-28,高新兴,其他,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,21,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.84349999999999
2015-03-13,高新兴,其他,公司章程(2015年3月),5,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.84349999999999
2015-02-13,高新兴,其他,关于重大事项停牌公告,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.0435
2015-06-09,高新兴,其他,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,9,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.7435
2015-04-10,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-4-10),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-04-01,高新兴,资本动作,分红送转 cash_div=0.05035 proc=实施,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-04-04,高新兴,业绩信号,关于2014年年度报告的更正公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-05-15,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-5-15),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-05-22,高新兴,资本动作,重大资产重组停牌期间进展公告(2015-5-22),1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
2015-04-01,高新兴,管理层/投关信号,关于举行2014年度业绩说明会的公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,75.44349999999999
