事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2021-07-16,移为通信,资本动作,关于调整2021年限制性股票与股票期权激励计划授予对象名单和数量的公告,6,56.475315720000005,74.90152944,18.42621372,0.3262702206279937,0.0333699974432203,1.0,8.0,0.243557,0.2814804285714286,15.89669607257234,59.310735
2021-07-16,移为通信,其他,第三届监事会第七次会议决议公告,3,56.475315720000005,74.90152944,18.42621372,0.3262702206279937,0.0333699974432203,1.0,8.0,0.243557,0.2814804285714286,15.89669607257234,55.510735
2017-06-21,移为通信,政策/行业,关于全资子公司开设募集资金专户并签署四方监管协议的公告,1,45.808,53.504,7.696,0.1680055885434859,-0.0624561186829859,1.0,4.0,-0.1845666666666666,-0.3837916666666666,-17.580728666666666,52.781791666666656
2024-04-10,移为通信,资本动作,公司事件点评报告：战略合作布局智能网联汽车，借出海大势打造AIoT智联生态,1,49.459837660000005,52.21270432,2.75286666,0.0556586270849479,0.0109473681698646,4.0,8.0,0.2769097142857142,0.052886,2.61573297448676,52.36534857142856
2019-07-13,移为通信,业绩信号,略增 预计净利润6089-6576万,1,55.294176,52.128972,-3.165204000000004,-0.0572429906542056,0.1379407721504028,4.0,5.0,-0.13684795,-0.3990027499999999,-22.062528282984,50.92507224999999
2024-04-10,移为通信,管理层/投关信号,投资者关系管理信息20240408,1,49.459837660000005,52.21270432,2.75286666,0.0556586270849479,0.0109473681698646,4.0,8.0,0.2769097142857142,0.052886,2.61573297448676,50.36534857142856
2026-04-23,移为通信,其他,关于“质量回报双提升”行动方案的进展公告,24,55.787997360000006,70.5372957,14.749298340000005,0.2643812116936688,0.0378414523289568,1.0,9.0,0.1882988749999999,0.21284325,11.87409866909382,50.0991475
2024-04-08,移为通信,风险事件,预增 预计:净利润3484-3678,1,42.1188599,54.46087876000001,12.342018860000003,0.2930283224499153,0.0293921008670927,1.0,8.0,0.1762842857142857,0.2554447142857143,10.75904013319553,49.70718214285714
2026-04-23,移为通信,业绩信号,2026年一季度报告,6,55.787997360000006,70.5372957,14.749298340000005,0.2643812116936688,0.0378414523289568,1.0,9.0,0.1882988749999999,0.21284325,11.87409866909382,49.6991475
2026-04-23,移为通信,资本动作,关于2025年度利润分配预案及提请股东会授权董事会制定中期分红方案的公告,6,55.787997360000006,70.5372957,14.749298340000005,0.2643812116936688,0.0378414523289568,1.0,9.0,0.1882988749999999,0.21284325,11.87409866909382,48.6991475
