事件日期,公司,事件类型,事件标题,"客观涨跌幅[0,+20]","客观市值变化[0,+20]（亿元）","CAR[0,+20]",移为同期客观涨跌幅,移为同期客观市值变化（亿元）,"移为同期CAR[0,+20]",移为同期异常市值影响（亿元）,竞品关键动作综合评分
2017-01-12,高新兴,其他,2017年第一次临时股东大会决议的公告,-0.1862373737657423,-31.70555485,-0.2686,0.7322604242867594,24.024,0.8267000000000001,27.122373600000003,9.8242
2017-01-12,高新兴,资本动作,关于第三期限制性股票激励计划内幕信息知情人及激励对象买卖公司股票情况的自查报告,-0.1862373737657423,-31.70555485,-0.2686,0.7322604242867594,24.024,0.8267000000000001,27.122373600000003,9.9042
2017-01-12,高新兴,客户/订单,关于收到中标通知书的公告,-0.1862373737657423,-31.70555485,-0.2686,0.7322604242867594,24.024,0.8267000000000001,27.122373600000003,10.1042
2017-01-13,高新兴,其他,关于收到PPP项目成交通知书的公告(2017/1/13),-0.1862373737657423,-31.70555485,-0.2686,0.5091997339835956,18.376,0.6686000000000001,24.128436800000003,9.7042
2017-03-28,高新兴,其他,2017年第三次临时股东大会的法律意见书,-0.0800640512397402,-10.74764571,-0.4283166666666667,-0.1622641509433962,-10.32,-0.5780333333333334,-36.76292000000001,6.317683333333333
2017-03-29,高新兴,其他,关于本次交易前12个月内购买、出售资产的说明,-0.0813397128895494,-10.962598620000016,-0.4872166666666667,-0.1281984334203655,-7.856,-0.57605,-35.300344,7.186283333333333
2017-03-29,高新兴,政策/行业,广发证券股份有限公司关于公司本次交易产业政策和交易类型之独立财务顾问核查意见,-0.0813397128895494,-10.962598620000016,-0.4872166666666667,-0.1281984334203655,-7.856,-0.57605,-35.300344,6.486283333333333
2017-03-29,高新兴,资本动作,发行股份及支付现金购买资产并募集配套资金报告书摘要,-0.0813397128895494,-10.962598620000016,-0.4872166666666667,-0.1281984334203655,-7.856,-0.57605,-35.300344,6.846283333333332
2017-03-31,日海智能,业绩信号,不确定 预计净利润-2000-1000万,-0.0616719963453631,-4.212,-0.5548500000000001,-0.0583214793741109,-3.28,-0.5629333333333333,-31.659370666666668,6.415850000000001
2017-01-14,高新兴,其他,关于使用部分暂时闲置自有资金进行现金管理的实施公告,-0.1862373737657423,-31.70555485,-0.2686,0.373639661426844,14.832,0.5452500000000001,21.644244000000008,9.7042
2017-01-14,高新兴,风险事件,关于延期回复深交所问询函暨继续停牌的公告,-0.1862373737657423,-31.70555485,-0.2686,0.373639661426844,14.832,0.5452500000000001,21.644244000000008,9.9042
2017-01-14,高新兴,业绩信号,预增 预计净利润30100-33900万,-0.1862373737657423,-31.70555485,-0.2686,0.373639661426844,14.832,0.5452500000000001,21.644244000000008,10.6242
2017-03-24,高新兴,其他,关于使用部分募集资金投资智慧城市项目可行性分析报告,-0.0989456609458812,-13.112127759999993,-0.3553166666666666,-0.1979949874686717,-12.64,-0.539,-34.409760000000006,5.206883333333334
2017-03-24,高新兴,客户/订单,关于收到中标通知书的公告,-0.0989456609458812,-13.112127759999993,-0.3553166666666666,-0.1979949874686717,-12.64,-0.539,-34.409760000000006,5.486883333333335
2021-07-01,高新兴,资本动作,公司首次覆盖报告：创“新”不断、意“兴”盎然，资源整合步入收获期,-0.2317287026188634,-24.68774894000001,-0.2973289761904762,0.5679205851619644,31.59478548,0.520257119047619,28.943152441048746,3.594008452380953
2017-06-08,高新兴,其他,关于召开2017年第五次临时股东大会的提示性公告,-0.1351139041532444,-19.033306220000004,-0.0639,-0.0190635451505016,-0.912,-0.513225,-24.552684000000003,3.539633333333333
