事件日期,公司,事件类型,事件标题,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[0,+20]",客观变化综合评分
2015-11-07,高新兴,其他,关于召开2015年第七次临时股东大会的提示性公告,85.89102866,190.59698364,104.70595498,1.21905578048761,,1.0,1.0,0.0,152.8644624390088
2019-12-20,锐明技术,管理层/投关信号,调研活动信息20191220,57.20544,127.54368,70.33824,1.2295725721190154,0.0756952394307813,1.0,7.0,0.7745709999999999,137.53492576952124
2025-01-06,广和通,其他,广东信达律师事务所关于深圳市广和通无线股份有限公司2025年第一次临时股东大会法律意见书,139.17969209,280.19673986,141.01704777,1.0132013201955634,0.3581269827849171,2.0,9.0,0.437314875,135.86610561564507
2015-11-12,高新兴,其他,2015年第七次临时股东大会决议公告,100.82859886,194.45175409,93.62315522999998,0.9285376995072128,,1.0,1.0,0.0,126.504593575577
2025-01-13,广和通,资本动作,关于控股股东、实际控制人部分股份质押延期购回的公告,145.22765451,275.39002044,130.16236593000002,0.8962643263032068,0.3225683493032925,1.0,9.0,0.4022608749999999,126.35114610425656
2015-11-18,高新兴,其他,第三届董事会第二十七次会议决议的公告,102.30826383,188.4554445,86.14718067000001,0.8420354079426666,,1.0,1.0,0.0,115.03642297041333
2015-11-18,高新兴,资本动作,关于与硅谷天堂资产管理集团股份有限公司签订《关于合作设立并购基金之合作意向协议》的公告,102.30826383,188.4554445,86.14718067000001,0.8420354079426666,,1.0,1.0,0.0,115.03642297041333
2015-11-17,高新兴,其他,广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之实施情况的独立财务顾问核查意见,106.88817923,191.02529147,84.13711224,0.787150766774269,,1.0,1.0,0.0,110.1706174619415
2015-11-17,高新兴,资本动作,关于控股股东进行质押式回购交易的公告,106.88817923,191.02529147,84.13711224,0.787150766774269,,1.0,1.0,0.0,110.1706174619415
2019-02-01,广和通,资本动作,关于公司拟参与联合竞买及合作建设留仙洞二街坊地块的公告,31.6302246,65.85388524,34.22366064,1.0819923371647509,0.3063868061750354,1.0,5.0,0.48847,108.47121729318006
2025-01-21,美格智能,资本动作,关于公司控股股东部分股份解除质押的公告,85.39976151,155.43175478,70.03199327,0.8200490496896704,0.2574201440758987,1.0,9.0,0.4156515,106.21992061017365
2017-04-18,广和通,政策/行业,关于签署募集资金三方监管协议的公告,14.576,31.576,17.0,1.1663007683863884,0.0093326507992929,1.0,4.0,0.8268666666666666,105.80406147091108
2015-11-05,高新兴,其他,关于签订落户无锡(国家)智能交通产业园协议的公告,83.2839999,152.03082745,68.74682755,0.8254505983447611,,1.0,1.0,0.0,105.73946164258088
2025-01-02,美格智能,资本动作,回购 实施 金额=10001270.0,78.43583246,140.22106765,61.78523519,0.7877169560418533,0.2238515729811699,2.0,9.0,0.407720875,100.34997407834828
2025-01-21,广和通,资本动作,关于控股股东、实际控制人部分股份质押及部分股份提前购回解除质押的公告,183.04655874,281.45726739,98.41070864999998,0.5376266526254825,0.2927229437089222,3.0,9.0,0.2183636249999999,98.5354865350386
2015-01-31,高新兴,业绩信号,预增 预计净利润13300-14000万,52.53324426,96.00207264,43.46882838000001,0.827453719874258,0.0800990916597852,1.0,2.0,0.7498,95.21071177994064
2015-01-31,高新兴,其他,关于更换保荐代表人的公告,52.53324426,96.00207264,43.46882838000001,0.827453719874258,0.0800990916597852,1.0,2.0,0.7498,94.21071177994064
2025-01-23,美格智能,业绩信号,预增 预计:净利润11200-14200,87.54653663,148.44164555,60.89510891999999,0.6955741627719945,0.1041811080839377,1.0,9.0,0.469759875,91.88348748175956
2019-01-30,高新兴,业绩信号,略增 预计净利润52500-59000万,113.10402239,183.50730622,70.40328382999999,0.6224648986155301,0.4597408781134178,2.0,5.0,0.124913,91.6288338042424
2015-10-31,高新兴,产品/技术创新,关于取得信息系统集成及服务壹级资质证书的公告,83.00215895,142.37239841,59.37023946,0.7152854842699246,,1.0,1.0,0.0,91.55795847159396
2016-01-01,高新兴,政策/行业,关于向控股子公司提供财务资助的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2016-01-01,高新兴,其他,第三届董事会第三十次会议(临时)决议的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2016-01-01,高新兴,客户/订单,关于参股子公司广州尚云在线科技有限公司与北京蚁视科技有限公司战略合作协议的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2017-06-22,美格智能,其他,关于召开2016年度股东大会的提示性公告,13.76043,27.360855,13.600425,0.9883720930232558,0.00666727443457,1.0,4.0,1.2579333333333331,89.86997994186046
2019-01-30,高新兴,政策/行业,业绩符合预期，增长基础坚实公司快报,113.10402239,183.50730622,70.40328382999999,0.6224648986155301,0.4597408781134178,2.0,5.0,0.124913,89.6288338042424
2023-04-13,移远通信,业绩信号,业绩快报 营收=14230246500.0 净利润=623801300.0,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.4380828571428572,89.47360537221742
2023-04-13,移远通信,产品/技术创新,业绩超预期，迎来边缘AI和卫星互联网双重催化,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.4380828571428572,87.47360537221742
2015-01-20,高新兴,资本动作,关于控股股东进行质押式回购交易的公告,46.91844414,83.26051315000001,36.34206901,0.774579585409074,0.1012433392539964,1.0,2.0,0.3882,85.36740133772592
2015-11-20,高新兴,其他,关于完成工商变更登记的公告,132.62453947999998,203.44621849,70.82167901000001,0.5340013189691795,,1.0,1.0,0.0,83.92094502253437
2024-02-06,日海智能,其他,详式权益变动报告书,23.7744,42.98112,19.20672,0.8078740157480315,0.4225616699380561,1.0,8.0,0.2849551428571429,79.38328125984252
2015-12-03,高新兴,其他,广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易实施情况的法律意见书,152.29911715,224.75453295,72.45541580000001,0.4757441615937825,,1.0,1.0,0.0,78.92724082750262
2020-02-04,高新兴,其他,关于召开2020年第一次临时股东大会的提示性公告,83.7834679,132.99523114,49.21176324,0.5873684209244816,0.3697818968101775,2.0,8.0,0.1378024285714285,77.41535529395853
2024-08-30,高新兴,其他,董事会决议公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,业绩信号,2024年半年度报告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,管理层/投关信号,关于举行2024年半年度业绩说明会的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,风险事件,关于计提资产减值准备的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,资本动作,关于终止控股子公司员工股权激励方案的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-09-20,广和通,资本动作,关于控股股东、实际控制人部分股份补充质押及部分股份解除质押的公告,79.48423020999999,126.24164591,46.75741570000001,0.5882602822781997,0.4065358720980641,1.0,9.0,0.1390687499999999,75.32953043225599
2015-12-29,高新兴,其他,关于股东大会通知的更正公告,224.96868687,143.16189164,-81.80679523,-0.3636363636565685,,1.0,1.0,-0.052,75.27430670752548
