事件日期,公司,事件类型,事件标题,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[0,+20]",客观变化综合评分
2016-01-01,高新兴,其他,第三届董事会第三十次会议(临时)决议的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2016-01-01,高新兴,政策/行业,关于向控股子公司提供财务资助的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2016-01-01,高新兴,客户/订单,关于参股子公司广州尚云在线科技有限公司与北京蚁视科技有限公司战略合作协议的公告,224.75453295,121.63942327,-103.11510968,-0.4587898999257981,,1.0,1.0,-0.0041,91.55319199406384
2023-04-13,移远通信,产品/技术创新,业绩超预期，迎来边缘AI和卫星互联网双重催化,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.4380828571428572,87.47360537221742
2023-04-13,移远通信,业绩信号,业绩快报 营收=14230246500.0 净利润=623801300.0,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.4380828571428572,89.47360537221742
2025-03-11,广和通,产品/技术创新,关于公司及子公司通过高新技术企业认定的公告,270.28164568,184.32121291,-85.96043276999998,-0.3180402152492917,-0.2721005211135995,8.0,9.0,-0.0504659999999999,73.13343360494332
2021-04-20,移远通信,资本动作,分红送转 cash_div=0.0 proc=预案,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司使用募集资金置换预先已投入募投项目的自筹资金的核查意见,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,政策/行业,:关于会计政策变更的公告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,业绩信号,:2020年年度报告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,风险事件,:关于2020年度计提资产减值和信用减值准备的公告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,其他,:关于召开2020年年度股东大会的通知,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2015-12-29,高新兴,客户/订单,关于与北京蚁视科技有限公司、ANTVR LIMITED及覃政签署框架协议的公告,224.96868687,143.16189164,-81.80679523,-0.3636363636565685,,1.0,1.0,-0.052,75.27430670752548
2015-12-29,高新兴,其他,关于股东大会通知的更正公告,224.96868687,143.16189164,-81.80679523,-0.3636363636565685,,1.0,1.0,-0.052,75.27430670752548
2015-12-26,高新兴,其他,关于获得2015年度国家火炬计划项目立项的公告,234.28438213,155.15451084,-79.12987129,-0.3377513710926421,,1.0,1.0,-0.0482,71.70504533241137
2021-04-09,移远通信,其他,:关于使用部分闲置募集资金进行现金管理的进展公告,257.33991303,183.37970859,-73.96020443999998,-0.2874027723456093,-0.0521750564042413,8.0,8.0,-0.2718697142857143,64.41232400764873
2021-04-09,移远通信,产品/技术创新,物联网模组龙头，规模优势推动成长,257.33991303,183.37970859,-73.96020443999998,-0.2874027723456093,-0.0521750564042413,8.0,8.0,-0.2718697142857143,63.412324007648735
2022-08-25,移远通信,政策/行业,业绩增速亮眼，规模效应助公司盈利能力持续提升,303.29733377,229.68881517,-73.60851860000002,-0.2426942488581838,-0.1546468865239516,8.0,8.0,-0.1077985714285714,61.66979920865472
2022-08-25,移远通信,产品/技术创新,公司信息更新报告：营收持续高增长，以模组为入口转型物联网方案赋能者,303.29733377,229.68881517,-73.60851860000002,-0.2426942488581838,-0.1546468865239516,8.0,8.0,-0.1077985714285714,61.66979920865472
