事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2023-04-13,移远通信,业绩信号,业绩快报 营收=14230246500.0 净利润=623801300.0,3,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.0456247142857142,-0.4380828571428572,-102.77526740805816,34.779984285714285
2023-04-13,移远通信,产品/技术创新,业绩超预期，迎来边缘AI和卫星互联网双重催化,1,234.60234915,135.21667538,-99.38567377,-0.4236346060902178,-0.094313131358086,8.0,8.0,-0.0456247142857142,-0.4380828571428572,-102.77526740805816,29.57998428571429
2016-07-01,高新兴,管理层/投关信号,2016年6月30日投资者关系活动记录表,1,170.67261387,152.40161617,-18.270997699999995,-0.1070528966874373,,1.0,1.0,-0.0857,-0.5306,-90.558888919422,56.60099999999999
2021-04-20,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司使用募集资金置换预先已投入募投项目的自筹资金的核查意见,3,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,37.45382857142857
2021-04-20,移远通信,风险事件,:关于2020年度计提资产减值和信用减值准备的公告,1,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,36.25382857142858
2021-04-20,移远通信,业绩信号,:2020年年度报告,2,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,36.85382857142858
2021-04-20,移远通信,政策/行业,:关于会计政策变更的公告,1,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,36.25382857142858
2021-04-20,移远通信,资本动作,分红送转 cash_div=0.0 proc=预案,4,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,38.053828571428575
2021-04-20,移远通信,其他,:关于召开2020年年度股东大会的通知,24,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.1493771428571428,-0.3034005714285714,-78.64366388826662,40.653828571428576
2016-07-02,高新兴,产品/技术创新,关于使用部分闲置募集资金购买理财产品到期收回的公告,1,172.17728427,154.76609822,-17.411186049999994,-0.101123595506923,0.3752759381898454,2.0,2.0,-0.1583,-0.4495999999999999,-77.41090700779199,58.194
2016-12-22,日海智能,资本动作,日海通讯:广东信达律师事务所关于公司第一期员工持股计划的法律意见书,1,72.384,65.1456,-7.2384,-0.0999999999999999,,1.0,1.0,0.0,-1.0242,-74.1356928,36.105
2016-12-27,日海智能,其他,日海通讯:2016年第四次临时股东大会决议公告,2,76.3152,66.2688,-10.0464,-0.1316434995911692,,1.0,1.0,0.0,-0.9529500000000004,-72.72456984000003,34.15375000000001
2023-04-25,移远通信,业绩信号,2023年第一季度报告,3,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.1356364285714285,-0.3474512857142858,-71.24334083222303,46.67796785714285
2023-04-25,移远通信,产品/技术创新,招商证券股份有限公司关于上海移远通信技术股份有限公司2022年度募集资金存放和使用情况的专项核查意见,5,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.1356364285714285,-0.3474512857142858,-71.24334083222303,46.877967857142856
2023-04-25,移远通信,资本动作,关于注销2022年股票期权激励计划部分股票期权的公告,5,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.1356364285714285,-0.3474512857142858,-71.24334083222303,46.877967857142856
2023-04-25,移远通信,其他,2022年度独立董事述职报告,26,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.1356364285714285,-0.3474512857142858,-71.24334083222303,48.877967857142856
