LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
高新兴,300098,300098,高新兴,2026年5月7日投资者关系活动记录表,2026-05-07 15:59:59,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1225283012&orgId=9900010590&announcementTime=2026-05-07 15:59:59
高新兴,300098,300098,高新兴,2025年9月19日投资者关系活动记录表,2025-09-19 15:59:59,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1224672504&orgId=9900010590&announcementTime=2025-09-19 15:59:59
高新兴,300098,300098,高新兴,2025年5月6日投资者关系活动记录表,2025-05-06 10:32:10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1223477708&orgId=9900010590&announcementTime=2025-05-06 10:32:10
高新兴,300098,300098,高新兴,2025年3月14日投资者关系活动记录表,2025-03-17 01:02:11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1222817005&orgId=9900010590&announcementTime=2025-03-17 01:02:11
高新兴,300098,300098,高新兴,2024年9月12日投资者关系活动记录表,2024-09-12 12:28:53,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1221218275&orgId=9900010590&announcementTime=2024-09-12 12:28:53
高新兴,300098,300098,高新兴,2024年9月5日投资者关系活动记录表,2024-09-05 11:09:37,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1221146961&orgId=9900010590&announcementTime=2024-09-05 11:09:37
高新兴,300098,300098,高新兴,2024年6月5日投资者关系活动记录表,2024-06-06 00:48:11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1220276668&orgId=9900010590&announcementTime=2024-06-06 00:48:11
高新兴,300098,300098,高新兴,2024年5月7日投资者关系活动记录表,2024-05-07 11:30:14,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1219998886&orgId=9900010590&announcementTime=2024-05-07 11:30:14
高新兴,300098,300098,高新兴,2023年10月11日投资者关系活动记录表,2023-10-11 15:09:12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1218015079&orgId=9900010590&announcementTime=2023-10-11 15:09:12
高新兴,300098,300098,高新兴,2023年9月26日投资者关系活动记录表,2023-09-26 10:39:20,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300098&announcementId=1217960821&orgId=9900010590&announcementTime=2023-09-26 10:39:20
