LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
博实结,301608,301608,博实结,301608投资者关系活动记录表2026年6月12日,2026-06-12 11:08:07,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1225369199&orgId=9900055634&announcementTime=2026-06-12 11:08:07
博实结,301608,301608,博实结,301608投资者关系活动记录表2026年6月9日,2026-06-09 10:26:11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1225360808&orgId=9900055634&announcementTime=2026-06-09 10:26:11
博实结,301608,301608,博实结,2025年年度业绩说明会投资者关系活动记录表2026年4月20日,2026-04-21 09:26:29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1225136245&orgId=9900055634&announcementTime=2026-04-21 09:26:29
博实结,301608,301608,博实结,301608投资者关系活动记录表（ 2026年3月17日-2026年3月20日）,2026-03-23 09:18:07,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1225024799&orgId=9900055634&announcementTime=2026-03-23 09:18:07
博实结,301608,301608,博实结,301608投资者关系活动记录表2026年3月12日,2026-03-13 10:36:10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1225008928&orgId=9900055634&announcementTime=2026-03-13 10:36:10
博实结,301608,301608,博实结,301608投资者关系活动记录表2026年1月29日,2026-01-30 08:22:08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1224958133&orgId=9900055634&announcementTime=2026-01-30 08:22:08
博实结,301608,301608,博实结,301608投资者关系活动记录表2026年1月15日,2026-01-16 08:08:10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1224937045&orgId=9900055634&announcementTime=2026-01-16 08:08:10
博实结,301608,301608,博实结,301608投资者关系活动记录表（2026年1月8日-2026年1月9日）,2026-01-09 11:00:12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1224928355&orgId=9900055634&announcementTime=2026-01-09 11:00:12
博实结,301608,301608,博实结,301608投资者关系活动记录表（2025年12月24日-2025年12月25日）,2025-12-26 08:50:11,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1224900241&orgId=9900055634&announcementTime=2025-12-26 08:50:11
博实结,301608,301608,博实结,301608投资者关系活动记录表（2025年12月9日-2025年12月11日）,2025-12-12 11:06:12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=301608&announcementId=1224874607&orgId=9900055634&announcementTime=2025-12-12 11:06:12
