LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
日海智能,002313,002313,日海智能,关于新增累计诉讼、仲裁案件情况的公告,2026-05-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225313291&orgId=9900009111&announcementTime=2026-05-19 00:00:00
日海智能,002313,002313,日海智能,上海市锦天城（深圳）律师事务所关于公司2025年度股东会法律意见书,2026-05-14 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225304124&orgId=9900009111&announcementTime=2026-05-14 00:00:00
日海智能,002313,002313,日海智能,2025年度股东会决议公告,2026-05-14 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225304123&orgId=9900009111&announcementTime=2026-05-14 00:00:00
日海智能,002313,002313,日海智能,关于新增累计诉讼、仲裁案件情况的公告,2026-05-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225290687&orgId=9900009111&announcementTime=2026-05-12 00:00:00
日海智能,002313,002313,日海智能,第六届董事会第三十一次会议决议公告,2026-04-28 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225203878&orgId=9900009111&announcementTime=2026-04-28 00:00:00
日海智能,002313,002313,日海智能,2026年一季度报告,2026-04-28 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225203876&orgId=9900009111&announcementTime=2026-04-28 00:00:00
日海智能,002313,002313,日海智能,关于续聘2026年度审计机构的公告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151564&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,独立董事2025年度述职报告（黄海明）,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151563&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,独立董事2025年度述职报告（刘江平）,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151562&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,独立董事2025年度述职报告（赵广宇）,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151561&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于举行2025年度网上业绩说明会的通知,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151560&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,2025年度内部控制审计报告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151559&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于2025年度内部控制自我评价报告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151558&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于会计政策变更的公告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151557&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于计提资产减值准备的公告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151556&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于新增2026年度日常关联交易预计的公告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151555&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于2026年度对外担保额度预计的公告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151554&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,关于召开2025年度股东会的通知,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151553&orgId=9900009111&announcementTime=2026-04-23 00:00:00
日海智能,002313,002313,日海智能,商誉减值测试报告,2026-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=1225151552&orgId=9900009111&announcementTime=2026-04-23 00:00:00
