LOCAL_COMPANY_NAME,LOCAL_SYMBOL,股票代码,公司简称,行业,行业代码,问题,提问者,来源,提问时间,更新时间,提问者编号,问题编号,回答ID,回答内容,回答者
美格智能,002881,002881,美格智能,制造业,012002,董秘您好，请介绍下贵司在物理AI领域的布局，谢谢,irm1413843,网站,2026-06-08 12:52:27,2026-06-09 14:19:03,408935724817510400,2286282785159446528,,,
美格智能,002881,002881,美格智能,制造业,012002,人形机器人是物理AI的重要载体。请问公司在物理AI尤其是人形机器人应用方面，提供什么产品和服务？,irm1381599,网站,2026-06-05 15:22:03,2026-06-08 16:37:25,92396834722414592,2284133377366097920,,,
美格智能,002881,002881,美格智能,制造业,012002,董秘您好，近期市场高度关注‘物理AI’这一概念，认为未来的AI需要与物理世界直接交互，其核心载体是机器人、自动驾驶等终端。请问公司如何看待这一行业趋势？美格的算力模组产品在机器人、AI眼镜等物理交互终端上的落地情况如何？是否可被视为物理AI端侧的核心硬件？谢谢！,irm2030625,公众号,2026-05-29 10:40:33,2026-06-02 20:45:03,1858237013948723200,2278793100929597440,2281884506872332288,尊敬的投资者您好，物理AI在机器人、自动驾驶、AI眼镜等领域的应用将带来对终端侧算力硬件需求的快速提升，公司将持续聚焦AI端侧硬件的技术和产品布局，积极把握产业发展机遇。同时您提及的相关领域属于新兴产业，相关技术和产品落地受技术迭代、市场环境、客户需求等多重因素影响，短期内不会对公司业绩造成重大影响，请审慎决策，注意投资风险。感谢您的关注。,美格智能
美格智能,002881,002881,美格智能,制造业,012002,喜闻公司近期推出了行业首家正式开启 77 TOPS AI 模组，请详细介绍一下该产品对公司物理Ai业务有哪些新拓展，对今年和今后一个时期业绩提升有哪些帮助，谢谢！,irm1985981,网站,2026-05-23 17:32:33,2026-06-02 20:45:03,1840187345278119936,2274552430788698112,2281881285646860288,尊敬的投资者您好，物理AI是通过算力和算法提升，让各类设备具备感知、决策和自动化执行能力。公司近期推出的高算力模组，可为终端设备提供77TOPS的终端侧计算能力，可支持更复杂的算法及更大参数的大模型在终端侧部署，为终端设备的感知、决策和自动化执行提供底层计算能力。随着物理AI应用的逐步落地，各行业客户对于高算力产品的需求预计将不断增多，公司也将持续投入并加快产品计算能力迭代。同时您提及的相关领域属于新兴产业，相关技术和产品落地受技术迭代、市场环境、客户需求等多重因素影响，短期内不会对公司业绩造成重大影响，请审慎决策，注意投资风险。感谢您的关注。,美格智能
美格智能,002881,002881,美格智能,制造业,012002,请问您，截至5月29日收盘的股东户数，是多少?谢谢,irm3003703,APP,2026-05-29 12:41:02,2026-06-02 15:05:03,2157435843394383872,2278855197566763008,2281884859059650560,尊敬的投资者您好，股东人数信息请参阅公司相关定期报告，感谢您的关注。,美格智能
美格智能,002881,002881,美格智能,制造业,012002,"深圳宏芯宇电子股份有限公司拟港股IPO,请问公司最新的持股比例是多少？谢谢！",irm1985981,网站,2026-05-23 17:42:40,2026-06-02 15:00:05,1840187345278119936,2274557636289060864,2281883896814878720,尊敬的投资者您好，公司通过全资子公司美格智投于2020年就投资了您提及的相关企业，具体可参阅公司于巨潮资讯网发布的相关公告，公告编号为2020-058。公司目前对该公司的持股比例低于1%。感谢您的关注。,美格智能
美格智能,002881,002881,美格智能,制造业,012002,您好！请问贵公司截至2026年5月20日收盘的股东人数?,irm3003703,APP,2026-05-20 12:58:35,2026-06-02 15:00:05,2157435843394383872,2272184709609275392,2281880941897252864,尊敬的投资者您好，股东人数信息请参阅公司相关定期报告，感谢您的关注。,美格智能
美格智能,002881,002881,美格智能,制造业,012002,董秘您好：贵公司的子公司众格智能科技（上海）有限公司拟收购的众格智能科技（上海）有限公司的2025年年报的管理费用比2024年增加了140428228.33元，是2024年的216.39倍，但是2025年报告上确没有说明。我觉得这公司风险很大，请董秘说明一下,irm3397096,网站,2026-05-29 10:47:33,2026-06-01 11:19:24,2278792884406804480,2278796708702126080,,,
美格智能,002881,002881,美格智能,制造业,012002,近期物理AI这一概念很火，公司积极布局物理AI有哪些新举措以及今后一个时期有哪些考虑？谢谢！,irm1985981,网站,2026-05-23 17:37:36,2026-05-25 11:15:28,1840187345278119936,2274555024948944896,,,
美格智能,002881,002881,美格智能,制造业,012002,贵公司在光通信，存储行业有没有布局,cninfo698154,网站,2026-05-06 16:21:54,2026-05-11 11:30:04,878541487554551808,2261899122014629888,2263458710566445056,尊敬的投资者您好，存储方面，公司通过全资子公司美格智投于2020年就投资了国内领先的存储芯片企业，助力存储芯片国产化进程，并且通过产业链协作，为公司业务发展提供有力支撑。具体可参阅公司于巨潮资讯网发布的相关公告，公告编号为2020-058。公司业务目前不涉及光通信领域。感谢您的关注。,美格智能
