LOCAL_COMPANY_NAME,LOCAL_SYMBOL,序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
映翰通,688080,1,688080,映翰通,2025半年报点评：全球化与产品矩阵共振，公司增长动能稳健,增持,西南证券,0,3.43,17.86,4.9,11.81,,,通信设备,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021738059602_1.pdf
映翰通,688080,2,688080,映翰通,2024年年报&2025年一季报点评：AI边缘创新领航，全球供应链筑基高增,买入,民生证券,0,3.05,14.0,3.73,12.0,,,通信设备,2025-04-23,https://pdf.dfcfw.com/pdf/H3_AP202504231661186651_1.pdf
映翰通,688080,3,688080,映翰通,2024年三季报点评：核心业务持续向好，智能应用频繁落地,买入,民生证券,0,2.84,12.0,,,,,通信设备,2024-10-25,https://pdf.dfcfw.com/pdf/H3_AP202410251640504145_1.pdf
映翰通,688080,4,688080,映翰通,2024年半年报点评：高质收入占比提升拉动业绩增长，看好AI新动能,买入,民生证券,0,2.84,9.0,,,,,通信设备,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639434739_1.pdf
映翰通,688080,5,688080,映翰通,业绩增长亮眼，全球业务扩张,买入,西南证券,0,2.87,11.06,,,,,通信设备,2024-04-26,https://pdf.dfcfw.com/pdf/H3_AP202404261631414566_1.pdf
映翰通,688080,6,688080,映翰通,2023年报&2024年一季报点评：产品矩阵持续完善，业绩扎实稳步增长,买入,民生证券,0,3.71,9.0,,,,,通信设备,2024-04-22,https://pdf.dfcfw.com/pdf/H3_AP202404221630960617_1.pdf
映翰通,688080,7,688080,映翰通,2023年业绩快报点评：全年收入稳步增长，看好后续海外市场拓展,买入,民生证券,0,,,,,,,通信设备,2024-02-26,https://pdf.dfcfw.com/pdf/H3_AP202402261623586533_1.pdf
映翰通,688080,8,688080,映翰通,电网收入快速恢复，新品拓展顺利,买入,华安证券,0,,,,,,,通信设备,2023-09-25,https://pdf.dfcfw.com/pdf/H3_AP202309251599761698_1.pdf
映翰通,688080,9,688080,映翰通,2023年半年报点评：深耕自主研发道路，盈利水平持续提升,买入,民生证券,0,,,,,,,通信设备,2023-08-24,https://pdf.dfcfw.com/pdf/H3_AP202308241595688880_1.pdf
映翰通,688080,10,688080,映翰通,一季报改善明显，市场复苏新品推出共同驱动增长,买入,华安证券,0,,,,,,,通信设备,2023-05-09,https://pdf.dfcfw.com/pdf/H3_AP202305081586383007_1.pdf
映翰通,688080,11,688080,映翰通,2022年年报和2023年一季报点评：海外业务前景广阔，盈利能力大幅提升,买入,民生证券,0,,,,,,,通信设备,2023-04-27,https://pdf.dfcfw.com/pdf/H3_AP202304271585931936_1.pdf
映翰通,688080,12,688080,映翰通,重视创新多款新品崭露头角，2023年一季度经营向好,买入,国信证券,0,,,,,,,通信设备,2023-04-27,https://pdf.dfcfw.com/pdf/H3_AP202304271585931893_1.pdf
映翰通,688080,13,688080,映翰通,一季度营收及利润同比双增长，边缘计算产品增长较快,买入,信达证券,0,,,,,,,通信设备,2023-04-26,https://pdf.dfcfw.com/pdf/H3_AP202304261585864886_1.pdf
映翰通,688080,14,688080,映翰通,2022年报及2023年一季报点评：22年业绩承压，23年Q1呈现超预期改善,买入,中邮证券,0,,,,,,,通信设备,2023-04-26,https://pdf.dfcfw.com/pdf/H3_AP202304251585838932_1.pdf
映翰通,688080,15,688080,映翰通,深度报告：工业物联网小巨人，AI赋能智能工业,买入,民生证券,0,,,,,,,通信设备,2023-04-05,https://pdf.dfcfw.com/pdf/H3_AP202304051585157111_1.pdf
映翰通,688080,16,688080,映翰通,发布限制性股票激励计划，长远发展目标清晰,买入,国信证券,0,,,,,,,通信设备,2023-03-17,https://pdf.dfcfw.com/pdf/H3_AP202303171584339531_1.pdf
映翰通,688080,17,688080,映翰通,事件点评：股权激励激发成长动能，海外子公司增资强化海外拓展,买入,民生证券,0,,,,,,,通信设备,2023-03-17,https://pdf.dfcfw.com/pdf/H3_AP202303171584335248_1.pdf
映翰通,688080,18,688080,映翰通,拟发布股权激励计划，加强核心团队积极性,买入,信达证券,0,,,,,,,通信设备,2023-03-16,https://pdf.dfcfw.com/pdf/H3_AP202303161584306302_1.pdf
映翰通,688080,19,688080,映翰通,2022年业绩快报点评：22年业绩承压，IIoT、智能配电网及智能售货业务前景广阔,买入,中邮证券,0,,,,,,,通信设备,2023-02-28,https://pdf.dfcfw.com/pdf/H3_AP202302281583859950_1.pdf
映翰通,688080,20,688080,映翰通,Q3业绩承压，工业互联网催化下长期发展空间广阔,买入,华安证券,0,,,,,,,通信设备,2022-11-21,https://pdf.dfcfw.com/pdf/H3_AP202211211580449606_1.pdf
映翰通,688080,21,688080,映翰通,2022年三季报点评：业绩短期承压，看好数字能源长期发展,买入,民生证券,0,,,,,,,通信设备,2022-11-16,https://pdf.dfcfw.com/pdf/H3_AP202211161580299733_1.pdf
