LOCAL_COMPANY_NAME,LOCAL_SYMBOL,序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
锐明技术,2970,1,2970,锐明技术,海外业务驱动利润高增，切入服务器电源领域,买入,太平洋,0,2.79,23.18,3.68,17.59,4.76,13.59,计算机设备,2026-04-03,https://pdf.dfcfw.com/pdf/H3_AP202604031821012361_1.pdf
锐明技术,2970,2,2970,锐明技术,商用车AI行业稳定增长，电源业务有望打开第二成长曲线,买入,华源证券,0,2.83,21.58,3.65,16.72,,,计算机设备,2026-03-29,https://pdf.dfcfw.com/pdf/H3_AP202603291820835868_1.pdf
锐明技术,2970,3,2970,锐明技术,公司事件点评报告：25年业绩高增，无人巴士加速落地,买入,华鑫证券,0,2.95,19.2,3.67,15.4,,,计算机设备,2026-01-20,https://pdf.dfcfw.com/pdf/H3_AP202601201818154516_1.pdf
锐明技术,2970,4,2970,锐明技术,公司深度报告：商用车智能方案龙头，高阶智驾打开成长空间,买入,华鑫证券,0,2.95,16.3,3.67,13.1,,,计算机设备,2025-11-26,https://pdf.dfcfw.com/pdf/H3_AP202511261788504284_1.pdf
锐明技术,2970,5,2970,锐明技术,业绩持续高增，前装业务快速放量,买入,太平洋,0,3.07,16.38,4.1,12.26,,,计算机设备,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021737934491_1.pdf
锐明技术,2970,6,2970,锐明技术,前装业务取得突破，25Q1利润高速增长,买入,太平洋,0,3.32,14.74,4.49,10.91,,,计算机设备,2025-04-29,https://pdf.dfcfw.com/pdf/H3_AP202504291664369855_1.pdf
锐明技术,2970,7,2970,锐明技术,2024年年报及2025年一季报点评：积极布局AI技术，国内外行业红利持续释放,买入,民生证券,0,3.45,15.0,4.47,11.0,,,计算机设备,2025-04-27,https://pdf.dfcfw.com/pdf/H3_AP202504271663124010_1.pdf
锐明技术,2970,8,2970,锐明技术,深度报告：汽车智能化“龙腾四海”,买入,民生证券,0,2.84,17.0,,,,,计算机设备,2024-12-12,https://pdf.dfcfw.com/pdf/H3_AP202412121641283860_1.pdf
锐明技术,2970,9,2970,锐明技术,Q3业绩超预期增长，盈利能力大幅提升,买入,太平洋,0,2.66,17.29,,,,,计算机设备,2024-10-31,https://pdf.dfcfw.com/pdf/H3_AP202410311640639530_1.pdf
锐明技术,2970,10,2970,锐明技术,2024年三季报点评报告：业绩高增长，稳步推进海外布局,增持,华龙证券,0,2.59,18.4,,,,,计算机设备,2024-10-24,https://pdf.dfcfw.com/pdf/H3_AP202410241640456611_1.pdf
锐明技术,2970,11,2970,锐明技术,海外收入高速增长，全球化布局持续完善,买入,太平洋,0,2.42,12.41,,,,,计算机设备,2024-08-29,https://pdf.dfcfw.com/pdf/H3_AP202408291639541522_1.pdf
锐明技术,2970,12,2970,锐明技术,业绩反转，国内外收入均进入增长态势,买入,太平洋,0,2.18,14.39,,,,,计算机设备,2024-05-07,https://pdf.dfcfw.com/pdf/H3_AP202405071632545710_1.pdf
锐明技术,2970,13,2970,锐明技术,三季度业绩出现波动，商用车智能网联化市场空间大,买入,华安证券,0,,,,,,,计算机设备,2021-10-25,https://pdf.dfcfw.com/pdf/H3_AP202110251524880096_1.pdf
锐明技术,2970,14,2970,锐明技术,收入受短期事件影响，看好公司长期成长空间,买入,太平洋,0,,,,,,,计算机设备,2021-10-22,https://pdf.dfcfw.com/pdf/H3_AP202110221524264519_1.pdf
锐明技术,2970,15,2970,锐明技术,公司首次覆盖报告：全球车载监控巨头，政策+需求开启成长新空间,买入,开源证券,0,,,,,,,计算机设备,2021-09-15,https://pdf.dfcfw.com/pdf/H3_AP202109151516372632_1.pdf
锐明技术,2970,16,2970,锐明技术,2021年半年报点评：业绩短期承压，长期价值不改,买入,西南证券,0,,,,,,,电子信息,2021-08-22,https://pdf.dfcfw.com/pdf/H3_AP202108221511595971_1.pdf
锐明技术,2970,17,2970,锐明技术,二季度业绩边际改善，商用车智能网联产业趋势不改,买入,华安证券,0,,,,,,,计算机设备,2021-08-20,https://pdf.dfcfw.com/pdf/H3_AP202108201511171786_1.pdf
锐明技术,2970,18,2970,锐明技术,收入开始好转，投入继续加大,买入,太平洋,0,,,,,,,计算机设备,2021-08-19,https://pdf.dfcfw.com/pdf/H3_AP202108191511058287_1.pdf
锐明技术,2970,19,2970,锐明技术,疫情与工厂搬迁业绩承压，海外业务持续推进,买入,华安证券,0,,,,,,,计算机设备,2021-04-26,https://pdf.dfcfw.com/pdf/H3_AP202104261487856372_1.pdf
锐明技术,2970,20,2970,锐明技术,搬迁影响一季度收入，长期看好公司发展,买入,太平洋,0,,,,,,,计算机设备,2021-04-22,https://pdf.dfcfw.com/pdf/H3_AP202104221487023264_1.pdf
锐明技术,2970,21,2970,锐明技术,业绩稳健增长，股权激励绑定核心员工利益,买入,太平洋,0,,,,,,,计算机设备,2021-03-08,https://pdf.dfcfw.com/pdf/H3_AP202103081469635276_1.pdf
锐明技术,2970,22,2970,锐明技术,商用视频监控龙头，迈向自动驾驶蓝海,买入,太平洋,0,,,,,,,计算机设备,2020-12-17,https://pdf.dfcfw.com/pdf/H3_AP202012171441023710_1.pdf
锐明技术,2970,23,2970,锐明技术,Q3净利润增速超预期，商用车智能网联确定性强,买入,华安证券,0,,,,,,,计算机设备,2020-10-23,https://pdf.dfcfw.com/pdf/H3_AP202010231423220605_1.pdf
锐明技术,2970,24,2970,锐明技术,从信息化迈向智能化，商用车车联网龙头,买入,华安证券,0,,,,,,,计算机设备,2020-09-09,https://pdf.dfcfw.com/pdf/H3_AP202009091409677455_1.pdf
锐明技术,2970,25,2970,锐明技术,业绩符合预期，期待国内市场复苏,买入,太平洋,0,,,,,,,计算机设备,2020-08-25,https://pdf.dfcfw.com/pdf/H3_AP202008251401278280_1.pdf
锐明技术,2970,26,2970,锐明技术,立足人工智能 商用车信息化小巨头加速成长,增持,上海证券,0,,,,,,,计算机设备,2020-08-21,https://pdf.dfcfw.com/pdf/H3_AP202008211400357942_1.pdf
锐明技术,2970,27,2970,锐明技术,新股询价报告：锐明技术,,华鑫证券,0,,,,,,,计算机设备,2019-11-25,https://pdf.dfcfw.com/pdf/H3_AP201911251371102474_1.pdf
有方科技,688159,1,688159,有方科技,事件点评：设立有方数据，三方合作入局分布式存储服务器,买入,民生证券,0,,,,,,,通信设备,2023-07-03,https://pdf.dfcfw.com/pdf/H3_AP202307031591987608_1.pdf
有方科技,688159,2,688159,有方科技,业绩预告点评：营收规模增长迅速，盈利水平持续改善,买入,民生证券,0,,,,,,,通信设备,2022-02-07,https://pdf.dfcfw.com/pdf/H3_AP202202071545436862_1.pdf
映翰通,688080,1,688080,映翰通,2025半年报点评：全球化与产品矩阵共振，公司增长动能稳健,增持,西南证券,0,3.43,17.86,4.9,11.81,,,通信设备,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021738059602_1.pdf
映翰通,688080,2,688080,映翰通,2024年年报&2025年一季报点评：AI边缘创新领航，全球供应链筑基高增,买入,民生证券,0,3.05,14.0,3.73,12.0,,,通信设备,2025-04-23,https://pdf.dfcfw.com/pdf/H3_AP202504231661186651_1.pdf
映翰通,688080,3,688080,映翰通,2024年三季报点评：核心业务持续向好，智能应用频繁落地,买入,民生证券,0,2.84,12.0,,,,,通信设备,2024-10-25,https://pdf.dfcfw.com/pdf/H3_AP202410251640504145_1.pdf
映翰通,688080,4,688080,映翰通,2024年半年报点评：高质收入占比提升拉动业绩增长，看好AI新动能,买入,民生证券,0,2.84,9.0,,,,,通信设备,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639434739_1.pdf
映翰通,688080,5,688080,映翰通,业绩增长亮眼，全球业务扩张,买入,西南证券,0,2.87,11.06,,,,,通信设备,2024-04-26,https://pdf.dfcfw.com/pdf/H3_AP202404261631414566_1.pdf
映翰通,688080,6,688080,映翰通,2023年报&2024年一季报点评：产品矩阵持续完善，业绩扎实稳步增长,买入,民生证券,0,3.71,9.0,,,,,通信设备,2024-04-22,https://pdf.dfcfw.com/pdf/H3_AP202404221630960617_1.pdf
映翰通,688080,7,688080,映翰通,2023年业绩快报点评：全年收入稳步增长，看好后续海外市场拓展,买入,民生证券,0,,,,,,,通信设备,2024-02-26,https://pdf.dfcfw.com/pdf/H3_AP202402261623586533_1.pdf
映翰通,688080,8,688080,映翰通,电网收入快速恢复，新品拓展顺利,买入,华安证券,0,,,,,,,通信设备,2023-09-25,https://pdf.dfcfw.com/pdf/H3_AP202309251599761698_1.pdf
映翰通,688080,9,688080,映翰通,2023年半年报点评：深耕自主研发道路，盈利水平持续提升,买入,民生证券,0,,,,,,,通信设备,2023-08-24,https://pdf.dfcfw.com/pdf/H3_AP202308241595688880_1.pdf
映翰通,688080,10,688080,映翰通,一季报改善明显，市场复苏新品推出共同驱动增长,买入,华安证券,0,,,,,,,通信设备,2023-05-09,https://pdf.dfcfw.com/pdf/H3_AP202305081586383007_1.pdf
映翰通,688080,11,688080,映翰通,2022年年报和2023年一季报点评：海外业务前景广阔，盈利能力大幅提升,买入,民生证券,0,,,,,,,通信设备,2023-04-27,https://pdf.dfcfw.com/pdf/H3_AP202304271585931936_1.pdf
映翰通,688080,12,688080,映翰通,重视创新多款新品崭露头角，2023年一季度经营向好,买入,国信证券,0,,,,,,,通信设备,2023-04-27,https://pdf.dfcfw.com/pdf/H3_AP202304271585931893_1.pdf
映翰通,688080,13,688080,映翰通,一季度营收及利润同比双增长，边缘计算产品增长较快,买入,信达证券,0,,,,,,,通信设备,2023-04-26,https://pdf.dfcfw.com/pdf/H3_AP202304261585864886_1.pdf
映翰通,688080,14,688080,映翰通,2022年报及2023年一季报点评：22年业绩承压，23年Q1呈现超预期改善,买入,中邮证券,0,,,,,,,通信设备,2023-04-26,https://pdf.dfcfw.com/pdf/H3_AP202304251585838932_1.pdf
映翰通,688080,15,688080,映翰通,深度报告：工业物联网小巨人，AI赋能智能工业,买入,民生证券,0,,,,,,,通信设备,2023-04-05,https://pdf.dfcfw.com/pdf/H3_AP202304051585157111_1.pdf
映翰通,688080,16,688080,映翰通,发布限制性股票激励计划，长远发展目标清晰,买入,国信证券,0,,,,,,,通信设备,2023-03-17,https://pdf.dfcfw.com/pdf/H3_AP202303171584339531_1.pdf
映翰通,688080,17,688080,映翰通,事件点评：股权激励激发成长动能，海外子公司增资强化海外拓展,买入,民生证券,0,,,,,,,通信设备,2023-03-17,https://pdf.dfcfw.com/pdf/H3_AP202303171584335248_1.pdf
映翰通,688080,18,688080,映翰通,拟发布股权激励计划，加强核心团队积极性,买入,信达证券,0,,,,,,,通信设备,2023-03-16,https://pdf.dfcfw.com/pdf/H3_AP202303161584306302_1.pdf
映翰通,688080,19,688080,映翰通,2022年业绩快报点评：22年业绩承压，IIoT、智能配电网及智能售货业务前景广阔,买入,中邮证券,0,,,,,,,通信设备,2023-02-28,https://pdf.dfcfw.com/pdf/H3_AP202302281583859950_1.pdf
映翰通,688080,20,688080,映翰通,Q3业绩承压，工业互联网催化下长期发展空间广阔,买入,华安证券,0,,,,,,,通信设备,2022-11-21,https://pdf.dfcfw.com/pdf/H3_AP202211211580449606_1.pdf
映翰通,688080,21,688080,映翰通,2022年三季报点评：业绩短期承压，看好数字能源长期发展,买入,民生证券,0,,,,,,,通信设备,2022-11-16,https://pdf.dfcfw.com/pdf/H3_AP202211161580299733_1.pdf
映翰通,688080,22,688080,映翰通,短期业绩承压，市场前景乐观,买入,国金证券,0,,,,,,,通信设备,2022-11-04,https://pdf.dfcfw.com/pdf/H3_AP202211041579948028_1.pdf
