LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
振芯科技,300101,300101,振芯科技：股东起诉公司董事会决议无效 该案件已立案受理,振芯科技300101.SZ)公告称，公司于近日收到成都高新技术产业开发区人民法院（简称“法院”）送达的传票、《民事起诉状》等法律文件，法院受理了公司股东徐民诉公司决议效力确认纠纷案件。截至本公告披露日，该案件已立案受理，尚未开庭审理。,2026-06-11 19:01:18,财联社,http://finance.eastmoney.com/a/202606113768461619.html
振芯科技,300101,300101,振芯科技：股东诉公司决议效力确认纠纷案件获法院受理,振芯科技3001016月11日公告，公司于近日收到成都高新技术产业开发区人民法院送达的传票、《民事起诉状》等法律文件，法院受理了公司股东徐民诉公司决议效力确认纠纷案件。诉讼请求：确认被告振芯科技于2026年3月11日作出的第七届董事会第一次临时会议决议无效。,2026-06-11 19:09:00,证券时报网,http://finance.eastmoney.com/a/202606113768465671.html
振芯科技,300101,300101,股东硬刚！振芯科技遭股东接连起诉！内部控制权之争白热化，业绩已连续三年下滑,6月11日晚间，振芯科技（300101）发布公告，公司近日收到成都高新技术产业开发区人民法院送达的传票、《民事起诉状》等法律文件，法院受理了公司股东徐民诉公司决议效力确认纠纷案件（案号：（2026）川0191民初12969号）。,2026-06-11 21:16:42,深圳商报·读创,http://finance.eastmoney.com/a/202606113768554035.html
振芯科技,300101,300101,6月11日晚间公告集锦|三安光电控股股东三安电子被申请破产重整，银河微电筹划购买功率半导体公司恒泰柯100%股权，振芯科技股东起诉公司董事会决议无效,振芯科技：股东起诉公司董事会决议无效该案件已立案受理 6月11日，振芯科技300101.SZ)公告称，公司于近日收到成都高新技术产业开发区人民法院送达的传票、《民事起诉状》等法律文件，法院受理了公司股东徐民诉公司决议效力确认纠纷案件。,2026-06-11 21:31:00,界面新闻,http://finance.eastmoney.com/a/202606113768568861.html
振芯科技,300101,300101,振芯科技300101.SZ)2025年净利润为2830.68万元、较去年同期下降29.23%,2026年4月28日，振芯科技300101.SZ)发布2025年年报。 公司营业总收入为9.55亿元。归母净利润为2830.68万元，较去年同报告期归母净利润减少1169.33万元，同比较去年同期下降29.23%。,2026-04-28 17:13:38,界面新闻,http://finance.eastmoney.com/a/202604283722360663.html
振芯科技,300101,300101,机构风向标 | 振芯科技3001012025年四季度已披露前十大机构持股比例合计下跌2.13个百分点,2026年4月28日，振芯科技300101.SZ)发布2025年年度报告。截至2026年4月27日，共有169个机构投资者披露持有振芯科技A股股份，合计持股量达2.51亿股，占振芯科技总股本的44.13%。,2026-04-28 10:14:34,界面新闻,http://finance.eastmoney.com/a/202604283721768887.html
振芯科技,300101,300101,共封装光学(CPO)概念上涨4.56%，46股主力资金净流入超亿元,4.11 002396 星网锐捷 0.31 3.84 1037.73 1.86 301165 锐捷网络 2.43 0.81 995.92 1.89 300684 中石科技 5.58 6.23 919.67 1.36 301085 亚康股份 1.89 3.60 880.40 6.59 300101,2026-06-09 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606093765151322.html
振芯科技,300101,300101,2025年六氟化钨产品收入占比0.13%！2连板电子特气概念股发布异动公告|盘后公告集锦,【振芯科技：股东起诉公司董事会决议无效该案件已立案受理】 振芯科技300101.SZ)公告称，公司于近日收到成都高新技术产业开发区人民法院送达的传票、《民事起诉状》等法律文件，法院受理了公司股东徐民诉公司决议效力确认纠纷案件。,2026-06-11 20:27:47,财联社,http://finance.eastmoney.com/a/202606113768506659.html
振芯科技,300101,300101,共封装光学(CPO)概念涨2.55%，主力资金净流入113股,688757 胜科纳米 -1.88 4.67 319.63 0.98 300447 全信股份 2.72 3.42 223.42 2.00 600184 光电股份 -0.04 7.85 79.81 0.06 301085 亚康股份 -2.84 5.16 -13.78 -0.07 300101,2026-06-03 16:46:00,证券时报网,http://finance.eastmoney.com/a/202606033759064467.html
振芯科技,300101,300101,266.76亿主力资金净流入，共封装光学(CPO)概念涨3.48%,超声电子 1.95 9.22 -1119.50 -1.32 300252 金信诺 1.63 5.28 -1193.94 -2.84 002796 世嘉科技 0.55 4.52 -1222.62 -2.56 688102 斯瑞新材 0.32 1.45 -1536.45 -3.92 300101,2026-06-02 16:53:00,证券时报网,http://finance.eastmoney.com/a/202606023757592663.html
