company,message,path,rows,status,symbol
日海智能,,market-impact-study/data/raw/eastmoney_ir/002313.csv,1,ok,002313
千方科技,,market-impact-study/data/raw/eastmoney_ir/002373.csv,68,ok,002373
高新兴,,market-impact-study/data/raw/eastmoney_ir/300098.csv,2,ok,300098
万集科技,,market-impact-study/data/raw/eastmoney_ir/300552.csv,14,ok,300552
移为通信,,market-impact-study/data/raw/eastmoney_ir/300590.csv,56,ok,300590
广和通,,market-impact-study/data/raw/eastmoney_ir/300638.csv,116,ok,300638
金溢科技,,market-impact-study/data/raw/eastmoney_ir/002869.csv,2,ok,002869
美格智能,,market-impact-study/data/raw/eastmoney_ir/002881.csv,10,ok,002881
移远通信,,market-impact-study/data/raw/eastmoney_ir/603236.csv,355,ok,603236
锐明技术,,market-impact-study/data/raw/eastmoney_ir/002970.csv,189,ok,002970
有方科技,,market-impact-study/data/raw/eastmoney_ir/688159.csv,4,ok,688159
映翰通,,market-impact-study/data/raw/eastmoney_ir/688080.csv,81,ok,688080
三旺通信,,market-impact-study/data/raw/eastmoney_ir/688618.csv,115,ok,688618
利尔达,,market-impact-study/data/raw/eastmoney_ir/920249.csv,16,ok,920249
博实结,,market-impact-study/data/raw/eastmoney_ir/301608.csv,137,ok,301608
北斗星通,,market-impact-study/data/raw/eastmoney_ir/002151.csv,11,ok,002151
合众思壮,,market-impact-study/data/raw/eastmoney_ir/002383.csv,26,ok,002383
振芯科技,,market-impact-study/data/raw/eastmoney_ir/300101.csv,2,ok,300101
东软载波,,market-impact-study/data/raw/eastmoney_ir/300183.csv,4,ok,300183
宜通世纪,,market-impact-study/data/raw/eastmoney_ir/300310.csv,2,ok,300310
华测导航,,market-impact-study/data/raw/eastmoney_ir/300627.csv,150,ok,300627
力合微,,market-impact-study/data/raw/eastmoney_ir/688589.csv,110,ok,688589
