dataset,scope,status,rows,path,message
stock_basic,all_listed,ok,5529,market-impact-study/data/raw/tushare/stock_basic.csv,
daily,日海智能:002313.SZ,ok,3871,market-impact-study/data/raw/tushare/daily/002313.SZ.csv,
daily_basic,日海智能:002313.SZ,ok,3871,market-impact-study/data/raw/tushare/daily_basic/002313.SZ.csv,
adj_factor,日海智能:002313.SZ,ok,4013,market-impact-study/data/raw/tushare/adj_factor/002313.SZ.csv,
income,日海智能:002313.SZ,ok,79,market-impact-study/data/raw/tushare/income/002313.SZ.csv,
balancesheet,日海智能:002313.SZ,ok,94,market-impact-study/data/raw/tushare/balancesheet/002313.SZ.csv,
cashflow,日海智能:002313.SZ,ok,83,market-impact-study/data/raw/tushare/cashflow/002313.SZ.csv,
fina_indicator,日海智能:002313.SZ,ok,100,market-impact-study/data/raw/tushare/fina_indicator/002313.SZ.csv,
forecast,日海智能:002313.SZ,ok,67,market-impact-study/data/raw/tushare/forecast/002313.SZ.csv,
express,日海智能:002313.SZ,ok,12,market-impact-study/data/raw/tushare/express/002313.SZ.csv,
dividend,日海智能:002313.SZ,ok,32,market-impact-study/data/raw/tushare/dividend/002313.SZ.csv,
repurchase,日海智能:002313.SZ,ok,14,market-impact-study/data/raw/tushare/repurchase/002313.SZ.csv,
pledge_stat,日海智能:002313.SZ,ok,878,market-impact-study/data/raw/tushare/pledge_stat/002313.SZ.csv,
stk_holdernumber,日海智能:002313.SZ,ok,76,market-impact-study/data/raw/tushare/stk_holdernumber/002313.SZ.csv,
anns_d,日海智能:002313.SZ,error,0,market-impact-study/data/raw/tushare/anns_d/002313.SZ.csv,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,千方科技:002373.SZ,ok,3657,market-impact-study/data/raw/tushare/daily/002373.SZ.csv,
daily_basic,千方科技:002373.SZ,error,0,market-impact-study/data/raw/tushare/daily_basic/002373.SZ.csv,URLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
adj_factor,千方科技:002373.SZ,ok,3944,market-impact-study/data/raw/tushare/adj_factor/002373.SZ.csv,
income,千方科技:002373.SZ,ok,79,market-impact-study/data/raw/tushare/income/002373.SZ.csv,
balancesheet,千方科技:002373.SZ,ok,95,market-impact-study/data/raw/tushare/balancesheet/002373.SZ.csv,
cashflow,千方科技:002373.SZ,ok,85,market-impact-study/data/raw/tushare/cashflow/002373.SZ.csv,
fina_indicator,千方科技:002373.SZ,ok,100,market-impact-study/data/raw/tushare/fina_indicator/002373.SZ.csv,
forecast,千方科技:002373.SZ,ok,54,market-impact-study/data/raw/tushare/forecast/002373.SZ.csv,
express,千方科技:002373.SZ,ok,21,market-impact-study/data/raw/tushare/express/002373.SZ.csv,
dividend,千方科技:002373.SZ,ok,38,market-impact-study/data/raw/tushare/dividend/002373.SZ.csv,
repurchase,千方科技:002373.SZ,ok,96,market-impact-study/data/raw/tushare/repurchase/002373.SZ.csv,
pledge_stat,千方科技:002373.SZ,ok,616,market-impact-study/data/raw/tushare/pledge_stat/002373.SZ.csv,
stk_holdernumber,千方科技:002373.SZ,ok,265,market-impact-study/data/raw/tushare/stk_holdernumber/002373.SZ.csv,
anns_d,千方科技:002373.SZ,error,0,market-impact-study/data/raw/tushare/anns_d/002373.SZ.csv,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,高新兴:300098.SZ,ok,3637,market-impact-study/data/raw/tushare/daily/300098.SZ.csv,
daily_basic,高新兴:300098.SZ,ok,3637,market-impact-study/data/raw/tushare/daily_basic/300098.SZ.csv,
adj_factor,高新兴:300098.SZ,ok,3855,market-impact-study/data/raw/tushare/adj_factor/300098.SZ.csv,
income,高新兴:300098.SZ,ok,83,market-impact-study/data/raw/tushare/income/300098.SZ.csv,
balancesheet,高新兴:300098.SZ,ok,97,market-impact-study/data/raw/tushare/balancesheet/300098.SZ.csv,
cashflow,高新兴:300098.SZ,ok,80,market-impact-study/data/raw/tushare/cashflow/300098.SZ.csv,
fina_indicator,高新兴:300098.SZ,ok,100,market-impact-study/data/raw/tushare/fina_indicator/300098.SZ.csv,
forecast,高新兴:300098.SZ,ok,68,market-impact-study/data/raw/tushare/forecast/300098.SZ.csv,
express,高新兴:300098.SZ,ok,11,market-impact-study/data/raw/tushare/express/300098.SZ.csv,
dividend,高新兴:300098.SZ,ok,33,market-impact-study/data/raw/tushare/dividend/300098.SZ.csv,
repurchase,高新兴:300098.SZ,ok,86,market-impact-study/data/raw/tushare/repurchase/300098.SZ.csv,
pledge_stat,高新兴:300098.SZ,ok,632,market-impact-study/data/raw/tushare/pledge_stat/300098.SZ.csv,
stk_holdernumber,高新兴:300098.SZ,ok,182,market-impact-study/data/raw/tushare/stk_holdernumber/300098.SZ.csv,
anns_d,高新兴:300098.SZ,error,0,market-impact-study/data/raw/tushare/anns_d/300098.SZ.csv,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,万集科技:300552.SZ,ok,2343,market-impact-study/data/raw/tushare/daily/300552.SZ.csv,
daily_basic,万集科技:300552.SZ,ok,2343,market-impact-study/data/raw/tushare/daily_basic/300552.SZ.csv,
adj_factor,万集科技:300552.SZ,ok,2343,market-impact-study/data/raw/tushare/adj_factor/300552.SZ.csv,
income,万集科技:300552.SZ,ok,56,market-impact-study/data/raw/tushare/income/300552.SZ.csv,
balancesheet,万集科技:300552.SZ,ok,53,market-impact-study/data/raw/tushare/balancesheet/300552.SZ.csv,
cashflow,万集科技:300552.SZ,ok,59,market-impact-study/data/raw/tushare/cashflow/300552.SZ.csv,
fina_indicator,万集科技:300552.SZ,error,0,market-impact-study/data/raw/tushare/fina_indicator/300552.SZ.csv,URLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
forecast,万集科技:300552.SZ,ok,36,market-impact-study/data/raw/tushare/forecast/300552.SZ.csv,
express,万集科技:300552.SZ,ok,4,market-impact-study/data/raw/tushare/express/300552.SZ.csv,
dividend,万集科技:300552.SZ,ok,30,market-impact-study/data/raw/tushare/dividend/300552.SZ.csv,
repurchase,万集科技:300552.SZ,ok,31,market-impact-study/data/raw/tushare/repurchase/300552.SZ.csv,
