ts_code,trade_date,adj_factor
300552.SZ,20260615,1.895
300552.SZ,20260612,1.895
300552.SZ,20260611,1.895
300552.SZ,20260610,1.895
300552.SZ,20260609,1.895
300552.SZ,20260608,1.895
300552.SZ,20260605,1.895
300552.SZ,20260604,1.895
300552.SZ,20260603,1.895
300552.SZ,20260602,1.895
300552.SZ,20260601,1.895
300552.SZ,20260529,1.895
300552.SZ,20260528,1.895
300552.SZ,20260527,1.895
300552.SZ,20260526,1.895
300552.SZ,20260525,1.895
300552.SZ,20260522,1.895
300552.SZ,20260521,1.895
300552.SZ,20260520,1.895
300552.SZ,20260519,1.895
300552.SZ,20260518,1.895
300552.SZ,20260515,1.895
300552.SZ,20260514,1.895
300552.SZ,20260513,1.895
300552.SZ,20260512,1.895
300552.SZ,20260511,1.895
300552.SZ,20260508,1.895
300552.SZ,20260507,1.895
300552.SZ,20260506,1.895
300552.SZ,20260430,1.895
300552.SZ,20260429,1.895
300552.SZ,20260428,1.895
300552.SZ,20260427,1.895
300552.SZ,20260424,1.895
300552.SZ,20260423,1.895
300552.SZ,20260422,1.895
300552.SZ,20260421,1.895
300552.SZ,20260420,1.895
300552.SZ,20260417,1.895
300552.SZ,20260416,1.895
300552.SZ,20260415,1.895
300552.SZ,20260414,1.895
300552.SZ,20260413,1.895
300552.SZ,20260410,1.895
300552.SZ,20260409,1.895
300552.SZ,20260408,1.895
300552.SZ,20260407,1.895
300552.SZ,20260403,1.895
300552.SZ,20260402,1.895
300552.SZ,20260401,1.895
300552.SZ,20260331,1.895
300552.SZ,20260330,1.895
300552.SZ,20260327,1.895
300552.SZ,20260326,1.895
300552.SZ,20260325,1.895
300552.SZ,20260324,1.895
300552.SZ,20260323,1.895
300552.SZ,20260320,1.895
300552.SZ,20260319,1.895
300552.SZ,20260318,1.895
300552.SZ,20260317,1.895
300552.SZ,20260316,1.895
300552.SZ,20260313,1.895
300552.SZ,20260312,1.895
300552.SZ,20260311,1.895
300552.SZ,20260310,1.895
300552.SZ,20260309,1.895
300552.SZ,20260306,1.895
300552.SZ,20260305,1.895
300552.SZ,20260304,1.895
300552.SZ,20260303,1.895
300552.SZ,20260302,1.895
300552.SZ,20260227,1.895
300552.SZ,20260226,1.895
300552.SZ,20260225,1.895
300552.SZ,20260224,1.895
300552.SZ,20260213,1.895
300552.SZ,20260212,1.895
300552.SZ,20260211,1.895
300552.SZ,20260210,1.895
300552.SZ,20260209,1.895
300552.SZ,20260206,1.895
300552.SZ,20260205,1.895
300552.SZ,20260204,1.895
300552.SZ,20260203,1.895
300552.SZ,20260202,1.895
300552.SZ,20260130,1.895
300552.SZ,20260129,1.895
300552.SZ,20260128,1.895
300552.SZ,20260127,1.895
300552.SZ,20260126,1.895
300552.SZ,20260123,1.895
300552.SZ,20260122,1.895
300552.SZ,20260121,1.895
300552.SZ,20260120,1.895
300552.SZ,20260119,1.895
300552.SZ,20260116,1.895
300552.SZ,20260115,1.895
300552.SZ,20260114,1.895
300552.SZ,20260113,1.895
300552.SZ,20260112,1.895
300552.SZ,20260109,1.895
300552.SZ,20260108,1.895
300552.SZ,20260107,1.895
300552.SZ,20260106,1.895
300552.SZ,20260105,1.895
300552.SZ,20251231,1.895
300552.SZ,20251230,1.895
300552.SZ,20251229,1.895
300552.SZ,20251226,1.895
300552.SZ,20251225,1.895
300552.SZ,20251224,1.895
300552.SZ,20251223,1.895
300552.SZ,20251222,1.895
300552.SZ,20251219,1.895
300552.SZ,20251218,1.895
300552.SZ,20251217,1.895
300552.SZ,20251216,1.895
300552.SZ,20251215,1.895
300552.SZ,20251212,1.895
300552.SZ,20251211,1.895
300552.SZ,20251210,1.895
300552.SZ,20251209,1.895
300552.SZ,20251208,1.895
300552.SZ,20251205,1.895
300552.SZ,20251204,1.895
300552.SZ,20251203,1.895
300552.SZ,20251202,1.895
300552.SZ,20251201,1.895
300552.SZ,20251128,1.895
300552.SZ,20251127,1.895
300552.SZ,20251126,1.895
300552.SZ,20251125,1.895
300552.SZ,20251124,1.895
300552.SZ,20251121,1.895
300552.SZ,20251120,1.895
300552.SZ,20251119,1.895
300552.SZ,20251118,1.895
300552.SZ,20251117,1.895
300552.SZ,20251114,1.895
300552.SZ,20251113,1.895
300552.SZ,20251112,1.895
300552.SZ,20251111,1.895
300552.SZ,20251110,1.895
300552.SZ,20251107,1.895
300552.SZ,20251106,1.895
