ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
002313.SZ,20260428,20260428,20260331,3065000885.59,2993153917.62,71846967.97,2106009352.65,2468397067.38
002313.SZ,20260423,20260423,20251231,3061852947.47,3003389807.64,58463139.83,2089597518.45,2463438032.13
002313.SZ,20251027,20251027,20250930,3025837732.39,3017291088.98,8546643.41,1958021976.64,2456911458.23
002313.SZ,20250827,20250827,20250630,3237968561.85,3219205047.84,18763514.01,2141555352.79,2647881412.31
002313.SZ,20250422,20250422,20250331,3253745666.9,3221531631.5,32214035.4,2127443820.43,3031310758.71
002313.SZ,20250321,20250321,20241231,3315316030.73,3253758679.77,61557350.96,2153537763.26,3056181756.25
002313.SZ,20241031,20241031,20240930,3613311328.48,3495560870.72,117750457.76,2401345818.08,3302565372.68
002313.SZ,20240810,20240810,20240630,3681328461.3,3524900099.14,156428362.16,2440698989.93,3323534369.73
002313.SZ,20240423,20240423,20240331,3642108287.93,3457533659.62,184574628.31,2358504660.98,3247336180.78
002313.SZ,20240329,20240329,20231231,3653636876.08,3459411164.81,194225711.27,2357234032.62,3263234431.94
002313.SZ,20240329,20240329,20231231,3653636876.08,3459411164.81,194225711.27,2357234032.62,3263234431.94
002313.SZ,20231028,20231028,20230930,4129943710.87,3666648783.87,463294927.0,2687964953.14,3457759759.14
002313.SZ,20230831,20230831,20230630,4212220804.13,3678781660.18,533439143.95,2728570280.66,3492199776.61
002313.SZ,20230831,20230831,20230630,4212220804.13,3678781660.18,533439143.95,2728570280.66,3492199776.61
002313.SZ,20230429,20230429,20230331,4553462019.23,3959305588.59,594156430.64,3039153999.43,3727250276.04
002313.SZ,20230417,20240329,20221231,4871239192.64,4224943950.45,646295242.19,3329479338.03,3993340021.31
002313.SZ,20230417,20230417,20221231,4880217192.64,4224943950.45,655273242.19,3338457338.03,3993340021.31
002313.SZ,20221031,20221031,20220930,5947586506.87,4768668923.76,1178917583.11,4230762880.22,4529341196.5
002313.SZ,20220831,20220831,20220630,6948342486.73,4611721439.61,2336621047.12,5346773815.02,4379035861.33
002313.SZ,20220430,20220430,20220331,7389096371.31,4792829409.12,2596266962.19,5896658604.0,4572057286.7
002313.SZ,20220430,20230417,20211231,7108081147.87,5118035900.21,1990045247.66,5267480747.79,4885132473.51
002313.SZ,20220430,20221031,20211231,7116716196.51,5077315000.6,2039401195.91,5346070303.88,4844411573.9
002313.SZ,20211028,20211028,20210930,7646492594.53,4989941215.63,2656551378.9,6158545730.14,4764369743.03
002313.SZ,20211028,20211028,20210930,7646492594.53,4989941215.63,2656551378.9,6158545730.14,4764369743.03
002313.SZ,20210826,20210826,20210630,7723712313.09,5003841690.29,2719870622.8,6260551752.78,4787816440.65
002313.SZ,20210429,20210429,20210331,7675895178.84,4957078822.01,2718816356.83,6245796230.17,4818824704.75
002313.SZ,20210429,20210429,20210331,7675895178.84,4957078822.01,2718816356.83,6245796230.17,4818824704.75
002313.SZ,20210423,20230417,20201231,6620593909.01,4332171605.39,2288422303.62,5164184408.51,4240798191.69
