ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
688589.SH,20260425,20260425,20260331,1483246065.24,440124579.99,1043121485.25,1292241000.51,100890774.16
688589.SH,20260327,20260327,20251231,1486773645.44,439969170.99,1046804474.45,1298303067.06,105885127.91
688589.SH,20251028,20251028,20250930,1501731464.68,451918720.65,1049812744.03,1307430947.8,120369669.74
688589.SH,20250828,20250828,20250630,1491196929.24,438918623.48,1052278305.76,1300524544.51,110905479.7
688589.SH,20250425,20250425,20250331,1500222477.01,421963581.79,1078258895.22,1299847458.7,96359713.43
688589.SH,20250327,20250327,20241231,1533596641.4,462421550.49,1071175090.91,1324053387.63,140309897.27
688589.SH,20241019,20241019,20240930,1446133040.33,425469860.06,1020663180.27,1245262037.32,121450381.31
688589.SH,20240824,20240824,20240630,1444700751.49,432746545.96,1011954205.53,1240606872.72,132054775.35
688589.SH,20240416,20240416,20240331,1459135609.89,426579526.03,1032556083.86,1287183403.16,129802720.56
688589.SH,20240327,20240327,20231231,1443988039.09,435025638.06,1008962401.03,1293807136.79,141814925.84
688589.SH,20240327,20240327,20231231,1443988039.09,435025638.06,1008962401.03,1293807136.79,141814925.84
688589.SH,20231024,20231024,20230930,1422966585.94,456151779.54,966814806.4,1280106575.42,153075213.35
688589.SH,20230824,20230824,20230630,1044556924.71,199278864.63,845278060.08,905847465.88,191950022.24
688589.SH,20230824,20230824,20230630,1044556924.71,199278864.63,845278060.08,905847465.88,191950022.24
688589.SH,20230425,20230425,20230331,1034774038.65,195417128.79,839356909.86,909648186.66,184029550.05
688589.SH,20230323,20230323,20221231,1034440805.62,218064382.0,816376423.62,910764861.47,205624787.47
688589.SH,20230323,20230323,20221231,1034440805.62,218064382.0,816376423.62,910764861.47,205624787.47
688589.SH,20221028,20221028,20220930,964659651.37,173609864.93,791049786.44,846130145.45,160083784.16
688589.SH,20220819,20220819,20220630,934243071.77,170612017.86,763631053.91,791996438.41,155837780.69
688589.SH,20220423,20220423,20220331,953076880.34,190899228.1,762177652.24,838143212.48,174968701.45
688589.SH,20220324,20220324,20211231,961120871.39,214846743.49,746274127.9,846922399.31,197667268.94
688589.SH,20211028,20211028,20210930,841838551.32,122593108.73,719245442.59,749389064.65,105474718.75
688589.SH,20211028,20211028,20210930,841838551.32,122593108.73,719245442.59,749389064.65,105474718.75
688589.SH,20210827,20210827,20210630,850909858.2,133705307.67,717204550.53,770721288.73,115471017.42
688589.SH,20210423,20210423,20210331,799961559.2,82651798.55,717309760.65,743421265.34,80545224.15
688589.SH,20210423,20210423,20210331,799961559.2,82651798.55,717309760.65,743421265.34,80545224.15
688589.SH,20210322,20210322,20201231,805234006.98,89211831.87,716022175.11,749545801.37,87335287.36
688589.SH,20210322,20210322,20201231,805234006.98,89211831.87,716022175.11,749545801.37,87335287.36
688589.SH,20201026,20201026,20200930,799264154.55,102299314.6,696964839.95,757796743.17,101555404.07
