ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
920249.BJ,20260422,20260422,20260331,2222053216.59,1442981444.04,779071772.55,1938890780.79,1400603272.32
920249.BJ,20260416,20260416,20251231,2002661777.81,1235799840.59,766861937.22,1739561989.05,1206097652.31
920249.BJ,20251030,20251030,20250930,2030883637.07,1296307956.11,734575680.96,1769457111.27,1242994993.37
920249.BJ,20250820,20250820,20250630,2041931409.96,1321666664.88,720264745.08,1789267904.6,1269316231.16
920249.BJ,20250820,20250820,20250630,2041931409.96,1321666664.88,720264745.08,1789267904.6,1269316231.16
920249.BJ,20250429,20250429,20250331,1992492631.43,1288045633.14,704446998.29,1738361508.37,1230639588.02
920249.BJ,20250429,20250429,20250331,1992492631.43,1288045633.14,704446998.29,1738361508.37,1230639588.02
920249.BJ,20250429,20260131,20241231,1856857536.13,1161154238.66,695703297.47,1595262618.38,1104368454.72
920249.BJ,20250429,20250429,20241231,1856857536.13,1155645244.1,701212292.03,1595262618.38,1098859460.16
920249.BJ,20250429,20250429,20241231,1856857536.13,1155645244.1,701212292.03,1595262618.38,1098859460.16
920249.BJ,20241031,20241031,20240930,2125637235.3,1373740017.9,751897217.4,1844999938.18,1310465965.81
920249.BJ,20240830,20240830,20240630,2128079165.59,1369782479.5,758296686.09,1873645355.91,1297886177.71
920249.BJ,20240427,20240427,20240331,2149318573.45,1380291275.46,769027297.99,1894434374.52,1302846564.39
920249.BJ,20240427,20260131,20231231,2168093806.64,1382070787.71,786023018.93,1924068752.67,1315457965.56
920249.BJ,20240427,20240427,20231231,2168093806.64,1376561793.15,791532013.49,1924068752.67,1309948971.0
920249.BJ,20240427,20240427,20231231,2168093806.64,1376561793.15,791532013.49,1924068752.67,1309948971.0
920249.BJ,20231028,20231028,20230930,1978110969.52,1185403810.08,792707159.44,1741220655.58,1103350731.88
920249.BJ,20230831,20230831,20230630,1922072754.91,1123508091.29,798564663.62,1680939855.27,1039257391.99
920249.BJ,20230831,20230831,20230630,1922072754.91,1123508091.29,798564663.62,1680939855.27,1039257391.99
920249.BJ,20230427,20230427,20230331,2051646247.46,1194577185.02,857069062.44,1819561041.45,1107380098.63
920249.BJ,20230427,20230427,20221231,1892592352.97,1138980003.76,753612349.21,1647643730.57,1060809728.57
920249.BJ,20230427,20230427,20221231,1892592352.97,1138980003.76,753612349.21,1647643730.57,1060809728.57
