ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
002313.SZ,20260428,20260428,20260331,1,1,1,374400000.0,2293411802.74,-2468603886.39,60340732.1,,449922467.57,573406.89,61414762.66,577823735.22,,30080055.19,,,407689503.74,,32843474.82,,,,,,,106604433.27,2106009352.65,,,8612213.09,318115.32,,,100022610.57,,,,,,,212724912.47,16421309.41,215574830.46,4314796.97,231665856.77,,185000.0,958991532.94,,,,,,,,,,,,,,,,,3065000885.59,469240000.0,753198700.55,,,,,60000000.0,916346244.63,,,,47528325.89,6952798.33,,,,,,,,,,,41909066.1,53172907.2,2468397067.38,,,,33852924.61,10389718.27,,,524756850.24,,,,,,,,,,,,,,,,,2993153917.62,,,,,-4842233.95,76689201.92,71846967.97,3065000885.59,,-182859446.53,,,,,,,,,,,219533831.16,107173801.95,639238497.88,976346244.63,219523682.13,90723146.3,,482115222.73,,,,0
002313.SZ,20260423,20260423,20251231,1,1,4,374400000.0,2293411802.74,-2478463582.52,60340732.1,0.0,482920356.09,573406.89,29215252.81,627561033.64,170475475.34,35522901.95,,,331966586.79,,32505695.78,,,,,,,120412868.41,2089597518.45,,,8774711.13,321060.86,,,108232030.9,92327960.34,,,,,,219179881.06,21308768.79,215574830.46,6479257.9,232630724.82,,3353660.46,972255429.02,,,,,,,,,,,,,,,,,3061852947.47,473240000.0,543694559.72,,,,0.0,120000000.0,1077739449.72,0.0,,,60370119.1,12260753.65,0.0,0.0,469631756.02,,,,,,,,37536438.87,51851159.78,2463438032.13,0.0,,,54145789.3,10719110.77,0.0,0.0,539951775.51,,0.0,,,,,,,,,,,,,,,3003389807.64,,,,,-4836050.49,63299190.32,58463139.83,3061852947.47,,-186389762.0,,,,,,,,,,,258443940.75,90353795.27,656776286.45,1197739449.72,170475475.34,92327960.34,0.0,469631756.02,0.0,0.0,0.0,0
002313.SZ,20251027,20251027,20250930,1,1,3,374400000.0,2057734085.05,-2305412390.21,60340732.1,,251932262.9,578705.87,13664428.42,765160341.43,,23259942.58,,,316487136.2,,31654563.82,,,,,,,114196806.9,1958021976.64,,,8204674.22,324006.37,,,116872519.39,,,,,,,228773120.27,31233964.63,220797098.3,9393650.23,232332750.53,,185000.0,1067815755.75,,,,,,,,,,,,,,,,,3025837732.39,481820000.0,795134477.1,,,,,17537466.02,1022711443.53,,,,35177358.6,25759251.36,,,,,,,,,,,42154425.83,57583707.07,2456911458.23,,,,55561769.37,12048641.82,4500000.0,,560379630.75,,,,,,,,,,,,,,,,,3017291088.98,,,,,-4832779.82,13379423.23,8546643.41,3025837732.39,,-173683003.71,,,,,,,,,,,278180421.2,56967120.9,778824769.85,1040248909.55,162907367.32,134986169.52,,403886207.82,,,,0
002313.SZ,20250827,20250827,20250630,1,1,2,374400000.0,2057734085.05,-2294109900.65,60340732.1,,349266264.05,581355.68,15369482.01,779560843.14,155901059.37,37747748.43,,,385819711.26,,32419875.61,,,,,,,121490915.13,2141555352.79,,,8328311.5,326951.89,,,124911304.31,135720234.44,,,,,,244158752.81,25824400.27,220797098.3,12785782.26,234508011.81,,185000.0,1096413209.06,,,,,,,,,,,,,,,,,3237968561.85,485820000.0,890013740.43,,,,,20115398.29,1130152393.3,,,,33512728.78,23531844.47,,,372747336.63,,,,,,,,72120024.17,50024259.78,2647881412.31,,,,60724857.79,12378034.32,4500000.0,,571323635.53,,,,,,,,,,,,,,,,,3219205047.84,,,,,-4878618.18,23642132.19,18763514.01,3237968561.85,,-174722784.31,,,,,,,,,,,263398098.11,55663686.46,794930325.15,1150267791.59,155901059.37,135720234.44,,372747336.63,,,,0
002313.SZ,20250422,20250422,20250331,1,1,1,374400000.0,2057734085.05,-2280557845.53,60340732.1,,352899003.76,584888.76,36354066.02,769780888.76,,34127716.34,,,354303120.33,,32609238.22,,,,,,,132909195.5,2127443820.43,,,8510998.02,329897.4,,,132349258.64,,,,,,,250363441.53,29205590.14,220797098.3,15058961.65,236141634.18,,185000.0,1126301846.47,,,,0.0,,,,,,,,,,,,,3253745666.9,109140000.0,1319253659.95,,,,,8533000.0,1098452881.81,,,,39487823.71,28596857.41,,,,,,,,,,,58007194.28,49666740.87,3031310758.71,,,,53398061.92,12750426.87,4500000.0,,190220872.79,,,,,,,,,,,,,,,,,3221531631.5,,,,,-4905340.54,37119375.94,32214035.4,3253745666.9,,-174797595.68,,,,,,,0.0,,,,277239972.92,63770792.47,806134954.78,1106985881.81,136635729.82,140174204.26,,365541808.21,,,,0
002313.SZ,20250321,20250321,20241231,1,1,4,374400000.0,2057734085.05,-2250617278.15,60340732.1,0.0,280710042.08,614919.94,11908091.12,881868432.43,138975126.83,32235491.4,,,361321741.65,,32285141.84,,,,,,,130868486.93,2153537763.26,,,8920708.47,332842.91,,,140220381.93,139815244.93,,,,,,271027342.16,22135133.86,220797098.3,18374580.65,236240595.66,,6331760.0,1161778267.47,,,,,,,,,,,,,,,,,3315316030.73,109140000.0,1273472342.43,,,,0.0,18086487.8,1123334830.85,0.0,,,50618573.74,29374112.84,0.0,0.0,390859203.8,,,,,,,,58929192.28,58744711.61,3056181756.25,0.0,,,57063525.7,13052437.92,4500000.0,0.0,197576923.52,,0.0,,,,,,,,,,,,,,,3253758679.77,,,,,-4917360.9,66474711.86,61557350.96,3315316030.73,,-175382827.14,,,,,,,,,,,282750289.04,52762300.9,893776523.55,1141421318.65,138975126.83,139815244.93,0.0,390859203.8,0.0,0.0,0.0,0
002313.SZ,20241031,20241031,20240930,1,1,3,374400000.0,2057734085.05,-2196304008.07,60340732.1,,265602868.6,587538.57,81502140.75,1025339580.68,,54071150.51,,,370955329.25,,31964378.63,,,,,,,104473025.6,2401345818.08,,,10066640.2,335788.42,,,176936040.64,,,,,,,280379993.83,29747962.82,225071836.93,21562214.53,230163741.0,,255754.72,1211965510.4,,,,,,,,,,,,,,,,,3613311328.48,112730000.0,1387471974.02,,,,,21615186.47,1172125917.69,,,,62867566.68,59296245.27,,,,,,,,,,,67116917.07,49557160.35,3302565372.68,,,,44396024.86,12571376.76,4500000.0,,192995498.04,,,,,,,,,,,,,,,,,3495560870.72,,,,,-4924055.64,122674513.4,117750457.76,3613311328.48,,-173496295.68,,,,,,,,,,,299894609.9,75920150.56,1106841721.43,1193741104.16,166955195.59,141106127.03,,406594254.57,,,,0
002313.SZ,20240810,20240810,20240630,1,1,2,374400000.0,2057734085.05,-2154899332.44,60340732.1,,260484739.07,567223.36,29259112.63,1093487470.63,181528656.1,50550376.72,,,401778559.35,,31861944.55,,,,,,,100682549.88,2440698989.93,,,10425620.29,338733.94,,,176248742.59,145133818.89,,,,,,300645599.73,27092655.71,225071836.93,22557616.49,232156474.84,,255754.72,1240629471.37,,,,,,,,,,,,,,,,,3681328461.3,142980000.0,1447981449.64,,,,,2413764.23,1258850224.85,,,,79942937.26,63974566.12,,,327400185.28,,,,,,,,38618875.91,36988507.17,3323534369.73,,,,18567192.01,12873387.81,4500000.0,,201365729.41,,,,,,,,,,,,,,,,,3524900099.14,,,,,-4915985.61,161344347.77,156428362.16,3681328461.3,,-176231136.94,,,,,,,,,,,290498357.64,67363859.27,1122746583.26,1261263989.08,181528656.1,145133818.89,,327400185.28,,,,0
002313.SZ,20240423,20240423,20240331,1,1,1,374400000.0,2057734085.05,-2125971577.68,60340732.1,,286449484.58,,28303229.74,1096038614.24,,32566536.28,,,373771038.74,,37454288.26,,,,,,,84872616.71,2358504660.98,,,10563258.43,341679.45,,,193313979.51,,,,,,,297359667.88,46364307.46,225071836.93,25516818.21,231363789.32,,255754.72,1283603626.95,,,,,,,,,,,,,,,,,3642108287.93,147560000.0,1391144944.44,,,,,4300851.31,1197104409.46,1979.17,,,80140335.67,77084150.78,,,,,,,,,,,51887797.48,35973417.54,3247336180.78,,,,18606459.52,13174641.24,4500000.0,,210197478.84,,,,,,,,,,,,,,,,,3457533659.62,,,,,-6257859.57,190832487.88,184574628.31,3642108287.93,,-175670751.59,,,,,,,,,,,231203293.96,74098130.65,1124341843.98,1201405260.77,187845558.47,149221891.74,,335600164.28,,,,0
002313.SZ,20240329,20240329,20231231,1,1,4,374400000.0,2057734085.05,-2116882744.76,60340732.1,0.0,185662033.28,0.0,82703994.47,1166408182.02,204789825.26,19000807.11,,,394019609.5,,37454288.26,,,,,,,85457331.87,2357234032.62,,,10657475.31,344624.96,,,192148741.25,153301491.1,,,,,,321211830.98,28356816.72,225071836.93,28989985.62,239246457.52,,255754.72,1296402843.46,,,,,,,,,,,,,,,,,3653636876.08,147560000.0,1261428895.56,,,,0.0,3123059.76,1318832950.09,1979.17,,,76531844.34,108596540.93,0.0,0.0,329537767.04,,,,,,,,63735314.45,29163690.27,3263234431.94,0.0,,,15397304.11,13476652.29,4500000.0,0.0,196176732.87,,0.0,,,,,,,,,,,,,,,3459411164.81,,,,,-6254264.2,200479975.47,194225711.27,3653636876.08,,-175112096.92,,0.0,,,,,,,,,181737960.85,72282390.33,1249112176.49,1321956009.85,204789825.26,153301491.1,0.0,329537767.04,0.0,0.0,0.0,0
