ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
688080.SH,20260422,20260422,20260331,1,1,1,73656132.0,400987489.37,669708227.93,36925921.0,,823968611.8,100000000.0,29678.21,116528532.87,,5217547.43,,,185752250.32,,,,,,,,,8132241.96,1246638487.21,,,30680060.65,,,,,51678440.61,,,,,,7772257.92,,,2393928.71,11161274.5,,,133451187.5,,,,,,,,,,,,,,,,,1380089674.71,,,,,,,44270000.0,79295964.81,,,,6487162.89,7196076.59,,4104570.23,,,,,,,,,5658469.39,5126682.37,183753700.88,,,,,4908380.56,,,16684583.72,,,,,,,,,,,,,,,,,200438284.6,,,,,3964910.79,1175686479.32,1179651390.11,1380089674.71,,-5591290.98,,,,,,,,,,,,30159470.34,116558211.08,123565964.81,2952369.25,51678440.61,,5559874.49,,,,1
688080.SH,20260422,20260422,20260331,1,1,1,73656132.0,400987489.37,669708227.93,36925921.0,,823968611.8,100000000.0,29678.21,116528532.87,,5217547.43,,,185752250.32,,,,,,,,,8132241.96,1246638487.21,,,30680060.65,,,,,,,,,,,7772257.92,,,2393928.71,11161274.5,,,133451187.5,,,,,,,,,,,,,,,,,1380089674.71,,,,,,,44270000.0,79295964.81,,,,6487162.89,7196076.59,,4104570.23,,,,,,,,,5658469.39,5126682.37,183753700.88,,,,,4908380.56,,,16684583.72,,,,,,,,,,,,,,,,,200438284.6,,,,,3964910.79,1175686479.32,1179651390.11,1380089674.71,,-5591290.98,,,,,,,,,,,,30159470.34,116558211.08,123565964.81,2952369.25,51678440.61,,5559874.49,,,,0
688080.SH,20260422,20260422,20251231,1,1,4,73656132.0,399142069.94,660415564.77,36925921.0,,926018674.03,,29678.21,130511167.48,2844615.47,5007867.51,,,148965269.6,,,,,,,,,9537777.15,1234328749.96,,,33291453.29,,,,,52913715.61,,,,,,7829782.4,,,2355451.94,11765150.3,,,140447894.46,,,,,,,,,,,,,,,,,1374776644.42,,,,,,,22303975.0,79375767.83,,,,20600870.75,7008443.54,0.0,4104570.23,4321515.34,,,,,,,,6511113.42,11228927.72,183559229.47,,,,,5549284.13,,,18815344.99,,,,,,,,,,,,,,,,,202374574.46,,,,,3742196.8,1168659873.16,1172402069.96,1374776644.42,,-1479814.55,,,,,,,,,,,,28104045.64,130540845.69,101679742.83,2844615.47,52913715.61,,8426085.57,,,,0
688080.SH,20251028,20251028,20250930,1,1,3,73656132.0,397328750.19,614162142.1,36851611.35,,878112313.15,,,129546002.88,,5275019.1,,,179161747.07,,,,,,,,,3320261.7,1219923707.04,,,33766920.48,,,,,51134569.97,,,,,,7903596.85,,,1313451.65,11751615.5,,,139004024.97,,,,,,,,,,,,,,,,,1358927732.01,,,,,,,17950000.0,78979712.1,,,,7636339.49,17660302.67,,4104570.23,,,,,,,,,5742706.55,17744802.65,209785610.4,,,,,5926830.24,,,22205662.98,,,,,,,,,,,,,,,,,231991273.38,,,,,4165814.52,1122770644.11,1126936458.63,1358927732.01,,1172008.47,,,,,,,,,,,,58173218.0,129546002.88,96929712.1,2831018.23,51134569.97,,5898528.94,,,,0
688080.SH,20250822,20250822,20250630,1,1,2,73851842.0,410016164.81,593480336.71,36968172.14,,824191682.39,,,153188636.43,2595893.24,4119722.46,,,195427444.06,,,,,,,,,4574065.01,1197856825.08,,,36970150.77,,,,,52239110.49,,,,,,7979972.56,,,1608477.91,10768939.13,,,136351815.23,,,,,,,,,,,,,,,,,1334208640.31,,,,,,,27327511.0,106240077.11,,,,6880022.85,12177238.69,,,1606424.89,,,,,,,,6418151.35,11189403.67,212119908.74,,,,,4132879.57,,,13437632.5,,,,,,,,,,,,,,,,,225557541.24,11938168.12,,,,3076107.24,1105574991.83,1108651099.07,1334208640.31,,3196644.29,,,,,,,,,,,,40281079.18,153188636.43,133567588.11,2595893.24,52239110.49,,1606424.89,,,,0
688080.SH,20250423,20250423,20250331,1,1,1,73851842.0,408344289.13,548403993.82,36925921.0,,814295354.56,,11108.48,132768335.77,,8806167.27,,,197978232.1,,,,,,,,,3496778.12,1167242072.88,,,32881216.53,,,,,,,,,,,7982564.9,,,1908839.41,11235895.03,,,126486172.39,,,,,,,,,,,,,,,,,1293728245.27,,,,,,,38940000.0,88493575.8,,,,6971504.96,10182456.75,,,,,,,,,,,6830752.02,9577907.79,210468149.57,,,,,4163401.9,,,14121548.85,,,,,,,,,,,,,,,,,224589698.42,4742168.72,,,,2722669.22,1066415877.63,1069138546.85,1293728245.27,,3632000.4,,,,,,,,,,,,48224237.99,132779444.25,127433575.8,2397478.94,44589295.84,,1247714.26,,,,0
688080.SH,20250423,20250423,20250331,1,1,1,73851842.0,408344289.13,548403993.82,36925921.0,,814295354.56,,11108.48,132768335.77,,8806167.27,,,197978232.1,,,,,,,,,3496778.12,1167242072.88,,,32881216.53,,,,,44589295.84,,,,,,7982564.9,,,1908839.41,11235895.03,,,126486172.39,,,,,,,,,,,,,,,,,1293728245.27,,,,,,,38940000.0,88493575.8,,,,6971504.96,10182456.75,,,,,,,,,,,6830752.02,9577907.79,210468149.57,,,,,4163401.9,,,14121548.85,,,,,,,,,,,,,,,,,224589698.42,4742168.72,,,,2722669.22,1066415877.63,1069138546.85,1293728245.27,,3632000.4,,,,,,,,,,,,48224237.99,132779444.25,127433575.8,2397478.94,44589295.84,,1247714.26,,,,1
688080.SH,20250423,20250423,20241231,1,1,4,73851842.0,407204589.22,526132118.56,36925921.0,,832050072.96,,36979.62,137831463.18,2276566.16,3089333.06,,,171537564.48,,,,,,,,,7798623.17,1163260620.26,,,35604117.09,,,,,45006506.77,,,,,,8059139.72,,,1893394.73,11244068.81,,,128694010.54,,,,,,,,,,,,,,,,,1291954630.8,,11701.75,,,,,23370000.0,125934192.85,,,,21233252.95,11728642.82,0.0,1756.0,2269322.28,,,,,,,,5951269.71,8632932.23,233067035.98,,,,,4088547.17,,,13732833.97,,,,,,,,,,,,,,,,,246799869.95,4742168.72,,,,2295602.9,1042859157.95,1045154760.85,1291954630.8,,3486855.89,,,,,,,,,,,,33933965.39,137868442.8,149304192.85,2276566.16,45006506.77,,2271078.28,,,,0
688080.SH,20241025,20241025,20240930,1,1,3,73601522.0,400571983.22,485433551.57,31104869.01,,767331749.56,9109620.0,37131.75,119880877.4,,4237091.23,,,136681806.05,,,,,,,,,2860836.25,1047689325.55,,,39539521.79,,,,,45082595.87,,,,,,8183956.78,,,2193114.21,9337421.05,,,124460023.84,,,,,,,,,,,,,,,,,1172149349.39,,,,,,,26450000.0,78155490.64,,,,6632665.87,14564485.85,,1756.0,,,,,,,,,4877642.71,5376661.9,174043329.89,,,,,1740799.81,,,5829057.11,,,,,,,,,,,,,,,,,179872387.0,,,,,2858252.32,989418710.07,992276962.39,1172149349.39,,-1293215.73,,,,,,,,,,,,36199860.81,119918009.15,104605490.64,2703300.75,45082595.87,,1786522.11,,,,0
688080.SH,20240823,20240823,20240630,1,1,2,73601522.0,398207333.22,455485105.66,31104869.01,,751196877.3,,12515.05,120249172.37,2399222.96,3138967.14,,,121389645.91,,,,,,,,,2395078.24,1011138536.62,,,37431349.81,,,,,45179197.89,,,,,,8270981.95,,,2504783.34,8981503.73,,,123898970.47,,,,,,,,,,,,,,,,,1135037507.09,,,,,,,20450000.0,73300243.47,,,,6473326.45,13452515.9,0.0,1756.0,2005300.04,,,,,,,,4985921.25,7516268.05,165628489.78,,,,,1984520.83,,,7421891.88,,,,,,,,,,,,,,,,,173050381.66,,,,,1593736.62,960393388.81,961987125.43,1135037507.09,,1994558.92,,,,,,,,,,,,37443158.62,120261687.42,93750243.47,2399222.96,45179197.89,,2007056.04,,,,0
