ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
300638.SZ,20260424,20260424,20260331,-1043794008.77,1423360684.07,230306537.09,1866454455.8
300638.SZ,20260424,20260424,20260331,-1043794008.77,1423360684.07,230306537.09,1866454455.8
300638.SZ,20260331,20260331,20251231,353307653.06,-1973126234.87,2194508402.79,1282115632.59
300638.SZ,20260331,20260331,20251231,353307653.06,-1973126234.87,2194508402.79,1282115632.59
300638.SZ,20251030,20251030,20250930,297597559.91,-93561756.11,-145804128.99,769044120.24
300638.SZ,20251030,20251030,20250930,297597559.91,-93561756.11,-145804128.99,769044120.24
300638.SZ,20250827,20250827,20250630,-18771726.22,-11790530.01,107102268.14,788472024.56
300638.SZ,20250827,20250827,20250630,-18771726.22,-11790530.01,107102268.14,788472024.56
300638.SZ,20250430,20250430,20250331,-148593671.3,-179448631.64,93072256.26,475280770.56
300638.SZ,20250430,20250430,20250331,-148593671.3,-179448631.64,93072256.26,475280770.56
300638.SZ,20250419,20250419,20241231,439885620.76,-479268249.98,-244190402.77,709835674.68
300638.SZ,20241029,20241029,20240930,196767103.64,-157099544.14,-152588672.06,886677853.03
300638.SZ,20241029,20241029,20240930,196767103.64,-157099544.14,-152588672.06,886677853.03
300638.SZ,20240829,20240829,20240630,337514454.22,-164858322.89,-21780096.21,1149230970.68
300638.SZ,20240829,20240829,20240630,337514454.22,-164858322.89,-21780096.21,1149230970.68
300638.SZ,20240429,20240429,20240331,109060643.97,-171556292.9,35584622.03,952766662.51
300638.SZ,20240326,20240326,20231231,653984206.24,-283179315.51,-208701613.83,978262425.94
300638.SZ,20231028,20231028,20230930,401287085.42,-285268135.54,-61163129.54,876752116.89
300638.SZ,20231028,20231028,20230930,401287085.42,-285268135.54,-61163129.54,876752116.89
300638.SZ,20230805,20230805,20230630,134539936.57,-171164318.52,-69416803.74,715565168.69
300638.SZ,20230426,20230426,20230331,-115402924.74,-30315675.44,-69922427.9,596684605.01
300638.SZ,20230426,20230426,20230331,-115402924.74,-30315675.44,-69922427.9,596684605.01
300638.SZ,20230424,20230424,20221231,299548880.72,-178887102.78,236690773.19,816559554.39
300638.SZ,20230424,20230424,20221231,299548880.72,-178887102.78,236690773.19,816559554.39
300638.SZ,20221022,20221022,20220930,61161636.31,-311654252.29,331423328.62,550479941.85
300638.SZ,20221022,20221022,20220930,61161636.31,-311654252.29,331423328.62,550479941.85
300638.SZ,20220809,20220809,20220630,91625122.55,-170750635.11,362793317.14,732453112.05
300638.SZ,20220429,20220429,20220331,11826332.92,-22617082.01,358394064.08,828657409.09
300638.SZ,20220330,20220330,20211231,-422002028.42,27007368.32,347814916.16,434135313.51
300638.SZ,20220330,20220330,20211231,-422002028.42,27007368.32,347814916.16,434135313.51
300638.SZ,20211016,20211016,20210930,-408744812.17,7200068.12,273905559.53,355542846.6
300638.SZ,20210821,20210821,20210630,-219713170.97,26630570.84,160806115.49,449259134.81
300638.SZ,20210423,20210423,20210331,79609766.83,-62033796.02,43935324.71,543112136.89
300638.SZ,20210417,20210417,20201231,337092509.77,-133474485.01,-97397513.67,479272482.46
300638.SZ,20210417,20210417,20201231,337092509.77,-133474485.01,-97397513.67,479272482.46
300638.SZ,20201029,20201029,20200930,202147274.67,-77837607.9,169148816.0,694154938.16
300638.SZ,20200801,20200801,20200630,79332283.62,-378780300.69,178142225.1,262581611.41
300638.SZ,20200801,20200801,20200630,79332283.62,-378780300.69,178142225.1,262581611.41
300638.SZ,20200425,20200425,20200331,47004540.9,-224270627.96,12371638.11,222781381.2
300638.SZ,20200415,20200415,20191231,223153546.24,-675761934.09,601737472.84,386495480.78
300638.SZ,20200415,20200415,20191231,223153546.24,-675761934.09,601737472.84,386495480.78
300638.SZ,20191028,20191028,20190930,231744523.31,-98609304.96,-73449851.23,307062232.35
300638.SZ,20191028,20191028,20190930,231744523.31,-98609304.96,-73449851.23,307062232.35
300638.SZ,20190829,20190829,20190630,220012348.85,-75853301.82,-97117706.17,287984409.35
300638.SZ,20190426,20190426,20190331,140865675.38,-41401055.72,-76125668.62,264128319.53
300638.SZ,20190308,20190308,20181231,-8931812.61,56020839.24,112417622.43,241314259.68
300638.SZ,20181029,20181029,20180930,-26160984.45,6441616.76,97517920.9,153739108.43
300638.SZ,20180807,20180807,20180630,-56843678.67,18244980.97,96818779.56,133602773.53
300638.SZ,20180427,20180427,20180331,6608885.24,97623811.2,13053941.06,191144770.08
300638.SZ,20180413,20180413,20171231,-122835304.4,-128698243.86,211488310.91,72624571.68
300638.SZ,20171026,20171026,20170930,-115947866.91,-120298615.23,194268399.35,71455777.78
300638.SZ,20170825,20170825,20170630,-63258868.17,-151274184.09,176157035.41,75513376.6
300638.SZ,20170428,20170428,20170331,-50617579.39,-6549632.34,171867575.0,228747644.01
300638.SZ,20171026,20171026,20160930,1321589.26,-3830153.61,-5306097.56,54070498.07
300638.SZ,20170825,20170825,20160630,-13694969.77,-2563464.92,8024532.49,53324395.51
300638.SZ,20170428,20170428,20160331,-32483055.59,-1682713.0,17288552.54,45090157.59
