ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
688080.SH,20260422,20260422,20260331,8476688.21,-100162924.0,-8467880.73,812545701.8
688080.SH,20260422,20260422,20260331,8476688.21,-100162924.0,-8467880.73,812545701.8
688080.SH,20260422,20260422,20251231,147315674.83,-10192332.19,-32671191.58,920788969.03
688080.SH,20260422,20260422,20251231,147315674.83,-10192332.19,-32671191.58,920788969.03
688080.SH,20251028,20251028,20250930,87528467.56,-7181137.29,-27943978.06,874491313.15
688080.SH,20251028,20251028,20250930,87528467.56,-7181137.29,-27943978.06,874491313.15
688080.SH,20250822,20250822,20250630,8552950.45,-8120572.7,-10308748.9,815899687.39
688080.SH,20250822,20250822,20250630,8552950.45,-8120572.7,-10308748.9,815899687.39
688080.SH,20250423,20250423,20250331,-20648130.2,-2756863.43,-2585294.86,800591359.56
688080.SH,20250423,20250423,20250331,-20648130.2,-2756863.43,-2585294.86,800591359.56
688080.SH,20250423,20250423,20241231,112748258.49,2677204.49,-19152368.49,826909572.96
688080.SH,20241025,20241025,20240930,64811684.58,-7107528.99,-18219597.52,761432297.56
688080.SH,20241025,20241025,20240930,64811684.58,-7107528.99,-18219597.52,761432297.56
688080.SH,20240823,20240823,20240630,34143751.1,1294425.25,-16306597.9,746725925.3
688080.SH,20240823,20240823,20240630,34143751.1,1294425.25,-16306597.9,746725925.3
688080.SH,20240419,20240419,20240331,20160658.35,-20512631.02,-982545.5,724681589.87
688080.SH,20240419,20240419,20240331,20160658.35,-20512631.02,-982545.5,724681589.87
688080.SH,20240419,20240419,20231231,190268444.36,-5623374.88,-13775227.54,725448910.82
688080.SH,20231026,20231026,20230930,119181210.02,-2350189.54,-12387115.41,662197368.39
688080.SH,20230823,20230823,20230630,81131412.04,1301263.96,-8785983.0,633480628.8
688080.SH,20230426,20230426,20230331,28663869.58,-13217.59,-598753.84,579596892.72
688080.SH,20230426,20230426,20230331,28663869.58,-13217.59,-598753.84,579596892.72
688080.SH,20230426,20230426,20221231,57864523.78,-2700189.74,11155542.45,553374853.45
688080.SH,20230426,20230426,20221231,57864523.78,-2700189.74,11155542.45,553374853.45
688080.SH,20221028,20221028,20220930,19595212.28,-205020605.35,10756180.05,314790845.74
688080.SH,20221028,20221028,20220930,19595212.28,-205020605.35,10756180.05,314790845.74
688080.SH,20220826,20220826,20220630,5923960.45,-2428163.66,10811629.43,495666809.94
688080.SH,20220826,20220826,20220630,5923960.45,-2428163.66,10811629.43,495666809.94
688080.SH,20220426,20220426,20220331,-2450434.46,-304232628.48,15316319.85,182211620.31
688080.SH,20220426,20220426,20211231,38537423.06,-5251088.03,-30427858.65,474114422.3
688080.SH,20220426,20220426,20211231,38537423.06,-5251088.03,-30427858.65,474114422.3
688080.SH,20211027,20211027,20210930,15261023.71,-202843902.4,-30431983.26,253375893.29
688080.SH,20210820,20210820,20210630,2086617.04,-2091098.92,-15259389.09,455803024.48
688080.SH,20210428,20210428,20210331,6817283.42,-261418509.6,,218622710.58
688080.SH,20210428,20210428,20201231,69470218.01,-16569693.28,303796999.21,472322044.56
688080.SH,20210428,20210428,20201231,69470218.01,-16569693.28,303796999.21,472322044.56
688080.SH,20201029,20201029,20200930,35579936.63,-252083071.4,304840190.19,207556224.37
688080.SH,20200826,20200826,20200630,5236355.78,-229752920.09,304903639.98,203241266.62
688080.SH,20200826,20200826,20200630,5236355.78,-229752920.09,304903639.98,203241266.62
688080.SH,20200428,20200428,20200331,-3406270.82,-174313392.21,318743075.15,263906593.3
688080.SH,20200428,20200428,20191231,30786100.87,-10316865.1,-6706387.5,122343155.99
688080.SH,20200428,20200428,20191231,30786100.87,-10316865.1,-6706387.5,122343155.99
688080.SH,20200428,20200428,20190331,-6616458.89,-1823142.45,429675.0,100580613.13
