ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
920249.BJ,20260422,20260422,20260331,25955319.77,-4275843.34,-14330125.88,215491034.35
920249.BJ,20260416,20260416,20251231,131624733.25,-46341446.47,-28891989.46,208884294.61
920249.BJ,20260416,20260416,20251231,131624733.25,-46341446.47,-28891989.46,208884294.61
920249.BJ,20251030,20251030,20250930,108747746.91,-64097001.96,-10057023.3,184865346.95
920249.BJ,20250820,20250820,20250630,82827154.79,-20830867.64,-19641877.75,192124752.56
920249.BJ,20250429,20250429,20250331,25650971.82,-5282598.45,1926491.98,171975343.54
920249.BJ,20250429,20250429,20241231,57578871.21,-56652975.32,-35030078.72,149425638.17
920249.BJ,20241031,20241031,20240930,-74029274.3,-38482440.92,76704858.53,145157726.98
920249.BJ,20240830,20240830,20240630,-49168577.37,-10947363.06,37626055.07,159663326.2
920249.BJ,20240830,20240830,20240630,-49168577.37,-10947363.06,37626055.07,159663326.2
920249.BJ,20240427,20240427,20240331,-16631354.61,-9124580.1,51822730.25,207746240.74
920249.BJ,20240427,20240427,20231231,-49013383.67,-40629932.27,118957828.07,181541893.58
920249.BJ,20231028,20231028,20230930,-85820853.05,-34487021.13,104117407.48,143917174.93
920249.BJ,20231028,20231028,20230930,-85820853.05,-34487021.13,104117407.48,143917174.93
920249.BJ,20230831,20230831,20230630,-46765823.48,-28956849.23,74975282.46,159280067.43
920249.BJ,20230831,20230831,20230630,-46765823.48,-28956849.23,74975282.46,159280067.43
920249.BJ,20230427,20230427,20230331,-9534072.18,-24015549.06,115475297.75,240932487.03
920249.BJ,20230427,20230427,20230331,-9534072.18,-24015549.06,115475297.75,240932487.03
920249.BJ,20230427,20230427,20221231,12382103.68,-103150180.01,89365549.37,151868084.34
920249.BJ,20230427,20230427,20221231,12382103.68,-103150180.01,89365549.37,151868084.34
