ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
301608.SZ,20260421,20260421,20260331,1,1,1,,,364885609.24,7760772.41,,,,,,,,,,,,4259259.95,376905641.6,294325818.0,65392692.97,13843192.21,,,,,,8555945.97,382117649.15,-5212007.55,,1017000000.0,3865203.32,,,1020865203.32,30738697.39,1589500000.0,,,,1620238697.39,-599373494.07,,,,,,,,,348114.58,348114.58,-348114.58,-2471995.16,-607405611.36,983208649.75,375803038.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301608.SZ,20260421,20260421,20260331,1,1,1,,,364885609.24,7760772.41,,,,,,,,,,,,4259259.95,376905641.6,294325818.0,65392692.97,13843192.21,,,,,,8555945.97,382117649.15,-5212007.55,,1017000000.0,3865203.32,,,1020865203.32,30738697.39,1589500000.0,,,,1620238697.39,-599373494.07,,,,,-57715698.8473,,,,348114.58,348114.58,-348114.58,-2471995.16,-607405611.36,983208649.75,375803038.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301608.SZ,20260421,20260421,20251231,1,1,4,234722619.86,384761.42,1470140033.0,21130548.43,,,,,,,,,,,,13004001.86,1504274583.29,853327448.55,248595934.31,40298340.18,,,,,,45998536.74,1188220259.78,316054323.51,,5615500000.0,28258951.03,1000.0,,5643759951.03,95310884.04,5758500000.0,,,,5853810884.04,-210050933.01,,,9404339.86,9404339.86,238731040.525,,75021708.83,,1831328.02,76853036.85,-67448696.99,-315586.45,38239107.06,944969542.69,983208649.75,,,,4399040.99,17834972.9,1542299.44,1476699.53,,,33.84,52482.0,-20859609.83,-5589191.12,19253.24,4222.5,-106478719.93,831442.98,186256127.65,,316054323.51,,,,38239107.06,,,,1457888.04,,983208649.75,944969542.69,,,0
301608.SZ,20251024,20251024,20250930,1,1,3,,,1037029865.45,17450054.03,,,,,,,,,,,,7443692.83,1061923612.31,600728680.79,177301331.88,28609395.69,,,,,,32124158.96,838763567.32,223160044.99,,4044048900.0,19925937.7,,,4063974837.7,78100089.74,4662000000.0,,,,4740100089.74,-676125252.04,,,5953750.0,5953750.0,122762844.607,,73101136.46,,1366354.15,74467490.61,-68513740.61,333731.04,-521145216.62,944969542.69,423824326.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301608.SZ,20250828,20250828,20250630,1,1,2,107783088.79,165151.22,599586918.52,6549035.56,,,,,,,,,,,,5294206.71,611430160.79,398439445.22,114679607.03,17357208.36,,,,,,19362481.54,549838742.15,61591418.64,,2486000000.0,10851731.86,,,2496851731.86,47296755.92,3114000000.0,,,,3161296755.92,-664445024.06,,,5953750.0,5953750.0,2708705.2407,,29945113.71,,901380.28,30846493.99,-24892743.99,-121013.4,-627867362.81,944969542.69,317102179.88,,,,2634574.12,8874419.4,712303.31,1013537.37,,,,19416.39,-12825132.32,-2156621.41,874659.24,-332.3,-63807185.88,-20171382.07,37749382.98,,61591418.64,,,,-627867362.81,,,,725539.8,,317102179.88,944969542.69,,,1
301608.SZ,20250828,20250828,20250630,1,1,2,107783088.79,165151.22,599586918.52,6549035.56,,,,,,,,,,,,5294206.71,611430160.79,398439445.22,114679607.03,17357208.36,,,,,,19362481.54,549838742.15,61591418.64,,2486000000.0,10851731.86,,,2496851731.86,47296755.92,3114000000.0,,,,3161296755.92,-664445024.06,,,5953750.0,5953750.0,,,29945113.71,,901380.28,30846493.99,-24892743.99,-121013.4,-627867362.81,944969542.69,317102179.88,,,,2634574.12,8874419.4,712303.31,1013537.37,,,,19416.39,-12825132.32,-2156621.41,874659.24,-332.3,-63807185.88,-20171382.07,37749382.98,,61591418.64,,,,-627867362.81,,,,725539.8,,317102179.88,944969542.69,,,0
301608.SZ,20250423,20250423,20250331,1,1,1,,,269338876.98,5535406.93,,,,,,,,,,,,2863437.11,277737721.02,183241054.37,54778612.8,8929180.07,,,,,,8585427.74,255534274.98,22203446.04,,435000000.0,882880.14,,,435882880.14,32545648.81,1155000000.0,,,,1187545648.81,-751662768.67,,,,,,,,,428576.41,428576.41,-428576.41,591245.71,-729296653.33,944969542.69,215672889.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301608.SZ,20250423,20250423,20250331,1,1,1,,,269338876.98,5535406.93,,,,,,,,,,,,2863437.11,277737721.02,183241054.37,54778612.8,8929180.07,,,,,,8585427.74,255534274.98,22203446.04,,435000000.0,882880.14,,,435882880.14,32545648.81,1155000000.0,,,,1187545648.81,-751662768.67,,,,,-32241367.4577,,,,428576.41,428576.41,-428576.41,591245.71,-729296653.33,944969542.69,215672889.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301608.SZ,20250423,20250423,20241231,1,1,4,175624947.48,-4137880.57,1127957603.96,9273106.44,,,,,,,,,,,,14476784.78,1151707495.18,659208034.07,209207072.87,40998117.54,,,,,,39730948.8,949144173.28,202563321.9,,2919000000.0,16205408.7,277200.0,,2935482608.7,78289038.36,3579000000.0,,,,3657289038.36,-721806429.66,,,10355862.65,930293607.0,186860878.3707,,56056694.38,,38313484.58,94370178.96,835923428.04,4270026.41,320950346.69,624019196.0,944969542.69,919937744.35,,,8586422.36,17450304.22,1417701.53,2353898.17,,,20439.85,75816.72,-10998716.56,-3451325.37,-713855.28,-359223.36,-45235182.03,-70925771.32,131552162.15,,202563321.9,,,,320950346.69,,,,1303583.91,,944969542.69,624019196.0,,,1
301608.SZ,20241028,20241028,20240930,1,1,3,,,796058438.6,,,,,,,,,,,,,13609495.54,809667934.14,469458542.64,147442521.93,34340209.14,,,,,,28358035.61,679599309.32,130068624.82,,1169000000.0,5446159.34,277200.0,,1174723359.34,40641998.89,2309000000.0,,,,2349641998.89,-1174918639.55,,,10355862.65,930293607.0,-1024162978.7374,,53063967.58,,35988392.9,89052360.48,841241246.52,-84367.51,-203693135.72,624019196.0,420326060.28,919937744.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
