ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
688618.SH,20260430,20260430,20260331,1,1,1,,,81845430.26,3412135.71,,,,,,,,,,,,5397449.49,90655015.46,37130979.68,30205595.57,5457057.29,,,,,,19189698.88,91983331.42,-1328315.96,,90688983.45,,,,90688983.45,5048685.2,340042388.89,,1000000.0,,346091074.09,-255402090.64,38000000.0,,,38000000.0,-10457822.22,32600000.0,422420.73,,32396231.46,65418652.19,-27418652.19,64940.07,-284084118.72,339950701.14,55866582.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
688618.SH,20260430,20260430,20260331,1,1,1,,,81845430.26,3412135.71,,,,,,,,,,,,5397449.49,90655015.46,37130979.68,30205595.57,5457057.29,,,,,,19189698.88,91983331.42,-1328315.96,,90688983.45,,,,90688983.45,5048685.2,340042388.89,,1000000.0,,346091074.09,-255402090.64,38000000.0,,,38000000.0,,32600000.0,422420.73,,32396231.46,65418652.19,-27418652.19,64940.07,-284084118.72,339950701.14,55866582.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
688618.SH,20260430,20260430,20251231,1,1,4,35971024.68,1843962.9,382460867.73,18947432.03,,,,,,,,,,,,18081775.09,419490074.85,123087317.87,125364525.66,31037503.24,,,,,,85274258.81,364763605.58,54726469.27,,458764181.55,,3542.71,,458767724.26,23833872.82,457000000.0,,,,480833872.82,-22066148.56,128000000.0,,,128000000.0,,58200000.0,17567299.55,,39455262.39,115222561.94,12777438.06,-1299320.96,44138437.81,295812263.33,339950701.14,,,,5120476.39,12238980.43,3761363.45,612112.16,,,,-1013.45,-132819.96,-6488152.05,-1042220.45,-435373.29,-13459882.12,8403609.07,3909023.05,,54726469.27,,,,44138437.81,,,-106195.95,5628554.5,,339950701.14,295812263.33,,,0
688618.SH,20260430,20260430,20251231,1,1,4,35971024.68,1843962.9,382460867.73,18947432.03,,,,,,,,,,,,18081775.09,419490074.85,123087317.87,125364525.66,31037503.24,,,,,,85274258.81,364763605.58,54726469.27,,458764181.55,,3542.71,,458767724.26,23833872.82,457000000.0,,,,480833872.82,-22066148.56,128000000.0,,,128000000.0,36219606.25,58200000.0,17567299.55,,39455262.39,115222561.94,12777438.06,-1299320.96,44138437.81,295812263.33,339950701.14,,,,5120476.39,12238980.43,3761363.45,612112.16,,,,-1013.45,-132819.96,-6488152.05,-1042220.45,-435373.29,-13459882.12,8403609.07,3909023.05,,54726469.27,,,,44138437.81,,,-106195.95,5628554.5,,339950701.14,295812263.33,,,1
688618.SH,20251031,20251031,20250930,1,1,3,,,273881945.53,13119110.32,,,,,,,,,,,,32746219.56,319747275.41,90729235.83,94892014.64,25315089.71,,,,,,83154671.62,294091011.8,25656263.61,,167491919.38,,,,167491919.38,19110816.55,427000000.0,,,,446110816.55,-278618897.17,110000000.0,,,110000000.0,,53600000.0,16931835.0,,7775165.57,78307000.57,31692999.43,-636336.18,-221905970.31,295812263.33,73906293.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
688618.SH,20251031,20251031,20250930,1,1,3,,,273881945.53,13119110.32,,,,,,,,,,,,32746219.56,319747275.41,90729235.83,94892014.64,25315089.71,,,,,,83154671.62,294091011.8,25656263.61,,167491919.38,,,,167491919.38,19110816.55,427000000.0,,,,446110816.55,-278618897.17,110000000.0,,,110000000.0,1471634.4229,53600000.0,16931835.0,,7775165.57,78307000.57,31692999.43,-636336.18,-221905970.31,295812263.33,73906293.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
688618.SH,20250829,20250829,20250630,1,1,2,16030351.28,851161.42,190695589.9,7274472.68,,,,,,,,,,,,27709167.89,225679230.47,64328416.14,64419789.3,17471981.48,,,,,,65283729.48,211503916.4,14175314.07,,85514852.86,,,,85514852.86,18479538.14,335000000.0,,,,353479538.14,-267964685.28,90000000.0,,,90000000.0,,20000000.0,5635202.62,,6252133.31,31887335.93,58112664.07,-254148.13,-195930855.27,295812263.33,99881408.06,,,,3415681.81,5762425.84,1731211.75,294025.34,,,,10383.45,-4942907.5,-184989.21,-1944587.59,,-8084776.57,12930879.22,-14784985.31,,14175314.07,,,,-195930855.27,,,-871483.68,3097246.14,,99881408.06,295812263.33,,,0
688618.SH,20250829,20250829,20250630,1,1,2,16030351.28,851161.42,190695589.9,7274472.68,,,,,,,,,,,,27709167.89,225679230.47,64328416.14,64419789.3,17471981.48,,,,,,65283729.48,211503916.4,14175314.07,,85514852.86,,,,85514852.86,18479538.14,335000000.0,,,,353479538.14,-267964685.28,90000000.0,,,90000000.0,965137.91,20000000.0,5635202.62,,6252133.31,31887335.93,58112664.07,-254148.13,-195930855.27,295812263.33,99881408.06,,,,3415681.81,5762425.84,1731211.75,294025.34,,,,10383.45,-4942907.5,-184989.21,-1944587.59,,-8084776.57,12930879.22,-14784985.31,,14175314.07,,,,-195930855.27,,,-871483.68,3097246.14,,99881408.06,295812263.33,,,1
688618.SH,20250430,20250430,20250331,1,1,1,,,80090090.87,4763157.91,,,,,,,,,,,,32450220.41,117303469.19,21417431.88,30239539.33,7576195.98,,,,,,46778631.26,106011798.45,11291670.74,,20149122.75,,,,20149122.75,4174033.84,244000000.0,,,,248174033.84,-228024911.09,30000000.0,,,30000000.0,,20000000.0,190035.9,,1574087.68,21764123.58,8235876.42,15297.08,-208482066.85,295812263.33,87330196.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
688618.SH,20250430,20250430,20250331,1,1,1,,,80090090.87,4763157.91,,,,,,,,,,,,32450220.41,117303469.19,21417431.88,30239539.33,7576195.98,,,,,,46778631.26,106011798.45,11291670.74,,20149122.75,,,,20149122.75,4174033.84,244000000.0,,,,248174033.84,-228024911.09,30000000.0,,,30000000.0,-5280880.6114,20000000.0,190035.9,,1574087.68,21764123.58,8235876.42,15297.08,-208482066.85,295812263.33,87330196.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
