ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
920249.BJ,20260422,20260422,20260331,1,1,1,,,864562160.75,869015.83,,,,,,,,,,,,1544304.56,866975481.14,727143049.2,76289390.3,12232336.54,,,,,,25355385.33,841020161.37,25955319.77,5353064.64,,,,,5353064.64,6528907.98,3100000.0,,,,9628907.98,-4275843.34,65000000.0,,,65000000.0,11443748.6206,72005760.27,3149801.9,,4174563.71,79330125.88,-14330125.88,-822110.81,6527239.74,208963794.61,215491034.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
920249.BJ,20260416,20260416,20251231,1,1,4,41896214.36,11788148.58,3407062331.33,11668828.45,,,,,,,,,,,,11821173.67,3430552333.45,2949320039.7,207389855.68,48301513.49,,,,,,93916191.33,3298927600.2,131624733.25,6448086.86,20000000.0,28766.49,11445.19,,26488298.54,33829745.01,39000000.0,,,,72829745.01,-46341446.47,667228234.29,,,667228234.29,65988225.1892,668886498.0,15277186.18,,11956539.57,696120223.75,-28891989.46,3067359.12,59458656.44,149425638.17,208884294.61,,,,20286468.53,28273194.43,1419496.65,1972356.84,,,51232.23,168661.15,2445616.4,2452117.54,18285055.1,-8856806.23,97049155.57,-213854513.3,96601436.5,,131624733.25,,,,59458656.44,,,8319202.7,,,208884294.61,149425638.17,,,1
920249.BJ,20260416,20260416,20251231,1,1,4,41896214.36,11788148.58,3407062331.33,11668828.45,,,,,,,,,,,,11821173.67,3430552333.45,2949320039.7,207389855.68,48301513.49,,,,,,93916191.33,3298927600.2,131624733.25,6448086.86,20000000.0,28766.49,11445.19,,26488298.54,33829745.01,39000000.0,,,,72829745.01,-46341446.47,667228234.29,,,667228234.29,,668886498.0,15277186.18,,11956539.57,696120223.75,-28891989.46,3067359.12,59458656.44,149425638.17,208884294.61,,,,20286468.53,28273194.43,1419496.65,1972356.84,,,51232.23,168661.15,2445616.4,2452117.54,18285055.1,-8856806.23,97049155.57,-213854513.3,96601436.5,,131624733.25,,,,59458656.44,,,8319202.7,,,208884294.61,149425638.17,,,0
920249.BJ,20251030,20251030,20250930,1,1,3,,,2448470507.03,8539706.99,,,,,,,,,,,,15017125.9,2472027339.92,2114895181.81,156739375.9,28875817.21,,,,,,62769218.09,2363279593.01,108747746.91,,,28597.57,2225.19,,30822.76,27127824.72,37000000.0,,,,64127824.72,-64097001.96,491781237.01,,,491781237.01,7928391.8443,478555798.0,11810869.47,,11471592.84,501838260.31,-10057023.3,845987.13,35439708.78,149425638.17,184865346.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
920249.BJ,20250820,20250820,20250630,1,1,2,10598487.97,7103275.08,1564404517.05,5213690.7,,,,,,,,,,,,12236767.76,1581854975.51,1303849947.49,109680932.8,20288956.52,,,,,,65207983.91,1499027820.72,82827154.79,,,,8688.62,,8688.62,13739556.26,7100000.0,,,,20839556.26,-20830867.64,377537077.01,,,377537077.01,38721761.6503,380055798.0,8416273.14,,8706883.62,397178954.76,-19641877.75,344704.99,42699114.39,149425638.17,192124752.56,,,,3001118.21,14378578.68,757653.29,977763.72,,,,344569.7,21820.46,1876917.65,1923477.61,1817053.83,87361517.98,-235736791.77,175264780.49,,82827154.79,,,,42699114.39,,,,,,192124752.56,149425638.17,,,1
920249.BJ,20250429,20250429,20250331,1,1,1,,,607773623.72,3799971.99,,,,,,,,,,,,267274.38,611840870.09,494647040.98,63026205.69,8344584.47,,,,,,20172067.13,586189898.27,25650971.82,,,,1100.0,,1100.0,5283698.45,,,,,5283698.45,-5282598.45,264405760.27,,,264405760.27,12379937.9346,257079598.0,4038672.6,,1360997.69,262479268.29,1926491.98,254840.02,22549705.37,149425638.17,171975343.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
920249.BJ,20250429,20250429,20241231,1,1,4,-108740064.68,14548686.64,2913677933.17,6780010.71,,,,,,,,,,,,21567039.95,2942024983.83,2541674340.32,223082887.5,35628635.45,,,,,,84060249.35,2884446112.62,57578871.21,2332939.71,,28417.6,464695.93,,2826053.24,15591524.24,30000000.0,,13887504.32,,59479028.56,-56652975.32,453762922.99,,,453762922.99,6412660.6,457415935.62,18777850.93,,12599215.16,488793001.71,-35030078.72,1987927.42,-32116255.41,181541893.58,149425638.17,,,,50658422.58,32962610.51,1146732.37,2583144.29,,,-237037.92,266589.71,88029.91,24754750.35,-14821014.37,3149731.42,159312469.11,100959881.29,-224994051.7,,57578871.21,,,,-32116255.41,,,542587.16,,,149425638.17,181541893.58,,,1
920249.BJ,20241031,20241031,20240930,1,1,3,,,2099331200.81,2776824.09,,,,,,,,,,,,18162919.46,2120270944.36,1875143330.01,161131121.08,24576856.76,,,,,,133448910.81,2194300218.66,-74029274.3,,,1962.74,403404.13,,405366.87,15887807.79,23000000.0,,,,38887807.79,-38482440.92,351168963.88,,,351168963.88,-48223372.18,242956618.13,15259067.06,,16248420.16,274464105.35,76704858.53,-577309.91,-36384166.6,181541893.58,145157726.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
920249.BJ,20240830,20240830,20240630,1,1,2,-41779648.66,8601077.68,1445831674.89,1451779.64,,,,,,,,,,,,8927650.73,1456211105.26,1283213447.33,108246051.85,18905052.11,,,,,,95015131.34,1505379682.63,-49168577.37,,,1962.74,394727.57,,396690.31,11344053.37,,,,,11344053.37,-10947363.06,232700000.0,,,232700000.0,-45732434.96,176445808.02,9958183.29,,8669953.62,195073944.93,37626055.07,611317.98,-21878567.38,181541893.58,159663326.2,,,,3732846.13,10757836.42,541261.12,1654180.6,,,-123667.91,162702.71,,1907614.45,-8574436.11,3126403.77,5963449.21,24946052.17,-44413877.53,,-49168577.37,,,,-21878567.38,,,,5754744.91,,159663326.2,181541893.58,,,1
920249.BJ,20240830,20240830,20240630,1,1,2,-41779648.66,8601077.68,1445831674.89,1451779.64,,,,,,,,,,,,8927650.73,1456211105.26,1283213447.33,108246051.85,18905052.11,,,,,,95015131.34,1505379682.63,-49168577.37,,,1962.74,394727.57,,396690.31,11344053.37,,,,,11344053.37,-10947363.06,232700000.0,,,232700000.0,,176445808.02,9958183.29,,8669953.62,195073944.93,37626055.07,611317.98,-21878567.38,181541893.58,159663326.2,,,,3732846.13,10757836.42,541261.12,1654180.6,,,-123667.91,162702.71,,1907614.45,-8574436.11,3126403.77,5963449.21,24946052.17,-44413877.53,,-49168577.37,,,,-21878567.38,,,,5754744.91,,159663326.2,181541893.58,,,0
