ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300098.SZ,20260615,5.02,5.08,4.98,5.04,4.96,0.08,1.6129,331447.69,166763.11154
300098.SZ,20260612,5.01,5.05,4.93,4.96,4.9,0.06,1.2245,363220.06,181175.31607
300098.SZ,20260611,5.08,5.1,4.85,4.9,5.1,-0.2,-3.9216,410199.98,202142.88268
300098.SZ,20260610,5.18,5.25,5.03,5.1,5.24,-0.14,-2.6718,383980.08,196507.86942
300098.SZ,20260609,5.18,5.24,5.12,5.24,5.17,0.07,1.354,411272.58,213299.80684
300098.SZ,20260608,5.14,5.33,5.1,5.17,5.26,-0.09,-1.711,465332.55,242676.975
300098.SZ,20260605,5.16,5.37,5.1,5.26,5.16,0.1,1.938,497078.23,260551.833
300098.SZ,20260604,5.25,5.31,5.11,5.16,5.3,-0.14,-2.6415,414419.48,215102.879
300098.SZ,20260603,5.37,5.47,5.27,5.3,5.36,-0.06,-1.1194,409887.19,220247.444
300098.SZ,20260602,5.39,5.43,5.27,5.36,5.39,-0.03,-0.5566,354762.9,189729.088
300098.SZ,20260601,5.3,5.48,5.29,5.39,5.31,0.08,1.5066,387225.32,209558.752
300098.SZ,20260529,5.68,5.72,5.28,5.31,5.67,-0.36,-6.3492,604813.98,328726.585
300098.SZ,20260528,5.56,5.72,5.49,5.67,5.63,0.04,0.7105,531615.32,298021.276
300098.SZ,20260527,5.68,5.86,5.6,5.63,5.7,-0.07,-1.2281,655786.49,373870.537
300098.SZ,20260526,5.8,5.82,5.59,5.7,5.83,-0.13,-2.2298,530309.16,301139.97
300098.SZ,20260525,5.83,5.9,5.7,5.83,5.82,0.01,0.1718,512593.01,297840.995
300098.SZ,20260522,5.8,5.85,5.68,5.82,5.73,0.09,1.5707,463159.84,267364.483
300098.SZ,20260521,5.93,6.06,5.72,5.73,5.91,-0.18,-3.0457,689438.89,408760.606
300098.SZ,20260520,5.97,6.0,5.81,5.91,6.0,-0.09,-1.5,588893.77,346208.556
300098.SZ,20260519,5.86,6.04,5.85,6.0,5.91,0.09,1.5228,558577.76,333975.085
300098.SZ,20260518,5.87,5.98,5.84,5.91,5.9,0.01,0.1695,511950.94,302331.468
300098.SZ,20260515,5.88,6.03,5.84,5.9,5.88,0.02,0.3401,673717.39,399691.579
300098.SZ,20260514,6.13,6.14,5.88,5.88,6.11,-0.23,-3.7643,929815.65,555006.831
300098.SZ,20260513,6.13,6.18,6.02,6.11,6.21,-0.1,-1.6103,894966.92,544408.659
300098.SZ,20260512,5.98,6.3,5.96,6.21,6.0,0.21,3.5,1295196.17,801461.2
300098.SZ,20260511,5.89,6.08,5.88,6.0,5.86,0.14,2.3891,945912.58,566717.087
300098.SZ,20260508,5.82,5.91,5.78,5.86,5.85,0.01,0.1709,682019.0,399095.746
300098.SZ,20260507,5.72,5.89,5.69,5.85,5.71,0.14,2.4518,853838.83,496790.392
300098.SZ,20260506,5.57,5.76,5.56,5.71,5.51,0.2,3.6298,868828.92,493488.711
300098.SZ,20260430,5.5,5.64,5.48,5.51,5.56,-0.05,-0.8993,901673.41,498360.677
300098.SZ,20260429,5.53,5.83,5.53,5.56,5.08,0.48,9.4488,1497683.12,847009.793
300098.SZ,20260428,5.19,5.2,5.04,5.08,5.22,-0.14,-2.682,337394.77,172316.417
300098.SZ,20260427,5.16,5.23,5.08,5.22,5.17,0.05,0.9671,332184.5,171432.626
300098.SZ,20260424,5.17,5.21,5.11,5.17,5.19,-0.02,-0.3854,279012.82,143815.708
300098.SZ,20260423,5.3,5.35,5.17,5.19,5.32,-0.13,-2.4436,329439.62,172248.426
300098.SZ,20260422,5.23,5.33,5.2,5.32,5.25,0.07,1.3333,296142.37,156294.15
300098.SZ,20260421,5.38,5.4,5.23,5.25,5.4,-0.15,-2.7778,403405.64,212630.932
300098.SZ,20260420,5.49,5.5,5.38,5.4,5.47,-0.07,-1.2797,450624.28,244606.105
300098.SZ,20260417,5.41,5.52,5.36,5.47,5.45,0.02,0.367,426279.72,231437.621
300098.SZ,20260416,5.35,5.47,5.35,5.45,5.29,0.16,3.0246,495735.22,268752.949
300098.SZ,20260415,5.41,5.43,5.27,5.29,5.38,-0.09,-1.6729,322000.25,172225.789
300098.SZ,20260414,5.4,5.44,5.33,5.38,5.35,0.03,0.5607,306700.23,164837.207
300098.SZ,20260413,5.31,5.39,5.21,5.35,5.35,0.0,0.0,248468.27,132948.507
300098.SZ,20260410,5.42,5.46,5.35,5.35,5.35,0.0,0.0,307364.69,166161.754
300098.SZ,20260409,5.42,5.44,5.33,5.35,5.48,-0.13,-2.3723,359920.38,193816.2
300098.SZ,20260408,5.33,5.48,5.29,5.48,5.17,0.31,5.9961,607836.85,327589.23
300098.SZ,20260407,5.11,5.22,5.11,5.17,5.15,0.02,0.3883,224695.85,116240.066
300098.SZ,20260403,5.18,5.2,5.11,5.15,5.15,0.0,0.0,278832.41,143831.634
300098.SZ,20260402,5.25,5.28,5.1,5.15,5.29,-0.14,-2.6465,290086.92,150532.35
300098.SZ,20260401,5.3,5.34,5.23,5.29,5.21,0.08,1.5355,351019.2,185216.451
300098.SZ,20260331,5.19,5.3,5.19,5.21,5.23,-0.02,-0.3824,302873.73,158926.926
300098.SZ,20260330,5.14,5.25,5.1,5.23,5.22,0.01,0.1916,276322.67,143067.615
300098.SZ,20260327,5.05,5.28,5.03,5.22,5.12,0.1,1.9531,386517.32,200255.128
300098.SZ,20260326,5.25,5.29,5.1,5.12,5.26,-0.14,-2.6616,310561.05,160857.484
300098.SZ,20260325,5.23,5.31,5.21,5.26,5.2,0.06,1.1538,370061.8,195037.538
300098.SZ,20260324,5.15,5.2,5.03,5.2,5.04,0.16,3.1746,390843.54,199860.062
300098.SZ,20260323,5.31,5.32,4.99,5.04,5.4,-0.36,-6.6667,527344.1,272068.777
300098.SZ,20260320,5.66,5.71,5.39,5.4,5.65,-0.25,-4.4248,468838.98,259432.657
300098.SZ,20260319,5.67,5.72,5.6,5.65,5.73,-0.08,-1.3962,364373.41,206067.799
300098.SZ,20260318,5.63,5.75,5.58,5.73,5.59,0.14,2.5045,336198.89,190435.733
300098.SZ,20260317,5.73,5.76,5.59,5.59,5.71,-0.12,-2.1016,312121.26,176985.352
300098.SZ,20260316,5.7,5.73,5.64,5.71,5.69,0.02,0.3515,298935.95,169937.878
300098.SZ,20260313,5.77,5.81,5.68,5.69,5.79,-0.1,-1.7271,330898.05,189917.755
300098.SZ,20260312,5.87,5.9,5.76,5.79,5.89,-0.1,-1.6978,319844.21,186057.845
300098.SZ,20260311,5.92,5.98,5.86,5.89,5.92,-0.03,-0.5068,337443.94,199674.495
300098.SZ,20260310,5.89,6.04,5.87,5.92,5.84,0.08,1.3699,456511.93,271373.316
300098.SZ,20260309,5.74,5.87,5.6,5.84,5.83,0.01,0.1715,502315.28,287466.802
