ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20260615,14.78,4.5276,0.93,91.6311,3.6972,7.6668,683185.6032,528849.9685
300590.SZ,20260612,14.24,4.1211,0.83,88.2833,3.5621,7.3866,658224.8301,509527.9804
300590.SZ,20260611,14.36,3.7989,0.71,89.0272,3.5921,7.4489,663771.6686,513821.7555
300590.SZ,20260610,14.51,4.862,0.86,89.9572,3.6296,7.5267,670705.2166,519188.9744
300590.SZ,20260609,15.1,6.336,1.23,93.615,3.7772,7.8327,697977.1724,540300.0354
300590.SZ,20260608,14.49,5.2034,0.99,89.8332,3.6246,7.5163,669780.7436,518473.3453
300590.SZ,20260605,14.48,4.5691,0.8,89.7712,3.6221,7.5111,669318.507,518115.5307
300590.SZ,20260604,14.35,5.7874,0.97,88.9652,3.5896,7.4437,663309.432,513463.941
300590.SZ,20260603,14.08,6.4594,1.07,87.2913,3.5221,7.3036,650829.0455,503802.9469
300590.SZ,20260602,14.65,3.8376,0.54,90.8251,3.6646,7.5993,677176.5282,524198.3787
300590.SZ,20260601,14.83,5.7112,0.73,91.9411,3.7097,7.6927,685496.7859,530639.0414
300590.SZ,20260529,14.58,6.6189,0.84,90.3911,3.6471,7.563,673940.8724,521693.6766
300590.SZ,20260528,15.34,7.3558,0.87,95.1029,3.8372,7.9572,709070.8493,548887.5857
300590.SZ,20260527,15.26,6.7743,0.84,94.6069,3.8172,7.9157,705372.957,546025.0689
300590.SZ,20260526,15.26,9.1306,1.24,94.6069,3.8172,7.9157,705372.957,546025.0689
300590.SZ,20260525,16.1,9.0054,1.36,99.8146,4.0274,8.3515,744200.8262,576081.4947
300590.SZ,20260522,15.25,7.3141,1.15,94.5449,3.7036,7.9106,704910.7205,545667.2543
300590.SZ,20260521,15.11,9.9238,1.75,93.677,3.6696,7.8379,698439.4089,540657.85
300590.SZ,20260520,15.18,4.8633,0.78,94.1109,3.6866,7.8742,701675.0647,543162.5522
300590.SZ,20260519,15.23,5.6114,0.8,94.4209,3.6987,7.9002,703986.2474,544951.6251
300590.SZ,20260518,15.0,5.4814,0.72,92.995,3.6428,7.7809,693354.807,536721.8895
300590.SZ,20260515,14.92,5.7833,0.72,92.499,3.6234,7.7394,689656.9147,533859.3728
300590.SZ,20260514,15.03,6.6129,0.71,93.181,3.6501,7.7964,694741.5166,537795.3333
300590.SZ,20260513,15.3,7.7339,0.73,94.8549,3.7157,7.9365,707221.9031,547456.3273
300590.SZ,20260512,15.22,9.6131,0.88,94.3589,3.6963,7.895,703524.0108,544593.8105
300590.SZ,20260511,15.38,8.2757,0.69,95.3509,3.7351,7.978,710919.7954,550318.844
300590.SZ,20260508,15.29,8.0952,0.6,94.7929,3.7133,7.9313,706759.6666,547098.5127
300590.SZ,20260507,15.49,12.7637,0.89,95.551,3.7725,7.9947,712412.2664,554254.8046
300590.SZ,20260506,15.2,14.3867,0.85,93.7622,3.7019,7.8451,699074.6578,538671.5278
300590.SZ,20260430,14.67,11.0349,0.62,90.4928,3.5728,7.5715,674699.0282,519888.9021
300590.SZ,20260429,15.06,14.2423,0.93,92.8986,3.6678,7.7728,692635.8122,533710.0795
300590.SZ,20260428,14.73,15.0345,1.2,90.8629,3.5874,7.6025,677458.5335,522015.2371
300590.SZ,20260427,14.57,18.0578,1.98,89.876,3.5484,7.5199,670099.8529,516345.0105
300590.SZ,20260424,14.05,26.5773,6.57,86.6683,3.4218,7.2515,646184.1409,497916.774
300590.SZ,20260423,14.56,15.2382,12.83,89.8143,3.546,7.5147,669639.9353,515990.6213
