ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
688080.SH,20260615,41.65,1.64,0.53,20.5855,2.6275,3.9483,306777.7898,306777.7898
688080.SH,20260612,40.68,2.5195,0.82,20.1061,2.5486,3.8564,299633.145,299633.145
688080.SH,20260611,40.41,2.6456,0.9,19.9726,2.5317,3.8308,297644.4294,297644.4294
688080.SH,20260610,41.9,3.2648,1.22,20.7091,2.625,3.972,308619.1931,308619.1931
688080.SH,20260609,43.4,3.5243,1.55,21.4504,2.719,4.1142,319667.6129,319667.6129
688080.SH,20260608,41.5,3.6603,1.93,20.5114,2.6,3.9341,305672.9478,305672.9478
688080.SH,20260605,40.8,2.301,1.16,20.1654,2.5561,3.8677,300517.0186,300517.0186
688080.SH,20260604,39.94,2.0205,0.95,19.7403,2.5022,3.7862,294182.5912,294182.5912
688080.SH,20260603,40.6,1.8365,0.74,20.0665,2.5436,3.8488,299043.8959,299043.8959
688080.SH,20260602,41.4,1.537,0.58,20.4619,2.5937,3.9246,304936.3865,304936.3865
688080.SH,20260601,42.15,1.8072,0.65,20.8326,2.6407,3.9957,310460.5964,310460.5964
688080.SH,20260529,41.41,2.7536,1.01,20.4669,2.5943,3.9256,305010.0426,305010.0426
688080.SH,20260528,43.68,2.6782,0.9,21.5888,2.7365,4.1408,321729.9846,321729.9846
688080.SH,20260527,43.8,3.572,1.18,21.6481,2.744,4.1521,322613.8582,322613.8582
688080.SH,20260526,46.25,2.4426,0.66,22.859,2.8975,4.3844,340659.6105,340659.6105
688080.SH,20260525,46.96,2.4501,0.64,23.21,2.942,4.4517,345889.1959,345889.1959
688080.SH,20260522,46.83,2.4254,0.63,23.1457,2.9339,4.4394,344931.6662,344931.6662
688080.SH,20260521,45.13,3.9537,1.1,22.3055,2.8274,4.2782,332410.1237,332410.1237
688080.SH,20260520,47.41,3.8886,1.19,23.4324,2.9702,4.4944,349203.7218,349203.7218
688080.SH,20260519,48.0,5.6958,2.21,23.724,3.0072,4.5503,353549.4336,353549.4336
688080.SH,20260518,46.15,3.2256,1.27,22.8096,2.8913,4.3749,339923.0492,339923.0492
