ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
920249.BJ,20260615,9.31,4.4805,0.61,92.7381,5.0657,1.6142,392537.53,116067.3753
920249.BJ,20260612,9.02,4.5364,0.55,89.8494,4.9079,1.5639,380310.26,112451.9576
920249.BJ,20260611,9.12,5.4628,0.66,90.8455,4.9623,1.5812,384526.56,113698.6533
920249.BJ,20260610,9.68,7.99,0.93,96.4237,5.267,1.6783,408137.84,120680.1496
920249.BJ,20260609,10.27,11.4326,1.5,102.3008,5.588,1.7806,433014.01,128035.6546
920249.BJ,20260608,9.59,7.3454,1.07,95.5272,5.218,1.6627,404343.17,119558.1234
920249.BJ,20260605,9.48,8.7089,1.45,94.4315,5.1582,1.6437,399705.24,118186.758
920249.BJ,20260604,9.18,6.21,1.02,91.4431,4.9949,1.5916,387056.34,114446.6708
920249.BJ,20260603,9.56,9.4368,1.57,95.2284,5.2017,1.6575,403078.28,119184.1147
920249.BJ,20260602,9.49,6.4497,1.02,94.5311,5.1636,1.6454,400126.87,118311.4276
920249.BJ,20260601,9.01,3.5017,0.52,89.7497,4.9024,1.5622,379888.63,112327.288
920249.BJ,20260529,8.86,4.4671,0.67,88.2556,4.8208,1.5362,373564.18,110457.2443
920249.BJ,20260528,9.23,6.5749,1.01,91.9412,5.0221,1.6003,389164.49,115070.0186
920249.BJ,20260527,8.73,9.153,1.57,86.9606,4.7501,1.5136,368082.99,108836.5398
920249.BJ,20260526,9.67,7.8089,1.44,96.3241,5.2616,1.6766,407716.21,120555.48
920249.BJ,20260525,9.72,5.4006,0.92,96.8221,5.2888,1.6853,409824.36,121178.8279
920249.BJ,20260522,9.68,4.4412,0.69,96.4237,5.267,1.6783,408137.84,120680.1496
920249.BJ,20260521,9.68,5.639,0.77,96.4237,5.267,1.6783,408137.84,120680.1496
920249.BJ,20260520,9.96,5.9504,0.77,99.2128,5.4193,1.7269,419943.48,124170.8977
920249.BJ,20260519,10.3,5.742,0.62,102.5996,5.6043,1.7858,434278.9,128409.6633
920249.BJ,20260518,10.12,7.5847,0.66,100.8066,5.5064,1.7546,426689.56,126165.6109
920249.BJ,20260515,10.45,7.0715,0.6,104.0938,5.686,1.8118,440603.35,130279.7069
920249.BJ,20260514,10.41,10.2314,0.87,103.6953,5.6642,1.8049,438916.83,129781.0286
920249.BJ,20260513,11.23,7.8694,0.6,111.8634,6.1104,1.9471,473490.49,140003.9338
920249.BJ,20260512,11.31,13.2772,1.11,112.6603,6.1539,1.9609,476863.53,141001.2905
920249.BJ,20260511,11.68,19.2,2.02,116.346,6.3552,2.0251,492463.84,145614.0648
920249.BJ,20260508,10.47,7.9553,0.83,104.293,5.6968,1.8153,441446.61,130529.0461
920249.BJ,20260507,10.63,10.7486,1.22,105.8868,5.7839,1.843,448192.69,132523.7593
920249.BJ,20260506,10.61,14.8648,2.03,105.6876,5.773,1.8396,447349.43,132274.4201
920249.BJ,20260430,9.98,7.085,0.84,99.412,5.4302,1.7303,420786.74,124420.2368
920249.BJ,20260429,9.78,6.8787,0.66,97.4198,5.3214,1.6957,412354.14,121926.8453
920249.BJ,20260428,9.43,8.4213,0.67,93.9334,5.131,1.635,397597.09,117563.4102
920249.BJ,20260427,10.05,6.6777,0.41,100.1093,5.4683,1.7425,423738.15,125292.9239
920249.BJ,20260424,10.18,7.5402,0.35,101.4043,5.5391,1.765,429219.34,126913.6284
920249.BJ,20260423,10.24,12.6796,0.51,102.0019,5.5717,1.7754,431749.12,127661.6458
920249.BJ,20260422,10.97,16.8419,0.74,109.2736,5.9689,1.902,462528.11,136762.5249
920249.BJ,20260421,11.26,18.6747,0.94,112.1623,6.2274,1.9523,474755.38,140377.9426
920249.BJ,20260420,10.85,25.1923,1.62,108.0782,6.0006,1.8812,457468.55,135266.49
920249.BJ,20260417,11.42,34.5014,3.52,113.7561,6.3159,1.98,481501.46,142372.6558
920249.BJ,20260416,9.77,28.9469,5.54,97.3202,5.4033,1.6939,411932.51,121802.1758
920249.BJ,20260415,7.89,5.8337,0.99,,4.3631,1.6987,332666.07,98364.2955
920249.BJ,20260414,8.14,5.0647,0.85,,4.5013,1.7525,343206.82,101481.0349
920249.BJ,20260413,7.93,3.4264,0.56,,4.3852,1.7073,334352.59,98862.9738
920249.BJ,20260410,8.03,5.6855,0.94,,4.4405,1.7288,338568.89,100109.6695
920249.BJ,20260409,7.76,6.1022,1.04,,4.2912,1.6707,327184.88,96743.591
920249.BJ,20260408,7.92,9.0386,1.65,,4.3797,1.7052,333930.96,98738.3042
920249.BJ,20260407,7.26,5.4189,1.04,,4.0147,1.5631,306103.38,90510.1122
920249.BJ,20260403,7.45,4.4456,0.89,,4.1198,1.604,314114.35,92878.8341
920249.BJ,20260402,7.66,5.2092,1.06,,4.2359,1.6492,322968.58,95496.8952
920249.BJ,20260401,7.8,5.0933,0.96,,4.3133,1.6793,328871.4,97242.2693
920249.BJ,20260331,7.6,7.1943,1.32,,4.2027,1.6363,320438.8,94748.8778
920249.BJ,20260330,8.0,4.1554,0.66,,4.4239,1.7224,337304.0,99735.6608
920249.BJ,20260327,8.24,3.4202,0.48,,4.5566,1.774,347423.12,102727.7306
920249.BJ,20260326,8.29,4.6248,0.6,,4.5843,1.7848,349531.27,103351.0785
920249.BJ,20260325,8.6,7.1061,0.79,,4.7557,1.8516,362601.8,107215.8354
920249.BJ,20260324,8.41,7.9114,0.78,,4.6506,1.8106,354590.83,104847.1134
920249.BJ,20260323,8.52,8.3939,0.63,,4.7114,1.8343,359228.76,106218.4788
920249.BJ,20260320,9.14,7.955,0.66,,5.0543,1.9678,385369.82,113947.9925
920249.BJ,20260319,9.38,7.1147,0.64,,5.187,2.0195,395488.94,116940.0623
920249.BJ,20260318,9.6,13.8412,1.56,,5.3087,2.0669,404764.8,119682.793
920249.BJ,20260317,9.2,13.3694,1.98,,5.0875,1.9807,387899.6,114696.0099
920249.BJ,20260316,9.44,23.9763,8.67,,5.2202,2.0324,398018.72,117688.0797
920249.BJ,20260313,12.43,2.1455,0.76,,6.8736,2.6761,524086.09,154964.283
920249.BJ,20260312,12.54,2.3438,0.76,,6.9345,2.6998,528724.02,156335.6483
920249.BJ,20260311,12.86,2.589,0.77,,7.1114,2.7687,542216.18,160325.0747
920249.BJ,20260310,12.84,2.773,0.76,,7.1004,2.7644,541372.92,160075.7356
920249.BJ,20260309,12.63,3.9767,0.98,,6.9842,2.7192,532518.69,157457.6745
920249.BJ,20260306,13.04,2.3684,0.58,,7.2109,2.8075,549805.52,162569.1271
920249.BJ,20260305,12.96,3.8124,0.98,,7.1667,2.7903,546432.48,161571.7705
920249.BJ,20260304,12.72,3.7773,1.05,,7.034,2.7386,536313.36,158579.7007
920249.BJ,20260303,12.5,4.2189,1.23,,6.9123,2.6912,527037.5,155836.97
920249.BJ,20260302,13.05,6.107,2.18,,7.2165,2.8096,550227.15,162693.7967
920249.BJ,20260227,13.68,2.6491,0.95,,7.9118,2.9453,576789.84,170547.98
920249.BJ,20260226,13.84,2.6655,0.98,,8.0043,2.9797,583535.92,172542.6932
920249.BJ,20260225,13.74,2.3971,0.84,,7.9465,2.9582,579319.62,171295.9974
920249.BJ,20260224,13.75,3.357,1.18,,7.9523,2.9603,579741.25,171420.667
920249.BJ,20260213,13.72,2.907,1.06,,7.9349,2.9539,578476.36,171046.6583
920249.BJ,20260212,13.69,2.6066,0.9,,7.9175,2.9474,577211.47,170672.6495
920249.BJ,20260211,13.53,2.3901,0.72,,7.825,2.913,570465.39,168677.9363
920249.BJ,20260210,13.81,3.052,0.9,,7.987,2.9733,582271.03,172168.6845
920249.BJ,20260209,13.86,3.2235,0.85,,8.0159,2.984,584379.18,172792.0323
920249.BJ,20260206,13.49,2.3968,0.51,,7.8019,2.9044,568778.87,168179.258
920249.BJ,20260205,13.5,3.462,0.59,,7.8077,2.9065,569200.5,168303.9276
920249.BJ,20260204,13.82,4.369,0.68,,7.9927,2.9754,582692.66,172293.354
920249.BJ,20260203,14.27,3.5712,0.5,,8.253,3.0723,601666.01,177903.485
920249.BJ,20260202,14.0,5.2072,0.7,,8.0968,3.0142,590282.0,174537.4064
920249.BJ,20260130,14.36,7.0558,0.89,,8.305,3.0917,605460.68,179025.5111
920249.BJ,20260129,14.66,9.1587,1.1,,8.4785,3.1563,618109.58,182765.5984
920249.BJ,20260128,14.5,7.1893,0.79,,8.386,3.1218,611363.5,180770.8852
920249.BJ,20260127,14.86,6.7931,0.78,,8.5942,3.1993,626542.18,185258.9899
920249.BJ,20260126,14.52,7.0189,0.81,,8.3976,3.1261,612206.76,181020.2244
920249.BJ,20260123,14.97,9.2981,1.02,,8.6578,3.223,631180.11,186630.3553
920249.BJ,20260122,14.86,11.4808,1.33,,8.5942,3.1993,626542.18,185258.9899
920249.BJ,20260121,14.75,10.7531,1.17,,8.5306,3.1756,621904.25,183887.6246
920249.BJ,20260120,14.19,4.8435,0.45,,8.2067,3.0551,598292.97,176906.1283
920249.BJ,20260119,14.45,6.9268,0.58,,8.3571,3.111,609255.35,180147.5373
920249.BJ,20260116,14.81,11.4788,1.04,,8.5653,3.1886,624434.03,184635.6421
920249.BJ,20260115,14.5,9.0861,0.84,,8.386,3.1218,611363.5,180770.8852
920249.BJ,20260114,15.07,13.7915,1.26,,8.7157,3.2445,635396.41,187877.051
920249.BJ,20260113,14.38,12.5884,1.36,,8.3166,3.096,606303.94,179274.8503
920249.BJ,20260112,14.93,12.9811,1.73,,8.6347,3.2144,629493.59,186131.677
920249.BJ,20260109,14.1,6.9166,1.01,,8.1547,3.0357,594498.3,175784.1022
920249.BJ,20260108,13.79,8.0912,1.43,,7.9754,2.9689,581427.77,171919.3453
920249.BJ,20260107,13.84,14.0619,4.17,,8.0043,2.9797,583535.92,172542.6932
920249.BJ,20260106,13.56,4.3958,1.44,,7.8424,2.9194,571730.28,169051.9451
920249.BJ,20260105,13.38,4.011,1.43,,7.7383,2.8807,564140.94,166807.8927
920249.BJ,20251231,13.05,3.5796,1.37,,7.5474,2.8096,550227.15,162693.7967
920249.BJ,20251230,13.23,2.3111,0.79,,7.6515,2.8484,557816.49,164937.849
920249.BJ,20251229,13.21,2.5578,0.78,,7.6399,2.8441,556973.23,164688.5099
920249.BJ,20251226,13.39,2.8249,0.77,,7.744,2.8828,564562.57,166932.5623
920249.BJ,20251225,13.47,2.7399,0.63,,7.7903,2.9001,567935.61,167929.9189
920249.BJ,20251224,13.48,2.6463,0.5,,7.7961,2.9022,568357.24,168054.5884
920249.BJ,20251223,13.4,3.9505,0.72,,7.7498,2.885,564984.2,167057.2318
920249.BJ,20251222,13.79,4.2878,0.8,,7.9754,2.9689,581427.77,171919.3453
920249.BJ,20251219,13.82,4.6232,0.86,,7.9927,2.9754,582692.66,172293.354
920249.BJ,20251218,13.83,6.3494,1.11,,7.9985,2.9776,583114.29,172418.0236
920249.BJ,20251217,14.16,7.3518,1.44,,8.1894,3.0486,597028.08,176532.1196
920249.BJ,20251216,13.75,5.0123,0.96,,7.9523,2.9603,579741.25,171420.667
920249.BJ,20251215,13.55,3.3965,0.67,,7.8366,2.9173,571308.65,168927.2755
920249.BJ,20251212,13.57,4.9023,0.99,,7.8481,2.9216,572151.91,169176.6146
920249.BJ,20251211,13.57,7.9335,2.07,,7.8481,2.9216,572151.91,169176.6146
920249.BJ,20251210,13.31,4.2687,1.14,,7.6978,2.8656,561189.53,165935.2057
920249.BJ,20251209,13.49,5.5783,1.44,,7.8019,2.9044,568778.87,168179.258
920249.BJ,20251208,13.39,2.8135,0.55,,7.744,2.8828,564562.57,166932.5623
920249.BJ,20251205,13.27,4.0527,0.8,,7.6746,2.857,559503.01,165436.5274
920249.BJ,20251204,13.24,2.4313,0.44,,7.6573,2.8505,558238.12,165062.5186
920249.BJ,20251203,13.47,3.8109,0.68,,7.7903,2.9001,567935.61,167929.9189
920249.BJ,20251202,13.93,6.2545,1.29,,8.0564,2.9991,587330.59,173664.7194
920249.BJ,20251201,14.44,9.1581,2.64,,8.3513,3.1089,608833.72,180022.8677
920249.BJ,20251128,13.48,3.8213,1.08,,7.7961,2.9022,568357.24,168054.5884
920249.BJ,20251127,13.79,4.3716,1.38,,7.9754,2.9689,581427.77,171919.3453
920249.BJ,20251126,13.65,4.2795,1.38,,7.8944,2.9388,575524.95,170173.9712
920249.BJ,20251125,13.57,2.6298,0.8,,7.8481,2.9216,572151.91,169176.6146
920249.BJ,20251124,13.3,2.2491,0.64,,7.692,2.8635,560767.9,165810.5361
920249.BJ,20251121,13.12,4.1578,1.05,,7.5879,2.8247,553178.56,163566.4837
920249.BJ,20251120,13.8,2.5485,0.5,,7.9812,2.9711,581849.4,172044.0149
920249.BJ,20251119,13.97,3.902,0.72,,8.0795,3.0077,589017.11,174163.3977
920249.BJ,20251118,14.25,3.5373,0.64,,8.2414,3.068,600822.75,177654.1458
920249.BJ,20251117,14.52,3.3565,0.61,,8.3976,3.1261,612206.76,181020.2244
920249.BJ,20251114,14.64,6.4209,1.3,,8.467,3.1519,617266.32,182516.2593
920249.BJ,20251113,15.25,8.0736,1.86,,8.8198,3.2833,642985.75,190121.1034
920249.BJ,20251112,14.98,5.8425,1.44,,8.6636,3.2252,631601.74,186755.0248
920249.BJ,20251111,14.7,3.8255,0.83,,8.5017,3.1649,619796.1,183264.2767
920249.BJ,20251110,14.86,3.1771,0.59,,8.5942,3.1993,626542.18,185258.9899
920249.BJ,20251107,14.72,3.7422,0.51,,8.5132,3.1692,620639.36,183513.6159
920249.BJ,20251106,14.93,5.1257,0.47,,8.6347,3.2144,629493.59,186131.677
920249.BJ,20251105,14.96,4.4713,0.39,,8.652,3.2208,630758.48,186505.6857
920249.BJ,20251104,14.96,6.5752,0.59,,8.652,3.2208,630758.48,186505.6857
920249.BJ,20251103,15.48,7.2208,0.66,,8.9528,3.3328,652683.24,192988.5036
920249.BJ,20251031,15.7,13.0329,1.29,,9.08,3.3802,661959.1,195731.2343
920249.BJ,20251030,15.84,23.0714,3.73,,9.161,3.4103,667861.92,197476.6084
920249.BJ,20251029,15.73,7.7322,1.34,,9.2751,3.3866,663223.99,196105.243
920249.BJ,20251028,14.89,5.1391,0.87,,8.7798,3.2058,627807.07,185632.9987
920249.BJ,20251027,15.17,5.9595,1.13,,8.9449,3.2661,639612.71,189123.7468
920249.BJ,20251024,15.19,8.429,1.88,,8.9567,3.2704,640455.97,189373.0859
920249.BJ,20251023,14.64,3.6777,0.74,,8.6324,3.1519,617266.32,182516.2593
920249.BJ,20251022,14.85,5.5864,1.23,,8.7563,3.1972,626120.55,185134.3204
920249.BJ,20251021,14.89,5.934,1.42,,8.7798,3.2058,627807.07,185632.9987
920249.BJ,20251020,14.3,2.7158,0.61,,8.4319,3.0787,602930.9,178277.4937
920249.BJ,20251017,14.08,4.4978,1.03,,8.3022,3.0314,593655.04,175534.763
920249.BJ,20251016,14.72,6.2812,1.55,,8.6796,3.1692,620639.36,183513.6159
920249.BJ,20251015,14.6,3.254,0.71,,8.6088,3.1433,615579.8,182017.581
920249.BJ,20251014,14.49,4.0755,0.88,,8.544,3.1197,610941.87,180646.2156
920249.BJ,20251013,14.69,4.3359,0.96,,8.6619,3.1627,619374.47,183139.6071
920249.BJ,20251010,14.99,3.8563,0.82,,8.8388,3.2273,632023.37,186879.6944
920249.BJ,20251009,15.14,4.725,0.97,,8.9272,3.2596,638347.82,188749.7381
920249.BJ,20250930,15.27,5.7909,1.06,,9.0039,3.2876,643829.01,190370.4426
920249.BJ,20250929,15.0,4.3513,0.76,,8.8447,3.2295,632445.0,187004.364
920249.BJ,20250926,14.55,3.9488,0.66,,8.5794,3.1326,613471.65,181394.2331
920249.BJ,20250925,14.85,4.6613,0.69,,8.7563,3.1972,626120.55,185134.3204
920249.BJ,20250924,15.13,6.0455,0.76,,8.9214,3.2574,637926.19,174584.4285
920249.BJ,20250923,14.91,9.396,1.15,,8.7916,3.2101,628650.33,172045.8578
920249.BJ,20250922,16.02,6.1399,0.64,,9.4461,3.4491,675451.26,184887.9831
920249.BJ,20250919,15.86,5.7676,0.5,,9.3518,3.4146,668705.18,183041.4114
920249.BJ,20250918,16.0,9.0103,0.8,,9.4343,3.4448,674608.0,184657.1616
920249.BJ,20250917,16.24,9.3619,0.89,,9.5759,3.4964,684727.12,187427.019
920249.BJ,20250916,16.6,10.5095,1.05,,9.7881,3.5739,699905.8,191581.8052
920249.BJ,20250915,16.95,13.4869,1.49,,9.9945,3.6493,714662.85,195621.1806
920249.BJ,20250912,17.14,15.3058,1.85,,10.1065,3.6902,722673.82,197813.9844
920249.BJ,20250911,16.42,7.5315,0.86,,9.682,3.5352,692316.46,189504.4121
920249.BJ,20250910,16.15,5.7085,0.61,,9.5228,3.477,680932.45,186388.3225
920249.BJ,20250909,16.23,8.1281,0.72,,9.57,3.4943,684305.49,187311.6083
920249.BJ,20250908,16.88,8.7042,0.67,,9.9532,3.6342,711711.44,194813.3055
920249.BJ,20250905,17.02,11.2495,0.78,,10.0358,3.6644,717614.26,196429.0557
920249.BJ,20250904,16.51,9.853,0.61,,9.7351,3.5546,696111.13,190543.1086
920249.BJ,20250903,16.32,9.1827,0.46,,9.623,3.5136,688100.16,188350.3048
920249.BJ,20250902,17.01,17.6356,0.87,,10.0299,3.6622,717192.63,196313.6449
920249.BJ,20250901,17.88,17.3668,0.77,,10.5429,3.8495,753874.44,206354.3781
