ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
300638.SZ,20260331,20251231,0.0,,,0.0,0.234,,,,预案
300638.SZ,20260331,20251231,0.0,,,0.0,0.234,,,,股东大会通过
300638.SZ,20260331,20251231,0.0,,,0.234,0.234,20260608,20260609,20260609,实施
300638.SZ,20250827,20250630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20250419,20241231,0.0,,,0.0,0.35,,,,预案
300638.SZ,20250419,20241231,0.0,,,0.0,0.35,,,,股东大会通过
300638.SZ,20250419,20241231,0.0,,,0.35,0.35,20250703,20250704,20250704,实施
300638.SZ,20240829,20240630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20240326,20231231,0.0,,,0.0,0.38,,,,预案
300638.SZ,20240326,20231231,0.0,,,0.0,0.38,,,,股东大会通过
300638.SZ,20240326,20231231,0.0,,,0.38,0.38,20240426,20240429,20240429,实施
300638.SZ,20230805,20230630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20230424,20221231,0.2,,0.2,0.0,0.1,,,,预案
300638.SZ,20230424,20221231,0.2,,0.2,0.0,0.1,,,,股东大会通过
300638.SZ,20230424,20221231,0.2,,0.2,0.1,0.1,20230531,20230601,20230601,实施
300638.SZ,20220809,20220630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20220330,20211231,0.5,,0.5,0.0,0.2,,,,预案
300638.SZ,20220330,20211231,0.5,,0.5,0.0,0.2,,,,股东大会通过
300638.SZ,20220330,20211231,0.5,,0.5,0.2,0.2,20220520,20220523,20220523,实施
300638.SZ,20210821,20210630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20210417,20201231,0.7,,0.7,0.0,0.3,,,,预案
300638.SZ,20210417,20201231,0.7,,0.7,0.0,0.3,,,,股东大会通过
300638.SZ,20210417,20201231,0.7,,0.7,0.3,0.3,20210524,20210525,20210525,实施
300638.SZ,20200801,20200630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20200415,20191231,0.8,,0.8,0.0,0.4,,,,预案
300638.SZ,20200415,20191231,0.8,,0.8,0.0,0.4,,,,股东大会通过
300638.SZ,20200415,20191231,0.8,,0.8,0.4,0.4,20200519,20200520,20200520,实施
300638.SZ,20190829,20190630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20190308,20181231,0.0,,,0.0,0.25,,,,预案
300638.SZ,20190308,20181231,0.0,,,0.0,0.25,,,,股东大会通过
300638.SZ,20190308,20181231,0.0,,,0.25,0.25,20190429,20190430,20190430,实施
300638.SZ,20180807,20180630,0.0,,,0.0,0.0,,,,预案
300638.SZ,20180413,20171231,0.5,,0.5,0.125,0.125,20180524,20180525,20180525,实施
