ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
688159.SH,20260430,20251231,0.0,,,0.0,0.0,,,,预案
688159.SH,20260430,20251231,0.0,,,0.0,0.0,,,,股东大会通过
688159.SH,20250828,20250630,0.0,,,0.0,0.0,,,,预案
688159.SH,20250430,20241231,0.0,,,0.0,0.1,,,,预案
688159.SH,20250430,20241231,0.0,,,0.0,0.09901,,,,股东大会通过
688159.SH,20250430,20241231,0.0,,,0.0,0.1,,,,股东大会通过
688159.SH,20250430,20241231,0.0,,,0.09901,0.09901,20250717,20250718,20250718,实施
688159.SH,20240830,20240630,0.0,,,0.0,0.0,,,,预案
688159.SH,20240430,20231231,0.0,,,0.0,0.0,,,,预案
688159.SH,20240430,20231231,0.0,,,0.0,0.0,,,,股东大会通过
688159.SH,20230830,20230630,0.0,,,0.0,0.0,,,,预案
688159.SH,20230428,20221231,0.0,,,0.0,0.0,,,,预案
688159.SH,20230428,20221231,0.0,,,0.0,0.0,,,,股东大会通过
688159.SH,20220830,20220630,0.0,,,0.0,0.0,,,,预案
688159.SH,20220429,20211231,0.0,,,0.0,0.0,,,,预案
688159.SH,20220429,20211231,0.0,,,0.0,0.0,,,,股东大会通过
688159.SH,20210830,20210630,0.0,,,0.0,0.0,,,,预案
688159.SH,20210427,20201231,0.0,,,0.0,0.0,,,,预案
688159.SH,20210427,20201231,0.0,,,0.0,0.0,,,,股东大会通过
688159.SH,20200820,20200630,0.0,,,0.0,0.0,,,,预案
688159.SH,20200415,20191231,0.0,,,0.0,0.081,,,,预案
688159.SH,20200415,20191231,0.0,,,0.0,0.081,,,,股东大会通过
688159.SH,20200415,20191231,0.0,,,0.081,0.081,20200630,20200701,20200701,实施
