ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
002313.SZ,20210415,20201231,3788305800.0,-589758400.0,-586050000.0,-548408700.0,7379394500.0,2668970100.0,-1.6
002313.SZ,20200307,20191231,4731932200.0,79982100.0,88694000.0,78924600.0,7642518900.0,2101598000.0,0.25
002313.SZ,20190228,20181231,4420088800.0,87014600.0,88970800.0,71697000.0,6885899500.0,2030067800.0,0.23
002313.SZ,20180228,20171231,3125458700.0,83737900.0,124645700.0,104457700.0,4851215000.0,1987697000.0,0.33
002313.SZ,20170225,20161231,2706909600.0,71852500.0,100720600.0,70623300.0,3741905000.0,2009954900.0,0.23
002313.SZ,20160229,20151231,2880963600.0,-27830700.0,-20589900.0,-27886600.0,4441624300.0,1942072100.0,-0.09
002313.SZ,20150214,20141231,2430474670.0,42951093.16,58677055.51,12545051.35,4397138143.34,1910340562.9,0.04
002313.SZ,20140228,20131231,2081751758.47,87982348.53,107433833.14,60219183.36,3885382934.53,1968598713.99,0.19
002313.SZ,20130221,20121231,1929449810.86,201174965.46,211809595.55,171307568.77,3212298941.14,1956310966.28,0.78
002313.SZ,20120228,20111231,1333112131.14,165054736.07,171916410.02,145466592.1,1718252601.57,1041581376.51,1.45
002313.SZ,20110223,20101231,904115683.24,115299563.71,120594724.49,103960461.12,1410945231.75,926299647.62,1.0396
002313.SZ,20100224,20091231,684971220.2,80367125.29,83508121.89,72542068.91,1098302139.69,832338058.53,0.9411
