ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
002373.SZ,20260428,20260331,0.0324,0.0046,38.0959,0.0743,,-0.2905,7.288
002373.SZ,20260428,20260331,0.0324,0.0046,38.0959,0.0743,,-0.2905,7.288
002373.SZ,20260418,20251231,2.363,1.5687,31.2042,3.5421,1139130538.14,0.4913,7.2941
002373.SZ,20251023,20250930,1.6692,0.7786,31.0394,3.4045,,0.0011,7.242
002373.SZ,20250822,20250630,1.5035,0.8806,31.1901,5.1909,520896531.58,-0.1627,7.2029
002373.SZ,20250822,20250630,1.5035,0.8806,31.1901,5.1909,520896531.58,-0.1627,7.2029
002373.SZ,20250428,20250331,1.9532,1.5935,29.7281,14.0579,,-0.2837,7.2356
002373.SZ,20250428,20250331,1.9532,1.5935,29.7281,14.0579,,-0.2837,7.2356
002373.SZ,20250419,20241231,-10.0555,-6.3695,31.1206,-16.5871,1134323543.98,0.0907,7.0839
002373.SZ,20241030,20240930,0.1259,-0.5367,30.7942,0.0522,,-0.3514,7.9101
002373.SZ,20240827,20240630,0.0979,-0.3462,31.0157,0.1005,492752076.55,-0.3356,7.892
002373.SZ,20240425,20240331,-0.4631,-0.579,29.1128,-3.8135,,-0.3426,7.8849
002373.SZ,20240425,20240331,-0.4631,-0.579,29.1128,-3.8135,,-0.3426,7.8849
002373.SZ,20240418,20231231,4.4207,2.2702,34.47,7.33,1113834948.46,0.5635,7.9264
002373.SZ,20231026,20230930,2.6527,1.216,33.0347,6.1654,729049492.64,0.0913,7.8337
002373.SZ,20230823,20230630,2.3427,1.2052,32.6395,8.4078,523167625.48,-0.1334,7.7995
002373.SZ,20230420,20230331,1.3026,0.7377,30.228,10.0472,210004651.67,-0.1716,7.7079
002373.SZ,20230420,20230331,1.3026,0.7377,30.228,10.0472,210004651.67,-0.1716,7.7079
002373.SZ,20230420,20221231,-3.9461,-3.4924,29.4496,-6.821,1110827420.61,0.3164,7.603
002373.SZ,20230420,20221231,-3.9461,-3.4924,29.4496,-6.821,1110827420.61,0.3164,7.603
002373.SZ,20221027,20220930,-1.5088,-1.5023,32.5923,-3.8365,695330937.24,-0.2228,7.7983
002373.SZ,20221027,20220930,-1.5088,-1.5023,32.5923,-3.8365,695330937.24,-0.2228,7.7983
002373.SZ,20220818,20220630,-0.7464,-0.8918,33.3327,-2.9783,566600196.44,-0.3608,7.8297
002373.SZ,20220818,20220630,-0.7464,-0.8918,33.3327,-2.9783,566600196.44,-0.3608,7.8297
002373.SZ,20220427,20220331,-2.0763,-1.6745,30.6584,-20.1072,217545094.27,-0.2704,7.7182
002373.SZ,20220427,20220331,-2.0763,-1.6745,30.6584,-20.1072,217545094.27,-0.2704,7.7182
002373.SZ,20220330,20211231,5.9331,3.9505,28.3838,7.8742,1183117408.87,0.1528,7.872
002373.SZ,20220330,20211231,5.9331,3.9505,28.3838,7.8742,1183117408.87,0.1528,7.872
002373.SZ,20211026,20210930,4.5857,3.0451,30.3953,8.7772,626031990.47,-0.3339,7.7597
002373.SZ,20211026,20210930,4.5857,3.0451,30.3953,8.7772,626031990.47,-0.3339,7.7597
002373.SZ,20210811,20210630,4.1929,2.7186,30.4356,12.4358,467174774.0,-0.3277,7.7229
002373.SZ,20210811,20210630,4.1929,2.7186,30.4356,12.4358,467174774.0,-0.3277,7.7229
002373.SZ,20210424,20210331,1.171,0.7357,30.7175,7.9869,195443308.69,-0.4968,7.5811
002373.SZ,20210424,20210331,1.171,0.7357,30.7175,7.9869,195443308.69,-0.4968,7.5811
002373.SZ,20210331,20201231,10.3106,6.9073,29.6813,12.2246,898974731.39,0.8297,7.566
002373.SZ,20210331,20201231,10.3106,6.9073,29.6813,12.2246,898974731.39,0.8297,7.566
002373.SZ,20201028,20200930,7.1633,4.8624,31.7079,13.2785,517802149.78,0.0614,7.3163
002373.SZ,20201028,20200930,7.1633,4.8624,31.7079,13.2785,517802149.78,0.0614,7.3163
002373.SZ,20200820,20200630,5.1443,3.4863,30.188,13.7883,398335363.1,-0.2936,6.317
002373.SZ,20200820,20200630,5.1443,3.4863,30.188,13.7883,398335363.1,-0.2936,6.317
002373.SZ,20200427,20200331,1.2707,1.0331,28.2397,9.4322,166258846.3,-0.2817,6.13
002373.SZ,20200427,20200331,1.2707,1.0331,28.2397,9.4322,166258846.3,-0.2817,6.13
002373.SZ,20200415,20191231,11.9563,7.7391,30.9915,12.2998,857842217.47,0.6287,6.0408
002373.SZ,20200415,20191231,11.9563,7.7391,30.9915,12.2998,857842217.47,0.6287,6.0408
002373.SZ,20191024,20190930,7.1745,4.698,31.5078,10.966,485218738.77,-0.2375,5.7434
002373.SZ,20191024,20190930,7.1745,4.698,31.5078,10.966,485218738.77,-0.2375,5.7434
002373.SZ,20190809,20190630,4.5961,2.9679,30.7239,11.0405,379773727.31,-0.0687,5.611
