ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
603236.SH,20260424,20260331,2.0412,0.8076,17.0881,2.0644,,-1.4645,24.3054
603236.SH,20260424,20260331,2.0412,0.8076,17.0881,2.0644,,-1.4645,24.3054
603236.SH,20260424,20251231,15.3748,5.7628,17.414,3.3997,1951386752.82,-2.2868,23.8062
603236.SH,20251024,20250930,17.1383,5.5665,17.7088,4.0674,,-3.0583,17.2844
603236.SH,20250815,20250630,11.1658,3.6864,17.7144,4.0625,881699863.65,-3.0858,16.8245
603236.SH,20250429,20250331,5.1163,1.7084,17.8092,4.0398,,-2.3813,16.2284
603236.SH,20250429,20250331,5.1163,1.7084,17.8092,4.0398,,-2.3813,16.2284
603236.SH,20250424,20241231,15.3394,5.2128,17.61,3.1086,1668601347.95,2.766,15.428
603236.SH,20241022,20240930,9.5798,3.4708,17.9288,2.6197,,1.1595,14.4135
603236.SH,20240827,20240630,5.6874,2.1312,18.1422,2.4745,795906131.62,-1.2699,14.0991
603236.SH,20240827,20240630,5.6874,2.1312,18.1422,2.4745,,-1.2699,14.0991
603236.SH,20240423,20240331,1.5099,0.5895,16.9271,1.3271,,-2.6796,13.6884
603236.SH,20240423,20231231,2.4672,1.3734,18.9442,0.6076,1604178479.67,3.9189,13.7298
603236.SH,20231026,20230930,-0.4988,0.2825,18.3658,-0.2185,1203632658.85,1.3766,13.2564
603236.SH,20231026,20230930,-0.4988,0.2825,18.3658,-0.2185,1203632658.85,1.3766,13.2564
603236.SH,20230815,20230630,-3.2262,-0.7703,17.5675,-1.8175,832285970.96,0.5882,12.9716
603236.SH,20230425,20230331,-3.6854,-1.0792,17.5935,-4.3622,439376006.5,1.4735,19.0549
603236.SH,20230425,20230331,-3.6854,-1.0792,17.5935,-4.3622,439376006.5,1.4735,19.0549
603236.SH,20230425,20221231,17.9779,7.1711,19.7785,4.3606,1334713635.65,2.6548,19.6857
603236.SH,20230425,20221231,17.9779,7.1711,19.7785,4.3606,1334713635.65,2.6548,19.6857
603236.SH,20221029,20220930,12.9258,5.2326,19.1931,4.3032,945553714.28,1.9085,18.6805
603236.SH,20221029,20220930,12.9258,5.2326,19.1931,4.3032,945553714.28,1.9085,18.6805
603236.SH,20220824,20220630,8.4007,3.4292,18.936,4.15,582454268.31,3.3769,17.8815
603236.SH,20220824,20220630,8.4007,3.4292,18.936,4.15,582454268.31,3.3769,17.8815
603236.SH,20220429,20220331,3.7801,1.5275,18.1929,4.0477,275662855.83,-0.1079,22.918
603236.SH,20220429,20220331,3.7801,1.5275,18.1929,4.0477,275662855.83,-0.1079,22.918
603236.SH,20220416,20211231,14.1048,5.9799,17.564,3.1818,1022032952.38,-3.3576,22.0709
603236.SH,20220416,20211231,14.1048,5.9799,17.564,3.1818,1022032952.38,-3.3576,22.0709
603236.SH,20211026,20210930,9.4992,4.0089,18.4822,3.169,738142534.0,-9.0646,21.4586
603236.SH,20211026,20210930,9.4992,4.0089,18.4822,3.169,738142534.0,-9.0646,21.4586
603236.SH,20210824,20210630,5.4664,2.4243,18.0673,3.0928,443535882.43,-4.2406,20.7377
603236.SH,20210824,20210630,5.4664,2.4243,18.0673,3.0928,443535882.43,-4.2406,20.7377
603236.SH,20210429,20210331,2.4893,1.2708,19.3845,3.2605,199515389.88,-2.3321,26.7716
603236.SH,20210429,20210331,2.4893,1.2708,19.3845,3.2605,199515389.88,-2.3321,26.7716
603236.SH,20210420,20201231,10.5495,5.0497,20.2293,3.0957,706678736.86,-3.7241,17.4617
603236.SH,20210420,20201231,10.5495,5.0497,20.2293,3.0957,706678736.86,-3.7241,17.4617
603236.SH,20201030,20200930,7.108,3.643,20.3409,2.9705,437089495.12,-4.8677,16.8432
603236.SH,20201030,20200930,7.108,3.643,20.3409,2.9705,437089495.12,-4.8677,16.8432
603236.SH,20200825,20200630,4.0272,2.1075,20.3515,2.7894,261774941.07,-3.0309,16.3026
603236.SH,20200825,20200630,4.0272,2.1075,20.3515,2.7894,261774941.07,-3.0309,16.3026
603236.SH,20200429,20200331,1.9572,1.1223,21.3181,3.2944,116292867.82,-4.3743,19.6378
603236.SH,20200429,20200331,1.9572,1.1223,21.3181,3.2944,116292867.82,-4.3743,19.6378
603236.SH,20200415,20191231,12.4895,7.0097,21.153,3.5838,361645466.78,-1.6141,19.2277
603236.SH,20200415,20191231,12.4895,7.0097,21.153,3.5838,361645466.78,-1.6141,19.2277
603236.SH,20191031,20190930,8.0749,4.6342,21.3765,3.2715,222385683.83,-3.8807,18.5916
603236.SH,20191031,20190930,8.0749,4.6342,21.3765,3.2715,222385683.83,-3.8807,18.5916
