ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
920249.BJ,20260422,20260331,1.9201,1.1413,15.1307,2.2285,,0.0616,1.8379
920249.BJ,20260416,20251231,5.8256,3.4919,16.2796,1.7228,82617823.95,0.3122,1.8081
920249.BJ,20251030,20250930,2.452,1.7881,14.7431,0.9851,,0.2579,1.7291
920249.BJ,20250820,20250630,1.5153,1.1329,14.8354,0.9046,,0.1964,1.6959
920249.BJ,20250429,20250331,0.4275,0.3674,14.6752,0.5453,,0.0608,1.6585
920249.BJ,20250429,20241231,-14.6631,-5.0661,14.5594,-5.5526,93552808.34,0.1366,1.6384
920249.BJ,20241031,20240930,-6.3668,-2.0042,13.4218,-3.3822,,-0.1756,1.7701
920249.BJ,20240830,20240630,-5.3579,-1.7593,12.7603,-4.459,,-0.1166,1.785
920249.BJ,20240427,20240331,-3.2967,-0.9405,11.5899,-5.818,,-0.0394,1.8094
920249.BJ,20240427,20231231,-1.6823,-0.0067,13.3372,-0.5502,103605789.93,-0.1162,1.8501
920249.BJ,20231028,20230930,-0.182,0.2884,13.179,-0.1664,80921280.47,-0.2035,1.8668
920249.BJ,20230831,20230630,0.7096,0.6828,14.2994,0.4515,52761292.18,-0.1109,1.893
920249.BJ,20230427,20230331,0.9569,0.7909,14.8789,1.4741,25402385.85,-0.0226,2.0311
