ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
002881.SZ,20260430,20260331,0.18,0.18,3.0714,3.0714,5.7459,0.0912,2.3542,-820751.4,47475447.72,162348385.88,2.3695,1.5771,1.2718,1.9187,0.2904,59.6462,0.2515,59483479.08,61156458.18,,-179597421.534,80402578.466,1000654564.55,22136355.81,659756975.64,-653553619.94,2512480016.96,2263134862.97,1557461535.81,3385899868.04,738508983.54,0.1545,9.0268,-0.635,2.4453,3.3174,0.2025,-0.5947,0.2662,5.0296,17.5021,82.4979,9.8741,5.0296,1.7421,7.7611,0.3709,-1.0778,93.5873,6.3662,6.593,2.107,2.7,2.144,1.6583,1.2651,1.7605,8.428,6.6332,38.1643,1.6172,1.6655,88.8165,11.1835,56.9893,19.4854,80.5146,98.2146,1.7854,-0.116,0.6172,1.6202,4.132,1.4933,3.8082,,-0.114,176.8895,5.0604,1.2651,14985749.02,6.3634,1.7421,93.5873,2.107,2.144,1.2651,-20.673,0.0,0.0,-148.5323,6.5465,6.5096,0.7571,5.95,-186.6863,-40.1916,38.7863,48.5885,60.1281,-6.9673,-6.9673,-6.9673,75.2808,68.4665
002881.SZ,20260331,20251231,0.544,0.5418,14.3154,14.3154,3.0457,0.1052,2.5379,15448776.93,127271634.6,529146531.76,2.0066,1.2754,0.8105,4.9784,1.5768,222.1269,1.3087,140369016.21,159971684.4,215559366.2,-39832364.2041,-7332364.2041,838983942.05,22666471.0,402921375.07,91489715.63,1482060495.17,1240184716.84,1321847335.15,2105397547.31,691854287.22,0.5452,6.5041,0.1241,2.6431,-0.1233,0.6111,-0.1522,-0.028,3.8088,14.1214,85.8786,9.772,3.8088,1.8004,7.9061,0.0656,-0.5399,96.254,4.1594,4.2692,8.7302,8.74,7.7852,5.587,4.9845,7.2592,8.7302,5.587,42.6205,1.7428,1.7515,83.324,16.676,49.9507,19.1375,80.8625,97.4305,2.5695,0.0264,0.7428,1.3463,4.2253,1.172,3.6783,16.1992,0.0257,159.0928,4.9845,4.9845,16117422.23,4.1602,2.2996,96.9969,1.7466,1.331,1.0159,-0.9544,4.535,4.3931,125.0151,24.1856,25.5733,5.2731,0.19,125.0171,-3.0971,8.657,7.5191,8.6377,27.3939,27.3939,21.9266,15.1092,8.6377
002881.SZ,20251028,20250930,0.43,0.43,10.7425,10.7425,3.1318,0.0907,2.4311,8417437.4,104752737.47,370553702.01,2.0778,1.3674,0.9805,3.2258,1.2119,164.6454,1.0058,112565407.66,124966944.87,,-39247809.1392,-44247809.1392,788841188.4,22159301.16,358339389.87,37145443.39,1467991801.98,1232217627.4,1265492792.33,2039665502.68,662304050.56,0.4309,6.4019,0.1574,2.5218,-0.0991,0.4758,-0.1494,-0.1685,4.0113,13.1342,86.8658,8.6233,4.0113,1.6365,7.0953,-0.1086,-0.4953,96.0101,4.3302,4.4294,6.9677,6.49,6.4494,4.455,4.0344,5.8341,9.2903,5.94,41.0199,1.6955,1.7271,83.3324,16.6676,51.4965,17.5685,82.4315,97.774,2.226,0.0362,0.6955,1.4378,4.692,1.2554,4.0967,39.5201,0.0353,164.2732,5.3792,4.0344,16649843.7,4.3292,1.8543,97.7616,1.7566,1.3578,0.9906,13.4048,22.8571,22.8571,198.9315,27.3022,29.1951,23.8777,15.74,199.2003,12.5214,6.9497,3.3017,7.2881,29.2966,29.2966,6.6558,-21.8997,10.0926
002881.SZ,20250828,20250630,0.32,0.32,7.2057,7.2057,3.0999,0.091,2.328,1831846.86,82334927.22,252110403.0,1.8652,1.2751,0.9971,1.897,0.7834,109.8797,0.6545,91640968.76,94436715.1,100099856.79,-141832367.3596,8167632.6404,850199590.42,22159301.17,511651409.62,162887684.61,1412452042.97,1176003214.29,1336334144.74,2132473017.83,633300649.77,0.3215,6.191,-0.3208,2.419,0.0261,0.3607,-0.5418,0.0312,4.4616,13.3641,86.6359,7.8738,4.4616,1.5286,6.7339,-0.3887,-0.4679,95.1422,4.9245,5.006,5.2803,5.24,5.1654,3.2766,2.9202,4.2129,10.5606,6.5532,46.0595,1.8539,1.8082,84.374,15.626,47.006,23.9933,76.0067,98.2142,1.7858,-0.0618,0.8539,1.1711,3.1678,1.0206,2.7606,8.6713,-0.0607,174.8831,5.8404,2.9202,16715865.54,4.924,1.7433,95.9234,2.3379,2.3171,1.2421,-1.9214,146.1538,146.1538,-66.8227,127.3703,128.7457,151.3767,157.87,-66.8891,127.0651,3.4264,8.8883,3.4272,44.4964,44.4964,21.6547,-32.3851,10.7069
002881.SZ,20250428,20250331,0.18,0.18,3.8085,3.8085,3.0698,0.091,2.313,1495181.08,44808950.89,144989832.55,1.8109,1.3264,1.166,0.8997,0.4064,58.7056,0.3408,55383408.09,56003927.67,,-83748252.6545,101251747.3455,906148468.23,22444939.4,544764261.69,84414378.78,1416128468.55,1176258325.72,1260244658.39,2162975354.93,629367474.66,0.1769,6.1811,-0.2555,2.404,0.422,0.2139,-0.3199,0.3867,4.6441,14.5417,85.4583,7.7221,4.6441,1.3371,6.2782,0.1069,-0.6108,94.4453,5.5587,5.6169,2.9073,2.91,2.8135,1.9143,1.5827,2.2866,11.6292,7.6572,47.6573,1.9105,1.8369,84.9647,15.0353,45.8061,25.1859,74.8141,98.4476,1.5524,-0.0461,0.9105,1.0983,2.9705,0.9612,2.5995,16.7759,-0.0454,171.5073,6.3308,1.5827,16346961.93,5.5582,1.3371,94.4453,2.9073,2.8135,1.5827,-6.7086,800.0,800.0,-487.7086,606.3747,606.7513,616.0166,778.78,-487.6075,546.9823,3.261,12.0314,3.2606,73.5667,73.5667,73.5667,87.641,10.6702
002881.SZ,20250428,20250331,0.18,0.18,3.8085,3.8085,3.0698,0.091,2.313,1495181.08,44808950.89,144989832.55,1.8109,1.3264,1.1632,0.8997,0.4064,58.7056,0.3408,55383408.09,56003927.67,,,,906148468.23,22444939.4,544764261.69,84414378.78,1416128468.55,1176258325.72,1260244658.39,2162975354.93,629367474.66,0.1769,6.1811,-0.2555,2.404,0.422,0.2139,,,4.6441,14.5417,85.4583,7.7221,4.6441,1.3371,6.2782,0.1069,-0.6108,94.4453,5.5587,5.6169,2.9073,2.91,2.8135,1.9143,1.5827,2.2866,11.6292,7.6572,47.6573,1.9105,1.8369,84.9647,15.0353,45.8061,25.1859,74.8141,98.4476,1.5524,-0.0461,0.9105,1.0983,2.9705,0.9612,2.5995,16.7759,-0.0454,171.5073,6.3308,1.5827,16346961.93,5.5582,1.3371,94.4453,2.9073,2.8135,1.5827,-6.7086,800.0,800.0,-487.7086,606.3747,606.7513,616.0166,778.78,-487.6075,546.9823,3.261,12.0314,3.2606,73.5667,73.5667,73.5667,87.641,10.6702
002881.SZ,20250428,20241231,0.5204,0.519,11.2351,11.2351,3.0486,0.091,2.1361,8540923.61,127030616.39,501004715.32,1.9527,1.3957,1.1841,3.5352,1.5139,151.2664,1.1995,120944618.26,127933813.15,190254355.02,-71228923.67,273866876.33,806709263.38,23117652.65,362614504.58,12737490.13,1355699655.14,1112704954.38,1124025305.15,1929727647.48,583063342.69,0.5178,5.9859,-0.4961,2.2271,0.7752,0.4887,-0.2721,1.0461,4.5684,17.033,82.967,12.3379,4.5684,2.0123,9.2193,1.1064,-0.5556,95.8882,4.2668,4.3495,8.8959,8.94,8.3354,5.2172,5.4799,7.4374,8.8959,5.2172,43.2114,1.7609,1.609,82.6442,17.3558,49.1275,18.791,81.209,97.9425,2.0575,-0.1112,0.7609,1.3142,4.3217,1.1369,3.7387,106.4338,-0.1089,188.6386,5.4799,5.5287,17621239.59,4.2205,2.138,96.5771,2.8578,2.3608,1.7227,-11.6187,109.8387,109.3586,-314.4528,97.1995,96.6526,110.159,243.61,-314.8124,98.5917,5.7598,28.6673,5.8247,36.9778,36.9778,29.22,-46.4012,5.8247
002881.SZ,20241029,20240930,0.35,0.35,8.3347,8.3347,3.0258,0.0861,1.9819,850330.1,90506030.47,354614950.2,2.3827,1.7815,1.3836,2.989,1.257,109.7,0.9743,94952882.53,96167438.49,,-4430124.6343,120569875.3657,643374947.76,22689506.97,142644746.47,-102966239.83,1331284630.56,1083135373.96,977498571.86,1668158160.97,541398163.26,0.349,5.8334,-0.1591,2.068,0.4075,0.3673,-0.0169,0.4605,4.1475,16.2516,83.7484,11.7231,4.1475,1.9686,8.8352,0.9193,-0.4576,95.6484,4.398,4.4072,6.0741,6.03,6.0176,4.2942,4.0411,5.792,8.0988,5.7256,34.6458,1.5301,1.489,79.9617,20.0383,57.0333,8.551,91.5496,96.8641,3.1359,-0.0532,0.5301,1.8884,10.7063,1.6462,9.3329,,-0.0515,164.0031,5.3881,4.0794,18512979.6,4.3326,1.6987,93.6579,3.8695,3.9165,2.4482,0.9875,29.6296,29.6296,-49.1097,52.9066,50.6027,33.0543,109.72,-49.326,29.224,3.0654,8.8357,3.1289,39.9007,39.9007,63.2913,66.9349,2.9641
002881.SZ,20241029,20240930,0.35,0.35,8.3347,8.3347,3.0258,0.0861,1.9819,850330.1,90506030.47,354614950.2,2.3827,1.7815,1.3611,2.989,1.257,109.7,0.9743,94952882.53,96167438.49,,,,643374947.76,22689506.97,142644746.47,-102966239.83,1331284630.56,1083135373.96,977498571.86,1668158160.97,541398163.26,0.349,5.8334,-0.1591,2.068,0.4075,0.3673,,,4.1475,16.2516,83.7484,11.7231,4.1475,1.9686,8.8352,0.9193,-0.4576,95.6484,4.398,4.4072,6.0741,6.03,6.0176,4.2942,4.0411,5.792,8.0988,5.7256,34.6458,1.5301,1.489,79.9617,20.0383,57.0333,8.551,91.5496,96.8641,3.1359,-0.0532,0.5301,1.8884,10.7063,1.6462,9.3329,,-0.0515,164.0031,5.3881,4.0794,18512979.6,4.3326,1.6987,93.6579,3.8695,3.9165,2.4482,0.9875,29.6296,29.6296,-49.1097,52.9066,50.6027,33.0543,109.72,-49.326,29.224,3.0654,8.8357,3.1289,39.9007,39.9007,63.2913,66.9349,2.9641
002881.SZ,20240829,20240630,0.13,0.13,4.9887,4.9887,2.9992,0.0862,1.7615,1553060.48,31929268.36,216587513.89,2.1145,1.4623,1.1249,2.0298,0.753,64.0662,0.5774,39366054.81,42237551.49,67868894.03,-4643568.7623,223356431.2377,634029476.05,31184020.91,249872327.31,-51606583.35,1276620694.97,981471984.4,926600214.75,1712212608.99,483524131.53,0.1279,5.5944,-0.1923,1.8476,0.6069,0.1614,-0.0177,0.8535,2.5141,16.5897,83.4103,12.8239,2.5141,2.1498,9.5595,1.1147,-0.583,96.9847,3.1296,3.2352,2.2739,2.26,2.1684,1.868,1.4517,2.1187,4.5478,3.736,38.4906,1.6258,1.5356,78.3246,21.6754,53.6976,14.5935,85.5072,96.2354,3.7646,-0.0571,0.6258,1.5999,5.8593,1.3951,5.1091,,-0.055,179.6475,2.9034,1.4808,19487579.08,3.1104,2.0436,95.5759,1.8464,1.8338,1.0861,-9.2432,-31.5789,-31.5789,-180.3207,-33.9793,-34.3972,-31.1779,31.98,-181.0153,-32.1612,-1.1573,10.8501,-1.1339,27.6272,27.6272,26.0845,320.7317,1.4495
