ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
603236.SH,20260424,20260331,0.49,0.49,23.4492,23.4492,14.6557,0.5,8.2946,11509511.7,129817340.77,1153316943.08,1.4259,0.827,0.7154,1.7723,0.4616,3.8532,0.3764,121514746.05,144827870.44,,-450769855.43,148885844.19,8624901971.16,82584399.19,3278267361.68,1055582902.26,6512136345.99,4659785709.84,4501817338.64,10243053482.62,2531300034.35,0.491,24.3054,-1.4645,8.7946,-0.5365,0.5032,-1.5661,0.5173,2.0644,17.0881,82.9119,14.7427,2.0644,2.4725,11.8426,0.4276,-0.3011,98.1996,1.9932,2.1458,2.0412,2.08,1.8749,0.8076,0.777,1.4671,8.1648,3.2304,63.2476,2.7209,2.59,82.3198,17.6802,34.3639,32.0048,68.2966,91.2772,8.7228,-0.0385,1.7209,0.5837,2.1339,0.5433,1.9865,6.1692,-0.0352,147.9003,3.108,0.7881,1856238939.12,1.9746,2.4725,98.1996,2.0412,1.8749,0.777,-6.2455,-39.5062,-39.5062,38.5,-36.7422,-37.055,-33.3031,-35.29,32.349,-59.5158,2.0969,12.038,2.0968,29.2613,29.2613,29.2613,48.0324,64.7478
603236.SH,20260424,20260331,0.49,0.49,23.4492,23.4492,14.6557,0.5,8.2946,11509511.7,129817340.77,1153316943.08,1.4259,0.827,0.7154,1.7723,0.4616,3.8532,0.3764,121514746.05,144827870.44,,,,8624901971.16,82584399.19,3278267361.68,1055582902.26,6512136345.99,4659785709.84,4501817338.64,10243053482.62,2531300034.35,0.491,24.3054,-1.4645,8.7946,-0.5365,0.5032,,,2.0644,17.0881,82.9119,14.7427,2.0644,2.4725,11.8426,0.4276,-0.3011,98.1996,1.9932,2.1458,2.0412,2.08,1.8749,0.8076,0.777,1.4671,8.1648,3.2304,63.2476,2.7209,2.59,82.3198,17.6802,34.3639,32.0048,68.2966,91.2772,8.7228,-0.0385,1.7209,0.5837,2.1339,0.5433,1.9865,6.1692,-0.0352,147.9003,3.108,0.7881,1856238939.12,1.9746,2.4725,98.1996,2.0412,1.8749,0.777,-6.2455,-39.5062,-39.5062,38.5,-36.7422,-37.055,-33.3031,-35.29,32.349,-59.5158,2.0969,12.038,2.0968,29.2613,29.2613,29.2613,48.0324,64.7478
603236.SH,20260424,20251231,3.2,3.2,84.5187,84.5187,14.6496,0.5,7.8036,29000370.76,808070704.32,4236220832.77,1.4994,0.8922,0.7952,7.3769,2.0524,16.5121,1.6275,774151866.89,861379074.65,1289525591.92,-1312698531.02,-1265057190.86,7327793499.82,86422598.23,2677162938.05,300049853.33,6381315571.86,4543834008.58,3936873027.55,9500165943.35,2389973181.88,2.9083,23.8062,-2.2868,8.3036,1.8775,2.9927,-4.5608,-4.3953,3.3997,17.414,82.586,13.5315,3.3997,2.4813,10.8325,0.2176,-0.4703,96.8177,3.3534,3.5409,15.3748,18.76,14.8422,5.7628,5.5329,10.6624,15.3748,5.7628,59.6615,2.479,2.7454,80.652,19.348,37.7272,28.1802,72.1249,90.1556,9.8444,-0.0723,1.479,0.679,2.5594,0.6324,2.3836,21.2675,-0.0652,127.5084,5.5329,5.6002,1837679188.31,3.3478,2.3413,98.5125,1.8215,1.9971,0.633,2.2021,43.4978,43.4978,-182.6753,39.0636,41.0021,42.3047,51.84,-190.9426,-16.1608,54.3052,30.3092,69.7353,30.8293,30.8293,20.5961,-64.8024,69.7353
603236.SH,20251024,20250930,2.8,2.8,68.3213,68.3213,7.7264,0.546,8.192,38986277.64,694488466.7,3165766682.99,1.2335,0.712,0.6011,5.6316,1.6731,15.9397,1.294,678216048.81,769025522.06,,-1319032625.06,-591459112.78,6744628618.52,32605271.16,3375543281.97,2481435052.07,4054351503.45,2140148971.05,3667468967.17,7873203148.11,2286376851.14,2.8032,17.2844,-3.0583,8.738,-3.6025,2.9391,-5.0411,-2.2604,4.0674,17.7088,82.2912,13.1387,4.0674,2.5318,10.2334,0.3735,-0.4646,96.2062,4.0549,4.3018,17.1383,16.69,16.2274,5.5665,5.2631,10.5851,22.8511,7.422,69.3002,3.2574,3.2281,77.1732,22.8268,27.6739,42.8738,57.4429,90.2813,9.7187,-0.0873,2.2573,0.4455,1.3398,0.3993,1.2011,1.6339,-0.0788,121.7263,7.0175,5.3091,1908769487.64,4.0374,2.5717,96.2677,5.8785,5.451,1.8072,0.1136,105.8824,105.8824,-363.7602,104.8206,106.331,105.652,113.27,-360.8426,73.4063,12.0327,12.8677,12.0323,34.961,34.961,26.6803,1.6321,18.5955
603236.SH,20250815,20250630,1.8,1.8,44.1283,44.1283,7.7712,0.546,7.7395,19909143.63,451239567.64,2045390660.7,1.2539,0.7211,0.637,3.8113,1.1042,10.4956,0.8589,441947477.02,495582287.46,706361992.84,-789113149.19,-426796077.45,6429646287.54,36332355.98,3059734008.69,1971519252.57,3967932900.08,2197186536.97,3332819637.32,7440775467.27,2167962527.77,1.8006,16.8245,-3.0858,8.2855,-2.8606,1.894,-3.0158,-1.6311,4.0625,17.7144,82.2856,12.96,4.0625,2.51,10.1264,0.3236,-0.5387,96.1725,4.0419,4.2921,11.1658,11.07,10.694,3.6864,3.4892,7.0306,22.3316,7.3728,68.497,3.1743,3.186,78.0245,21.9755,28.5324,41.1212,59.1641,90.8435,9.1565,-0.0933,2.1743,0.4621,1.4388,0.4165,1.2968,2.0126,-0.0848,121.7776,6.9784,3.5047,1659290326.22,4.037,2.455,96.1142,5.9953,5.7957,1.8705,-2.9144,125.0,125.0,-142.9955,121.868,124.0779,125.0258,139.36,-140.3115,90.6756,9.0517,7.1383,9.0518,39.9774,39.9774,47.2807,19.4576,18.015
603236.SH,20250429,20250331,0.81,0.81,19.9551,19.9551,7.7515,0.546,7.1686,11276873.72,200617318.25,929887978.63,1.2829,0.7346,0.6538,1.7985,0.5032,4.7667,0.3915,196167215.3,227856717.66,,-787551620.6893,-651445697.6393,6609905786.14,37017192.93,2820999338.78,1632178663.82,3810600865.5,2357328924.98,2891062083.34,7047162131.91,2018604223.15,0.8098,16.2284,-2.3813,7.7147,-2.4761,0.8708,-3.0099,-2.4897,4.0398,17.8092,82.1908,13.5062,4.0398,2.5765,10.6179,0.3118,-0.6597,96.243,4.0729,4.3639,5.1163,5.14,4.844,1.7084,1.5815,3.3129,20.4652,6.8336,69.1388,3.2403,3.2203,78.0614,21.9386,27.8266,40.0303,60.2552,88.0073,11.9927,-0.0748,2.2403,0.4485,1.5052,0.4025,1.3508,2.3347,-0.0658,132.136,6.326,1.5888,1620636788.16,4.0549,2.5765,96.243,5.1163,4.844,1.5815,-11.9333,285.7143,285.7143,11.1323,299.9559,307.3464,286.9085,290.77,12.1132,229.9891,5.188,5.4999,5.1876,32.0456,32.0456,32.0456,-8.6105,17.2489
603236.SH,20250429,20250331,0.81,0.81,19.9551,19.9551,7.7515,0.546,7.1686,11276873.72,200617318.25,929887978.63,1.2829,0.7346,0.6041,1.7985,0.5032,4.7667,0.3915,196167215.3,227856717.66,,,,6609905786.14,37017192.93,2820999338.78,1632178663.82,3810600865.5,2357328924.98,2891062083.34,7047162131.91,2018604223.15,0.8098,16.2284,-2.3813,7.7147,-2.4761,0.8708,,,4.0398,17.8092,82.1908,13.5062,4.0398,2.5765,10.6179,0.3118,-0.6597,96.243,4.0729,4.3639,5.1163,5.14,4.844,1.7084,1.5815,3.3129,20.4652,6.8336,69.1388,3.2403,3.2203,78.0614,21.9386,27.8266,40.0303,60.2552,88.0073,11.9927,-0.0748,2.2403,0.4485,1.5052,0.4025,1.3508,2.3347,-0.0658,132.136,6.326,1.5888,1620636788.16,4.0549,2.5765,96.243,5.1163,4.844,1.5815,-11.9333,285.7143,285.7143,11.1323,299.9559,307.3464,286.9085,290.77,12.1132,229.9891,5.188,5.4999,5.1876,32.0456,32.0456,32.0456,-8.6105,17.2489
603236.SH,20250424,20241231,2.23,2.23,71.0625,71.0625,7.7306,0.546,6.3588,56043967.67,532180508.32,3274413714.97,1.2857,0.8692,0.7664,8.0321,1.9996,16.187,1.5359,496973149.33,631090883.76,1017507702.57,673943483.26,597010690.51,6279766748.77,43248814.44,2638691717.6,801970364.62,3589913844.22,2236440674.8,1946756880.41,6657170782.31,1806710031.18,2.2481,15.428,2.766,6.9049,-0.1335,2.4119,2.5757,2.2816,3.1086,17.61,82.39,14.2609,3.1086,2.7059,11.3886,0.1663,-0.4164,97.3272,3.1548,3.394,15.3394,15.28,13.878,5.2128,4.7744,9.6471,15.3394,5.2128,69.0414,3.2301,3.1571,77.5277,22.4723,27.6569,39.6368,60.6393,87.3361,12.6639,0.0925,2.2301,0.4505,1.5299,0.4006,1.3605,4.4764,0.0808,124.5226,4.7744,4.8587,1549391817.03,3.1063,2.6976,96.6669,5.8995,5.2622,1.8677,7.7965,555.8824,555.8824,-29.419,611.6049,653.8094,548.4948,9287.32,-30.1962,483.548,12.3687,15.554,11.1296,34.1449,34.1449,37.3301,62.0882,11.1296
603236.SH,20241022,20240930,1.36,1.36,50.0648,50.0648,8.0159,0.54,5.4135,31026329.99,325631870.81,2374825052.08,1.4741,0.9681,0.8081,6.0074,1.4994,11.4749,1.1523,318714489.22,398979583.25,,-159984392.2136,18322047.0464,5067813519.67,28659830.18,2865650985.83,1103874903.35,3360297736.54,2937746189.64,2304247917.47,6661281430.18,1575143755.99,1.348,14.4135,1.1595,5.9535,-0.4153,1.508,-0.6047,0.0693,2.6197,17.9288,82.0712,14.8667,2.6197,2.7093,11.5519,0.6056,-0.3599,97.5939,2.6719,3.0121,9.5798,9.52,8.7465,3.4708,3.0186,6.0482,12.7731,4.6277,67.7181,3.0977,3.0877,77.6835,22.3165,28.5794,43.0195,57.2482,77.8196,22.1804,0.0495,2.0977,0.479,1.3307,0.422,1.1726,3.0441,0.0385,127.6373,4.0248,3.1026,1290407547.43,2.6409,2.5814,97.3673,3.9048,3.6351,1.2348,12.863,2042.8571,2042.8571,-15.7707,1553.7309,1393.434,2078.7264,601.1321,-15.7686,1919.8639,4.9797,4.6715,4.9797,32.9003,32.9003,44.6354,-8.6636,8.7294
603236.SH,20240827,20240630,0.8,0.8,31.1777,31.1777,8.0238,0.54,5.1139,20854806.24,188520567.64,1496515595.55,1.5396,0.9026,0.7219,4.341,0.955,7.1686,0.7294,187157546.75,241029040.2,447006245.37,-531608585.9397,-134696610.3997,4542060107.07,31143249.78,3095658652.73,1608937443.14,3260071286.94,3063466436.78,2712458732.69,6812487673.97,1495891919.11,0.7914,14.0991,-1.2699,5.6539,-1.4549,0.911,-2.0093,-0.5091,2.4745,18.1422,81.8578,15.336,2.4745,2.7867,12.1468,0.4025,-0.2771,97.7311,2.5501,2.922,5.6874,5.69,5.1209,2.1312,1.8048,3.5728,11.3748,4.2624,67.3553,3.0633,3.072,76.7739,23.2261,28.6331,45.4409,54.7563,74.0367,25.9633,-0.0592,2.0633,0.4864,1.205,0.4251,1.0531,2.0262,-0.0438,136.6377,3.6096,1.8513,1268810355.55,2.5219,2.8192,96.7725,4.206,3.7319,1.3093,8.6847,281.8182,281.8182,-315.896,282.9952,277.1715,281.4763,221.8899,-315.9042,266.9634,2.6898,1.3593,2.6893,26.6741,26.6741,27.245,195.6108,8.6922
