ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
920249.BJ,20260422,20260331,0.04,0.04,1.5368,1.5368,0.4844,0.1248,0.214,-245836.7,15004431.19,98043888.33,1.3843,0.9206,0.9011,0.8236,0.3523,4.0943,0.3068,22184753.51,24108916.52,,11443748.6206,4437988.3506,963128274.19,26896807.77,452956362.08,237465327.73,745852816.68,538287508.47,760271472.25,1232028134.63,142816570.37,0.035,1.8379,0.0616,0.3387,0.0155,0.0572,0.0271,0.0105,2.2285,15.1307,84.8693,12.2077,2.2285,3.2701,8.6353,0.3024,0.9,96.5763,3.2901,3.7206,1.9201,1.92,1.9521,1.1413,0.6836,1.3571,7.6804,4.5652,64.9391,2.8522,2.7482,87.2567,12.7433,33.5659,36.7651,62.896,97.0632,2.9368,0.0185,1.8522,0.537,1.7108,0.5169,1.6466,3.1409,0.018,206.6157,2.7344,0.6987,157154823.04,3.2441,3.2701,96.5763,1.9201,1.9521,0.6836,4.0056,300.0,300.0,1.3158,549.2671,533.6217,396.6693,509.92,1.1865,348.2092,1.6481,10.955,1.6433,23.2651,23.2651,23.2651,-28.9442,10.812
920249.BJ,20260416,20251231,0.1,0.1,5.7676,5.7676,0.4685,0.1248,0.179,17928201.47,24399340.75,395887030.23,1.4423,0.9945,0.9793,3.6549,1.4584,15.3794,1.2602,38774343.04,67384668.41,99049716.33,65988225.1892,64329961.4792,766864560.09,27088906.71,441846373.79,232882579.18,733298355.72,533464336.74,763733634.35,1208708311.01,128057975.88,0.1004,1.8081,0.3122,0.3037,0.141,0.1598,0.1565,0.1526,1.7228,16.2796,83.7204,13.1927,1.7228,3.497,9.1998,0.4959,-0.8342,98.4055,2.168,2.771,5.8256,5.87,3.3581,3.4919,2.1711,4.5534,5.8256,3.4919,61.7079,2.6115,2.656,86.8625,13.1375,36.6162,36.5553,63.073,97.5965,2.4035,0.1091,1.6115,0.6169,1.7254,0.5934,1.6596,3.1488,0.1065,204.7584,2.1711,2.1934,159375655.7,2.1659,3.4802,96.4939,3.3419,1.4891,1.2001,3.5978,138.4615,138.4615,128.5505,143.4873,143.7485,139.2527,121.1,128.599,135.5667,10.36,7.8522,10.3637,24.1752,24.1752,28.1631,253.7135,10.3637
920249.BJ,20251030,20250930,0.04,0.04,4.2595,4.2595,0.4034,0.1262,0.1576,4112305.51,13294818.16,264777445.94,1.4235,0.9423,0.9311,2.6653,1.0675,11.6613,0.9239,16480309.27,34758008.25,,7928391.8443,21153830.8543,801131056.09,39990753.2,455186146.82,270316799.87,683782528.48,526462117.9,763914150.12,1189761827.78,119650698.97,0.0413,1.7291,0.2579,0.2838,0.0841,0.0824,0.0188,0.0502,0.9851,14.7431,85.2569,13.5201,0.9851,3.503,9.4344,0.5827,0.4487,99.0824,1.265,1.9354,2.452,2.44,1.8728,1.7881,0.9102,2.2329,3.2693,2.3841,63.8298,2.7647,2.7382,87.1274,12.8726,33.6692,38.2586,61.2751,95.8873,4.1127,0.0875,1.7647,0.5624,1.6016,0.5275,1.5022,2.5296,0.0839,212.3993,1.2136,0.8955,151362748.64,1.3133,3.488,98.2556,0.9356,0.9484,0.3484,4.1518,133.3333,133.3333,246.8679,140.5737,141.8209,135.8242,123.76,246.8983,136.6745,5.5359,9.3721,5.5371,22.8221,22.8221,18.8623,-22.5474,-2.3186
920249.BJ,20250820,20250630,0.03,0.03,2.7788,2.7788,0.387,0.1262,0.1416,4204270.98,6447153.27,173813598.75,1.4096,0.9478,0.9315,1.7368,0.6923,7.6613,0.601,5589673.09,22083805.52,38197801.21,38721761.6503,36203040.6603,842454777.7,38655017.95,440556869.23,248428116.67,668566098.15,519951673.44,753794224.71,1160821614.31,112894999.55,0.0253,1.6959,0.1964,0.2678,0.1013,0.0524,0.0918,0.0859,0.9046,14.8354,85.1646,13.848,0.9046,3.5109,9.7145,0.6225,0.3549,99.5229,1.215,1.8849,1.5153,1.5,0.9172,1.1329,0.5437,1.4155,3.0306,2.2658,64.7263,2.835,2.7733,87.6262,12.3738,32.7418,37.9522,61.5991,96.0391,3.9609,0.0653,1.835,0.541,1.6231,0.5059,1.5175,2.6912,0.0627,216.2093,1.0874,0.5464,149959715.38,1.2239,3.3557,98.9109,1.086,0.5638,0.3833,8.8518,130.0,130.0,268.4391,130.4751,130.3735,125.9421,115.28,268.4555,127.3043,2.75,9.967,3.5144,25.0419,25.0419,30.2952,233.531,-4.989
920249.BJ,20250429,20250331,0.01,0.01,1.2468,1.2468,0.3712,0.1262,0.1233,511437.24,2460076.03,77144976.32,1.4126,0.917,0.9025,0.8259,0.3154,3.3868,0.2731,-1445180.08,7071362.71,,17502988.8246,24829151.0946,809907827.18,39831483.22,438306322.74,266321979.2,649549687.31,507721920.35,755574921.23,1142753321.03,105215088.57,0.007,1.6585,0.0608,0.2495,0.0535,0.0168,0.0415,0.0589,0.5453,14.6752,85.3248,14.5538,0.5453,3.7017,10.0396,0.8126,0.2965,100.2749,0.6246,1.3452,0.4275,0.43,0.354,0.3674,0.1489,0.534,1.71,1.4696,64.6449,2.8284,2.7692,87.2456,12.7544,32.5999,38.3553,61.1934,95.5432,4.4568,0.0208,1.8284,0.5429,1.5954,0.5043,1.482,2.439,0.0199,236.5592,0.5956,0.1544,153561767.23,0.6311,3.7017,100.2749,0.4275,0.354,0.1489,4.8796,116.6667,116.6667,254.3147,113.1292,113.2596,111.6839,109.01,254.2326,112.7463,1.2268,7.3046,1.2321,19.1396,19.1396,19.1396,105.0329,-8.3354
920249.BJ,20250429,20241231,-0.26,-0.26,4.6447,4.6447,0.3827,0.1248,0.0786,7822708.56,-115656132.15,285125482.71,1.4445,0.8452,0.8243,3.0292,1.1129,12.1877,0.9731,-109748441.1,-101954285.0,-65261797.83,6412660.6,2759647.97,672090592.34,39202307.9,449861338.42,300426700.25,641902348.47,490894163.66,772825417.78,1145564635.89,85730433.66,-0.2558,1.6384,0.1366,0.2033,-0.0762,-0.2418,0.0152,0.0065,-5.5526,14.5594,85.4406,17.266,-5.5526,4.3257,12.1771,0.7631,-2.5868,105.6041,-6.1906,-5.2061,-14.6631,-14.64,-15.7268,-5.0661,-5.4033,-8.5678,-14.6631,-5.0661,62.5333,2.669,2.7365,85.912,14.088,34.5693,39.2698,60.3003,95.1095,4.8905,0.0521,1.669,0.5949,1.5355,0.5528,1.4269,2.1366,0.0496,282.7479,-5.4033,-5.3582,156866326.06,-6.1477,5.2206,109.0578,-8.2447,-8.3084,-2.9773,26.5265,-766.6667,-766.6667,217.5559,-708.4557,-583.1131,-741.8246,-329.78,217.4758,-850.6004,-11.35,-14.3553,-11.4429,-19.3079,-19.3079,-33.8674,-603.0448,-11.4429
920249.BJ,20241031,20240930,-0.12,-0.12,3.468,3.468,0.3538,0.1262,0.2568,7365290.75,-55955751.47,196256456.67,1.4079,0.7935,0.759,2.0651,0.7759,8.9362,0.6811,-64809063.78,-43027804.65,,-50296313.23,57916032.52,857571581.25,32218645.82,483949790.83,338738063.85,702872846.12,534533972.37,841216629.95,1235847008.23,161486538.17,-0.1152,1.7701,-0.1756,0.383,-0.0863,-0.1021,-0.1193,0.1374,-3.3822,13.4218,86.5782,17.0817,-3.3822,4.0221,12.0425,1.0172,-0.5562,104.4322,-3.8292,-2.9426,-6.3668,-6.35,-7.3319,-2.0042,-2.3036,-3.4837,-8.4891,-2.6723,64.6272,2.827,2.813,86.7975,13.2025,33.0665,39.1594,60.3903,95.394,4.606,-0.0565,1.827,0.5433,1.5422,0.5116,1.4524,2.075,-0.0539,308.4928,-3.0715,-2.2633,164728173.58,-3.8571,3.8221,103.0722,-1.005,-1.8379,-0.3609,-4.7331,,,13.7101,-1604.7874,-909.7398,-3389.683,-485.26,13.7398,-3580.3184,-4.3241,-1.9582,-4.3209,-12.7936,-12.7936,-14.1781,57.2384,-5.1799
920249.BJ,20240830,20240630,-0.1,-0.1,2.2223,2.2223,0.3439,0.1262,0.2747,1122623.15,-42181053.94,119561169.87,1.4436,0.7838,0.7484,1.3871,0.4934,5.6751,0.4362,-48672321.73,-37791911.42,-19083888.37,-59833894.62,-3579702.64,844144212.34,33181117.06,492457150.1,332739823.9,709211875.78,575759178.2,868783817.37,1250753836.19,169018568.1,-0.0974,1.785,-0.1166,0.4009,-0.0519,-0.0896,-0.1419,-0.0085,-4.459,12.7603,87.2397,17.3514,-4.459,4.1342,12.2335,0.9837,-0.7549,105.1946,-4.9853,-4.0334,-5.3579,-5.32,-5.5044,-1.7593,-1.945,-3.0414,-10.7158,-3.5186,64.3671,2.8064,2.8031,88.044,11.956,33.3264,39.3728,60.1719,94.7513,5.2487,-0.0379,1.8064,0.5494,1.5283,0.5178,1.4401,2.1314,-0.0359,318.9421,-3.89,-1.9114,165703064.58,-5.0384,4.3021,104.4134,-2.0622,-1.9619,-0.7532,-6.5633,-1100.0,-1100.0,-5.1398,-798.3087,-869.392,-850.9116,-1399.05,-5.1378,-896.3686,-4.14,-1.8456,-3.517,-11.9978,-11.9978,-13.2526,13.227,-5.708
920249.BJ,20240427,20240331,-0.06,-0.06,1.0465,1.0465,0.3343,0.1262,0.3117,1661662.36,-27314653.17,51138189.89,1.4541,0.7646,0.7484,0.6822,0.2311,2.7001,0.2044,-26793325.79,-20302767.75,,-31072014.21,26927985.79,844714108.57,32654409.17,502922757.72,295176516.98,724233459.1,591587810.13,840974025.21,1271950055.71,184644391.71,-0.0603,1.8094,-0.0394,0.4379,0.0621,-0.0482,-0.0737,0.0639,-5.818,11.5899,88.4101,18.1194,-5.818,3.9456,12.9218,1.252,0.0328,106.0724,-5.6682,-4.6014,-3.2967,-3.29,-3.5407,-0.9405,-1.1892,-1.6622,-13.1868,-3.762,64.2199,2.7948,2.7982,88.1412,11.8588,33.696,39.5395,59.9771,94.3892,5.6108,-0.0128,1.7949,0.5527,1.5169,0.5247,1.44,2.4536,-0.012,334.9489,-4.7568,-1.1781,168922900.58,-5.6706,3.9456,106.0724,-3.2967,-3.5407,-1.1892,-3.7693,-400.0,-400.0,-74.3363,-315.7804,-325.8252,-432.3835,-2664.13,-74.4412,-473.1246,-2.1999,-0.866,-2.1997,-10.5439,-10.5439,-10.5439,-113.5508,-10.9189
920249.BJ,20240427,20231231,-0.01,-0.01,5.7561,5.7561,0.3517,0.1248,0.3343,12301048.93,-26910536.78,323688868.7,1.4627,0.8075,0.804,3.4971,1.3593,18.564,1.1956,-38770721.79,-135025.32,36075072.38,-127022547.23,-11238720.21,904226063.13,29487412.04,448357312.54,266811418.96,743811395.15,608610787.11,837296795.96,1234380331.47,193563857.25,-0.0304,1.8501,-0.1162,0.4591,0.0704,-0.0003,-0.3013,-0.0267,-0.5502,13.3372,86.6628,13.6338,-0.5502,3.558,9.3898,0.6861,-0.6073,101.5975,-0.6179,-0.0056,-1.6823,-1.66,-3.5342,-0.0067,-0.6578,-0.0116,-1.6823,-0.0067,63.7459,2.7583,2.6659,88.7447,11.2553,34.3072,36.3225,63.1926,95.1802,4.8198,-0.0373,1.7583,0.5644,1.7398,0.5382,1.659,2.7878,-0.0355,235.1107,-0.6578,-0.631,173399953.83,-0.7262,4.377,103.1638,-1.4571,-2.2142,-0.5095,4.9062,-103.5714,-103.5714,-474.8387,-111.8752,-114.0349,-111.5891,-130.7291,-495.8405,-111.1807,-0.6604,14.5568,3.6526,-5.8699,-5.8699,17.0971,-17.4239,3.6526
