ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,period
300098.SZ,20151231,东北,D,36757198.67,13402367.9,23354830.77,CNY,20151231
300098.SZ,20151231,华东,D,95691264.37,32610729.1,63080535.27,CNY,20151231
300098.SZ,20151231,华中,D,97025986.54,42348380.32,54677606.22,CNY,20151231
300098.SZ,20151231,华北,D,100927467.78,22643332.01,78284135.77,CNY,20151231
300098.SZ,20151231,华南,D,398399071.82,88403788.1,309995283.72,CNY,20151231
300098.SZ,20151231,西北,D,120096753.61,42908721.18,77188032.43,CNY,20151231
300098.SZ,20151231,西南,D,231695407.77,62457565.12,169237842.65,CNY,20151231
300098.SZ,20161231,东北,D,134406723.29,48930198.94,85476524.35,CNY,20161231
300098.SZ,20161231,中国大陆,D,1307666649.48,587752211.05,719914438.43,CNY,20161231
300098.SZ,20161231,华东,D,296203137.8,161469189.64,134733948.16,CNY,20161231
300098.SZ,20161231,华中,D,160382167.64,79833704.06,80548463.58,CNY,20161231
300098.SZ,20161231,华北,D,129882260.36,45601277.47,84280982.89,CNY,20161231
300098.SZ,20161231,华南,D,184293478.41,47139489.23,137153989.18,CNY,20161231
300098.SZ,20161231,西北,D,165603823.08,97189781.5,68414041.58,CNY,20161231
300098.SZ,20161231,西南,D,236895058.9,107588570.21,129306488.69,CNY,20161231
300098.SZ,20171231,东北,D,101954342.44,49542939.55,52411402.89,CNY,20171231
300098.SZ,20171231,中国大陆,D,2237019731.81,805470278.94,1431549452.87,CNY,20171231
300098.SZ,20171231,华东,D,186544733.38,96396887.11,90147846.27,CNY,20171231
300098.SZ,20171231,华中,D,184827776.19,84447562.33,100380213.86,CNY,20171231
300098.SZ,20171231,华北,D,150760515.57,67604487.44,83156028.13,CNY,20171231
300098.SZ,20171231,华南,D,612286360.3,157605762.16,454680598.14,CNY,20171231
300098.SZ,20171231,西北,D,571895880.17,188939112.91,382956767.26,CNY,20171231
300098.SZ,20171231,西南,D,428750123.76,160933527.44,267816596.32,CNY,20171231
300098.SZ,20181231,东北,D,111614099.43,51614099.43,60000000.0,CNY,20181231
300098.SZ,20181231,华东,D,242507904.96,118624257.97,123883646.99,CNY,20181231
300098.SZ,20181231,华中,D,440625642.0,193356985.82,247268656.18,CNY,20181231
300098.SZ,20181231,华北,D,177763083.5,73455624.58,104307458.92,CNY,20181231
300098.SZ,20181231,华南,D,908686774.42,242547757.34,666139017.08,CNY,20181231
300098.SZ,20181231,国外,D,259452521.36,74505793.54,184946727.82,CNY,20181231
300098.SZ,20181231,西北,D,576446239.34,193597155.07,382849084.27,CNY,20181231
300098.SZ,20181231,西南,D,845736524.71,306852916.24,538883608.47,CNY,20181231
300098.SZ,20191231,东北,D,137796099.85,25722006.79,112074093.06,CNY,20191231
300098.SZ,20191231,华东,D,325655460.09,87172829.05,238482631.04,CNY,20191231
300098.SZ,20191231,华中,D,338419997.16,95778092.09,242641905.07,CNY,20191231
300098.SZ,20191231,华北,D,270762501.56,72904300.65,197858200.91,CNY,20191231
300098.SZ,20191231,华南,D,813783572.73,197861392.65,615922180.08,CNY,20191231
300098.SZ,20191231,国外,D,366532660.29,108012102.91,258520557.38,CNY,20191231
300098.SZ,20191231,西北,D,160717103.93,62018131.29,98698972.64,CNY,20191231
300098.SZ,20191231,西南,D,279567421.45,70598938.05,208968483.4,CNY,20191231
300098.SZ,20201231,东北,D,72135551.89,22012135.78,50123416.11,CNY,20201231
300098.SZ,20201231,华东,D,465813650.75,101623643.57,364190007.18,CNY,20201231
300098.SZ,20201231,华中,D,201398283.95,78043061.93,123355222.02,CNY,20201231
300098.SZ,20201231,华北,D,115772186.76,38017577.83,77754608.93,CNY,20201231
300098.SZ,20201231,华南,D,883447511.27,183925528.36,699521982.91,CNY,20201231
300098.SZ,20201231,国外,D,82333238.92,14130104.38,68203134.54,CNY,20201231
300098.SZ,20201231,西北,D,229554600.17,101622509.4,127932090.77,CNY,20201231
300098.SZ,20201231,西南,D,275631487.44,51599058.77,224032428.67,CNY,20201231
300098.SZ,20211231,东北,D,94560553.99,31556508.21,63004045.78,CNY,20211231
300098.SZ,20211231,华东,D,525316153.42,163008091.11,362308062.31,CNY,20211231
300098.SZ,20211231,华中,D,242274073.45,68258553.56,174015519.89,CNY,20211231
300098.SZ,20211231,华北,D,145350815.7,55737378.55,89613437.15,CNY,20211231
300098.SZ,20211231,华南,D,785545475.75,201167564.96,584377910.79,CNY,20211231
300098.SZ,20211231,国外,D,252179152.22,63441557.32,188737594.9,CNY,20211231
300098.SZ,20211231,西北,D,279023440.78,89625532.11,189397908.67,CNY,20211231
300098.SZ,20211231,西南,D,348691652.57,76549645.51,272142007.06,CNY,20211231
300098.SZ,20221231,东北,D,77104300.64,15799403.5,61304897.14,CNY,20221231
300098.SZ,20221231,华东,D,476204082.33,143540472.11,332663610.22,CNY,20221231
300098.SZ,20221231,华中,D,189146814.36,65648354.88,123498459.48,CNY,20221231
300098.SZ,20221231,华北,D,155892581.56,54729355.8,101163225.76,CNY,20221231
300098.SZ,20221231,华南,D,751982553.84,184830280.59,567152273.25,CNY,20221231
300098.SZ,20221231,国外,D,217136823.53,61604860.88,155531962.65,CNY,20221231
300098.SZ,20221231,西北,D,145654417.01,32313337.76,113341079.25,CNY,20221231
300098.SZ,20221231,西南,D,319821465.98,53435268.36,266386197.62,CNY,20221231
300098.SZ,20231231,东北,D,60545042.44,16420733.52,44124308.92,CNY,20231231
300098.SZ,20231231,华东,D,342877938.76,117002963.87,225874974.89,CNY,20231231
300098.SZ,20231231,华中,D,122244630.83,52985813.24,69258817.59,CNY,20231231
300098.SZ,20231231,华北,D,137344431.33,27111834.32,110232597.01,CNY,20231231
300098.SZ,20231231,华南,D,499133557.45,174868518.25,324265039.2,CNY,20231231
300098.SZ,20231231,国外,D,189585626.54,47057966.22,142527660.32,CNY,20231231
300098.SZ,20231231,西北,D,174382193.23,82519729.08,91862464.15,CNY,20231231
300098.SZ,20231231,西南,D,272732725.9,48975366.1,223757359.8,CNY,20231231
300098.SZ,20241231,中国大陆,D,1198138904.48,375725636.05,822413268.43,CNY,20241231
300098.SZ,20241231,国外,D,218550190.78,64969123.92,153581066.86,CNY,20241231
