ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,period
688159.SH,20151231,其他(地区),D,2296300.0,,,CNY,20151231
688159.SH,20151231,华东,D,41260600.0,,,CNY,20151231
688159.SH,20151231,华北,D,2558900.0,,,CNY,20151231
688159.SH,20151231,华南,D,98648600.0,,,CNY,20151231
688159.SH,20151231,国外,D,2457500.0,,,CNY,20151231
688159.SH,20161231,其他(地区),D,2810100.0,,,CNY,20161231
688159.SH,20161231,华东,D,184715900.0,,,CNY,20161231
688159.SH,20161231,华北,D,8597700.0,,,CNY,20161231
688159.SH,20161231,华南,D,128682600.0,,,CNY,20161231
688159.SH,20161231,国外,D,3231300.0,,,CNY,20161231
688159.SH,20171231,其他(地区),D,37927500.0,,,CNY,20171231
688159.SH,20171231,华东,D,286740600.0,,,CNY,20171231
688159.SH,20171231,华北,D,36077900.0,,,CNY,20171231
688159.SH,20171231,华南,D,132407900.0,,,CNY,20171231
688159.SH,20171231,国外,D,5815200.0,,,CNY,20171231
688159.SH,20181231,其他(地区),D,67212500.0,,,CNY,20181231
688159.SH,20181231,华东,D,196862100.0,,,CNY,20181231
688159.SH,20181231,华北,D,21140400.0,,,CNY,20181231
688159.SH,20181231,华南,D,161175300.0,,,CNY,20181231
688159.SH,20181231,国外,D,110745300.0,,,CNY,20181231
688159.SH,20191231,中国大陆,D,551390476.01,126341907.81,425048568.2,CNY,20191231
688159.SH,20191231,其他业务(地区),D,,,-0.01,CNY,20191231
688159.SH,20191231,国外,D,230776779.46,69144519.16,161632260.3,CNY,20191231
688159.SH,20201231,东北,D,187940.43,,,CNY,20201231
688159.SH,20201231,华东,D,210731355.21,,,CNY,20201231
688159.SH,20201231,华中,D,65421987.9,,,CNY,20201231
688159.SH,20201231,华北,D,97988400.09,,,CNY,20201231
688159.SH,20201231,华南,D,124949938.78,,,CNY,20201231
688159.SH,20201231,国外,D,63395834.52,15885194.38,47510640.14,CNY,20201231
688159.SH,20201231,西北,D,3790420.7,,,CNY,20201231
688159.SH,20201231,西南,D,7149934.4,,,CNY,20201231
688159.SH,20211231,东北,D,498628.32,,,CNY,20211231
688159.SH,20211231,华东,D,316750418.97,,,CNY,20211231
688159.SH,20211231,华中,D,80130151.38,,,CNY,20211231
688159.SH,20211231,华北,D,200904378.29,,,CNY,20211231
688159.SH,20211231,华南,D,294177605.06,,,CNY,20211231
688159.SH,20211231,国外,D,119201506.24,19037582.28,100163923.96,CNY,20211231
688159.SH,20211231,西北,D,5136161.91,,,CNY,20211231
688159.SH,20211231,西南,D,7759328.49,,,CNY,20211231
688159.SH,20221231,东北,D,7154.72,,,CNY,20221231
688159.SH,20221231,华东,D,237362860.19,,,CNY,20221231
688159.SH,20221231,华中,D,38922513.11,,,CNY,20221231
688159.SH,20221231,华北,D,78989973.18,,,CNY,20221231
688159.SH,20221231,华南,D,248929981.54,,,CNY,20221231
688159.SH,20221231,国外,D,201134509.37,44383604.45,156750904.92,CNY,20221231
688159.SH,20221231,西北,D,13515000.75,,,CNY,20221231
688159.SH,20221231,西南,D,20722576.02,,,CNY,20221231
688159.SH,20231231,东北,D,259685.68,83184.84,176500.8408,CNY,20231231
688159.SH,20231231,华东,D,246214908.08,31671208.43,214543699.65,CNY,20231231
688159.SH,20231231,华中,D,33368312.91,9423695.56,23944617.35,CNY,20231231
688159.SH,20231231,华北,D,108014426.2,19322956.87,88691469.33,CNY,20231231
688159.SH,20231231,华南,D,330965845.8,33501901.6,297463944.2,CNY,20231231
688159.SH,20231231,国外,D,169522837.44,44201753.13,125321084.31,CNY,20231231
688159.SH,20231231,西北,D,8580812.374,1178666.15,7402146.224,CNY,20231231
688159.SH,20231231,西南,D,34998107.12,2091646.38,32906460.74,CNY,20231231
688159.SH,20241231,东北,D,908311.54,818702.04,89609.5,CNY,20241231
688159.SH,20241231,华东,D,1057984548.26,121185997.33,936798550.93,CNY,20241231
688159.SH,20241231,华中,D,342927393.22,25068285.24,317859107.98,CNY,20241231
688159.SH,20241231,华北,D,482650407.32,47030168.12,435620239.2,CNY,20241231
688159.SH,20241231,华南,D,812657829.16,75623431.02,737034398.14,CNY,20241231
688159.SH,20241231,国外,D,271379879.64,45533760.46,225846119.18,CNY,20241231
688159.SH,20241231,西北,D,61133053.6,11120863.65,50012189.95,CNY,20241231
688159.SH,20241231,西南,D,39509435.91,7581468.37,31927967.54,CNY,20241231
