ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,period
920249.BJ,20191231,中国大陆,D,1136733800.0,214840000.0,921893800.0,CNY,20191231
920249.BJ,20191231,其他业务(地区),D,13643101.46,9626070.84,4017030.62,CNY,20191231
920249.BJ,20191231,国外,D,105638400.0,42821300.0,62817100.0,CNY,20191231
920249.BJ,20201231,中国大陆,D,1304437800.0,239079500.0,1065358300.0,CNY,20201231
920249.BJ,20201231,其他业务(地区),D,1326504.97,279496.5,1047008.47,CNY,20201231
920249.BJ,20201231,国外,D,71293200.0,11211200.0,60082000.0,CNY,20201231
920249.BJ,20211231,中国大陆,D,2104688300.0,464173800.0,1640514500.0,CNY,20211231
920249.BJ,20211231,其他业务(地区),D,2929332.28,2923725.6,5606.68,CNY,20211231
920249.BJ,20211231,国外,D,97902400.0,31213400.0,66689000.0,CNY,20211231
920249.BJ,20221231,中国大陆,D,2493437450.53,425701971.5,2067735479.03,CNY,20221231
920249.BJ,20221231,国外,D,84865815.97,22854071.46,62011744.51,CNY,20221231
920249.BJ,20231231,中国大陆,D,2344849017.33,302585672.3,2042263345.03,CNY,20231231
920249.BJ,20231231,国外,D,81381933.21,18611814.91,62770118.3,CNY,20231231
920249.BJ,20241231,中国大陆,D,1794173858.61,240790456.64,1553383401.97,CNY,20241231
920249.BJ,20241231,国外,D,164189490.32,44335026.07,119854464.25,CNY,20241231
