code,trade_date,ts_code,name,vol,ratio,exchange
72970,20201231,002970.SZ,锐明技术,430893,0.24,SZ
72970,20201230,002970.SZ,锐明技术,324993,0.18,SZ
72970,20201229,002970.SZ,锐明技术,321100,0.18,SZ
72970,20201228,002970.SZ,锐明技术,329700,0.19,SZ
72970,20201224,002970.SZ,锐明技术,284900,0.16,SZ
72970,20201223,002970.SZ,锐明技术,284900,0.16,SZ
72970,20201222,002970.SZ,锐明技术,170900,0.09,SZ
72970,20201221,002970.SZ,锐明技术,186400,0.1,SZ
72970,20201219,002970.SZ,锐明技术,157900,0.09,SZ
72970,20201218,002970.SZ,锐明技术,157900,0.09,SZ
72970,20201217,002970.SZ,锐明技术,142300,0.08,SZ
72970,20201216,002970.SZ,锐明技术,146000,0.08,SZ
72970,20201215,002970.SZ,锐明技术,101800,0.05,SZ
72970,20201214,002970.SZ,锐明技术,95000,0.05,SZ
72970,20211231,002970.SZ,銳明技術,4539629,2.62,SZ
72970,20211230,002970.SZ,銳明技術,4588154,2.65,SZ
72970,20211229,002970.SZ,銳明技術,4589854,2.65,SZ
72970,20211228,002970.SZ,銳明技術,4643154,2.68,SZ
72970,20211224,002970.SZ,銳明技術,4695767,2.71,SZ
72970,20211223,002970.SZ,銳明技術,4695767,2.71,SZ
72970,20211222,002970.SZ,銳明技術,4686342,2.7,SZ
72970,20211221,002970.SZ,銳明技術,4958854,2.86,SZ
72970,20211220,002970.SZ,銳明技術,4802154,2.77,SZ
72970,20211218,002970.SZ,銳明技術,4609854,2.66,SZ
72970,20211217,002970.SZ,銳明技術,4609854,2.66,SZ
72970,20211216,002970.SZ,銳明技術,4604297,2.65,SZ
72970,20211215,002970.SZ,銳明技術,4570559,2.64,SZ
72970,20211214,002970.SZ,銳明技術,4650359,2.68,SZ
72970,20211213,002970.SZ,銳明技術,4729620,2.73,SZ
72970,20211211,002970.SZ,銳明技術,4734580,2.73,SZ
72970,20211210,002970.SZ,銳明技術,4734580,2.73,SZ
72970,20211209,002970.SZ,銳明技術,4851255,2.8,SZ
72970,20211208,002970.SZ,銳明技術,5000255,2.88,SZ
72970,20211207,002970.SZ,銳明技術,4822996,2.78,SZ
72970,20211206,002970.SZ,銳明技術,4664395,2.69,SZ
72970,20211204,002970.SZ,銳明技術,4704491,2.71,SZ
72970,20211203,002970.SZ,銳明技術,4704491,2.71,SZ
72970,20211202,002970.SZ,銳明技術,4858253,2.8,SZ
72970,20211201,002970.SZ,銳明技術,4855253,2.8,SZ
72970,20211130,002970.SZ,銳明技術,4925652,2.84,SZ
72970,20211129,002970.SZ,銳明技術,4689037,2.7,SZ
72970,20211127,002970.SZ,銳明技術,4662437,2.69,SZ
72970,20211126,002970.SZ,銳明技術,4662437,2.69,SZ
72970,20211125,002970.SZ,銳明技術,4819437,2.78,SZ
72970,20211124,002970.SZ,銳明技術,4840013,2.79,SZ
72970,20211123,002970.SZ,銳明技術,4760581,2.74,SZ
72970,20211122,002970.SZ,銳明技術,4853978,2.8,SZ
72970,20211120,002970.SZ,銳明技術,4715528,2.72,SZ
72970,20211119,002970.SZ,銳明技術,4715528,2.72,SZ
72970,20211118,002970.SZ,銳明技術,4694628,2.71,SZ
72970,20211117,002970.SZ,銳明技術,4869328,2.81,SZ
72970,20211116,002970.SZ,銳明技術,4983368,2.87,SZ
72970,20211115,002970.SZ,銳明技術,5128646,2.96,SZ
72970,20211113,002970.SZ,銳明技術,5088046,2.93,SZ
72970,20211112,002970.SZ,銳明技術,5088046,2.93,SZ
72970,20211111,002970.SZ,銳明技術,5034756,2.9,SZ
